"LastModifiedDate","VisitorId","PlannedVisitEndTime","RetailStore_Id","RetailStore_Account_Industry","Visitor_UserType","Name","RetailStore_PrimaryContact_Description","Visitor_FullPhotoUrl","RetailStore_RetailStoreGroup_Name","RetailStore_Account_Parent_Account_Names","CreatedById","RetailStore_Account_AccountSource","Visitor_ParentPath","RetailStore_AccountId","RetailStore_Location_Address_City","RetailStore_Location_Address_PostalCode","StatusRemarks","RetailStore_RetailStoreGroup_Description","RetailStore_Description","Status","ActualVisitEndTime","PlaceId","IsDeleted","ActualVisitStartTime","ActualVisitStartTime_YearMonthDay","RetailStore_RetailLocationGroupId","RetailStore_Location_Address_State","Visitor_Parents","RetailStore_PrimaryContact_Department","Visitor_UniqueUserName","PlannedVisitStartTime","Visitor_Name","RetailStore_Name","RetailStore_Priority","CreatedDate","RetailStore_PrimaryContact_MobilePhone","RetailStore_PrimaryContact_Name","Visitor_Computed_ParentID","Id","RetailStore_Account_Name","InstructionDescription","RetailStore_StoreType","RetailStore_Account_Parent_Account_NamesPath","VisitPriority","Visitor_Role_Name","OwnerId","RetailStore_PrimaryContactId","Visitor_SmallPhotoUrl","RetailStore_Location_Name","RetailStore_RetailStoreGroupName_Custom","Visitor_Username","RetailStore_PrimaryContact_Email","RetailStore_Account_Type","LastProcessedDate","RetailStore_Location_Address_Country","SystemModstamp","RetailStore_Location_Address_Name","Visitor_ManagerId","Visitor_Role_ParentRoleId","RetailStore_DeliveryMethod","RetailStore_Account_Phone","LastModifiedById","RetailStore_PrimaryContact_Phone","ActualVisitDuration","RetailStore_DeliveryFrequency","RetailStore_Account_AnnualRevenue","RetailStore_Location_LocationLevel","PlannedVisitDuration"
"2021-04-21","005B0000007DFGOIA4","2019-01-09","0YQB00000004E14OAE","Food & Beverage","Standard","00000368",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FJ/F","West","Alpine Nutrition","005B0000007GkqyIAC",,,"001B000001LY4raIAD","San Jose","95111",,"Description of Dmart Location Group 5",,"Completed","2019-01-09","0YQB00000004E14OAE","false","2019-01-09","2018-07-13","0Y2B00000004DVyKAM","CA",,,"Ricky Coyier","2019-01-09","Ricky Coyier","Nutrition Stop - Kennesaw","High","2021-04-21",,"Donette Foller",,"0Z5B00000004SFSKA2","Rondel","Please complete the visit and collect all the KPIs","Regular","Nutrition Stop/Alpine Nutrition/Northern Trail Outfitters","Medium",,"005B0000007GkqyIAC","003B000000HndBtIAJ","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FJ/T","Dmart Location 17","West","rickyeast.00smg9iqf3tm@cga228dev.demo","donette.foller@cox.net",,"2021-01-26","Santa Clara","2021-04-21","A00000008","005B0000007DFG7IAO",,"Truck",,"005B0000007GkqyIAC","513-570-1893",33,2,0,1,33
"2021-04-21","005B0000007DFGNIA4","2019-10-11","0YQB00000004E0pOAE","Manufacturing","Standard","00000277",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FI/F","Midwest","Northern Trail Outfitters","005B0000007GkqyIAC",,"00EB0000000gPdqMAE/00EB0000000gPdpMAE","001B000001LY4pwIAD","Sioux Falls","57105",,"Description of Dmart Location Group 2",,"Completed","2020-10-11","0YQB00000004E0pOAE","false","2020-10-11","2020-04-14","0Y2B00000004DVxKAM","SD","00EB0000000gPdpMAE",,"Valerie Juhas","2019-10-11","Valerie Juhas","Fare Merchants - Gold Coast","High","2021-04-21",,"Mattie Poquette","00EB0000000gPdqMAE","0Z5B00000004SFTKA2","Northern Trail Outfitters","Please complete the visit and collect all the KPIs","Regular","Northern Trail Outfitters","High","SalesRep","005B0000007GkqyIAC","003B000000HndC4IAJ","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FI/T","Dmart Location 2","Midwest","valerieeast.siu4krkqhrgs@cga228dev.demo","mattie@aol.com",,"2021-01-26","Minnehaha","2021-04-21","A00000009","NA","00EB0000000gPdqMAE","Truck",,"005B0000007DFG6IAO","602-277-4385",39,2,0,1,39
"2021-04-21","005B0000007DFGPIA4","2019-10-14","0YQB00000004E15OAE","Transportation","Standard","00000569",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FK/F","Bay Area","Alpine Nutrition","005B0000007GkqyIAC",,"00EB0000000gPdqMAE/00EB0000000gPdpMAE","001B000001LY4rpIAD","Chicago","60632",,"Description of Dmart Location Group 1",,"Completed","2019-10-14","0YQB00000004E15OAE","false","2019-10-14","2019-04-17","0Y2B00000004DVzKAM","IL","00EB0000000gPdpMAE",,"Bill Malley","2019-10-14","Bill Malley","Nutrition Stop - Elkhorn","Medium","2021-04-21",,"Willard Kolmetz","00EB0000000gPdqMAE","0Z5B00000004SFUKA2","Alpine Nutrition","Please complete the visit and collect all the KPIs","Regular","Alpine Nutrition/Northern Trail Outfitters","Medium","SalesRep","005B0000007GkqyIAC","003B000000HndCBIAZ","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FK/T","Dmart Location 18","Bay Area","billeast.cnhkgac2k0xw@cga228dev.demo","willard@hotmail.com",,"2021-01-26","Cook","2021-04-21","A00000007","NA","00EB0000000gPdqMAE","Truck",,"005B0000007DFG6IAO","972-303-9197",25,10,0,1,25
"2021-04-21","005B0000007DFGIIA4","2019-10-04","0YQB00000004E0yOAE","Finance","Standard","00000262",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FD/F","Midwest","Alpine Nutrition","005B0000007GkqyIAC",,"00EB0000000gPdpMAE","001B000001LY4rnIAD","Taylor","48180",,"Description of Dmart Location Group 2",,"Completed","2019-10-04","0YQB00000004E0yOAE","false","2019-10-04","2019-04-07","0Y2B00000004DVxKAM","MI","00EB0000000gPdpMAE",,"Wendy Keener","2019-10-04","Wendy Keener","Alpine Nutrition - Glendale","Low","2021-04-21",,"Mitsue Tollner","00EB0000000gPdpMAE","0Z5B00000004SFVKA2","Fare Merchants","Please complete the visit and collect all the KPIs","Regular","Alpine Nutrition/Northern Trail Outfitters","High","Sales Manager","005B0000007GkqyIAC","003B000000HndBvIAJ","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FD/T","Dmart Location 12","Midwest","wendywest.y79rl7auqo4w@cga228dev.demo","mitsue_tollner@yahoo.com",,"2021-01-26","Wayne","2021-04-21","A00000019","005B0000007DFGOIA4","00EB0000000gPdpMAE","Van",,"005B0000007GkqyIAC","773-573-6914",54,3,0,1,54
"2021-04-21","005B0000007DFGKIA4","2020-09-10","0YQB00000004E0rOAE","Manufacturing","Standard","00000454",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FF/F","Bay Area","Northern Trail Outfitters","005B0000007GkqyIAC",,,"001B000001LY4pwIAD","Kulpsville","19443",,"Description of Dmart Location Group 1",,"Completed","2020-09-10","0YQB00000004E0rOAE","false","2020-09-10","2020-03-14","0Y2B00000004DVzKAM","PA",,,"Cindy Timmel","2020-09-10","Cindy Timmel","NTO Store - Alameda","Low","2021-04-21",,"Yuki Whobrey",,"0Z5B00000004SFWKA2","Northern Trail Outfitters","Please complete the visit and collect all the KPIs","Regular","Northern Trail Outfitters","High",,"005B0000007GkqyIAC","003B000000HndC7IAJ","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FF/T","Dmart Location 4","Bay Area","cindycentral.xvexzdli7eny@cga228dev.demo","yuki_whobrey@aol.com",,"2021-01-26","Montgomery","2021-04-21","A00000011","005B0000007DFG7IAO",,"Van",,"005B0000007GkqyIAC","313-288-7937",26,3,0,1,26
"2021-04-21","005B0000007DFGKIA4","2019-09-17","0YQB0000000PDymOAG","Manufacturing","Standard","00000474",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FF/F","Bay Area","Northern Trail Outfitters","005B0000007GkqyIAC",,,"001B000001LY4pwIAD","Brighton","48116",,"Description of Dmart Location Group 1",,"Completed","2019-09-17","0YQB00000004E1AOAU","false","2019-09-17","2019-03-21","0Y2B00000004DVzKAM","MI",,,"Cindy Timmel","2019-09-17","Cindy Timmel","NTO Store - Presidio","Low","2021-04-21",,"Simona Morasca",,"0Z5B00000004SFXKA2","Northern Trail Outfitters","Please complete the visit and collect all the KPIs","Regular","Northern Trail Outfitters","Low",,"005B0000007GkqyIAC","003B000000HndBuIAJ","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FF/T","Dmart Location 23","Bay Area","cindycentral.xvexzdli7eny@cga228dev.demo","simona@morasca.com",,"2021-01-26","Livingston","2021-04-21","A00000002","005B0000007DFG7IAO",,"Van",,"005B0000007GkqyIAC","419-503-2484",71,5,0,1,71
"2021-04-21","005B0000007DFGNIA4","2019-11-09","0YQB00000004E13OAE","Construction","Standard","00000467",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FI/F","Midwest","Alpine Nutrition","005B0000007GkqyIAC",,"00EB0000000gPdqMAE/00EB0000000gPdpMAE","001B000001LY4rsIAD","Albany","12204",,"Description of Dmart Location Group 2",,"Completed","2019-11-09","0YQB00000004E13OAE","false","2019-11-09","2019-05-13","0Y2B00000004DVxKAM","NY","00EB0000000gPdpMAE",,"Valerie Juhas","2019-11-09","Valerie Juhas","Nutrition Stop - Hillsdale","Low","2021-04-21",,"Lenna Paprocki","00EB0000000gPdqMAE","0Z5B00000004SFYKA2","Nutrition Stop","Please complete the visit and collect all the KPIs","Regular","Nutrition Stop/Alpine Nutrition/Northern Trail Outfitters","Medium","SalesRep","005B0000007GkqyIAC","003B000000HndBsIAJ","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FI/T","Dmart Location 25","Midwest","valerieeast.siu4krkqhrgs@cga228dev.demo","lpaprocki@hotmail.com",,"2021-01-26","Albany","2021-04-21","A00000024","NA","00EB0000000gPdqMAE","Van",,"005B0000007GkqyIAC","907-385-4412",85,5,0,1,85
"2021-04-21","005B0000007DFGPIA4","2019-12-14","0YQB0000000PDyfOAG","Transportation","Standard","00000139",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FK/F","Bay Area","Alpine Nutrition","005B0000007GkqyIAC",,"00EB0000000gPdqMAE/00EB0000000gPdpMAE","001B000001LY4rpIAD",,,,"Description of Dmart Location Group 1",,"Completed","2019-12-14","0YQB00000004E10OAE","false","2019-12-14","2019-06-17","0Y2B00000004DVzKAM",,"00EB0000000gPdpMAE",,"Bill Malley","2019-12-14","Bill Malley","NTO Store - Noe Valley","High","2021-04-21",,"Kiley Caldarera","00EB0000000gPdqMAE","0Z5B00000004SFZKA2","Alpine Nutrition","Please complete the visit and collect all the KPIs","Regular","Alpine Nutrition/Northern Trail Outfitters","High","SalesRep","005B0000007GkqyIAC","003B000000HndC1IAJ","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FK/T","Location","Bay Area","billeast.cnhkgac2k0xw@cga228dev.demo","kiley.caldarera@aol.com",,"2021-01-26",,"2021-04-21",,"NA","00EB0000000gPdqMAE","Van",,"005B0000007GkqyIAC","310-498-5651",29,1,0,1,29
"2021-04-21","005B0000007DFGJIA4","2018-06-27","0YQB00000004E19OAE","Manufacturing","Standard","00000373",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FE/F","West","Northern Trail Outfitters","005B0000007GkqyIAC",,,"001B000001LY4pwIAD","Bridgeport","8014",,"Description of Dmart Location Group 5",,"Completed","2018-06-27","0YQB00000004E19OAE","false","2018-06-27","2017-12-29","0Y2B00000004DVyKAM","NJ",,,"Vince Breland","2018-06-27","Vince Breland","Fare Merchants - Chelsea","Medium","2021-04-21",,"Minna Amigon",,"0Z5B00000004SFaKAM","Northern Trail Outfitters","Please complete the visit and collect all the KPIs","Regular","Northern Trail Outfitters","High",,"005B0000007GkqyIAC","003B000000HndBzIAJ","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FE/T","Dmart Location 22","West","vincewest.etys9pocsgvv@cga228dev.demo","minna_amigon@yahoo.com",,"2021-01-26","Gloucester","2021-04-21","A00000003","005B0000007DFGOIA4",,"Van",,"005B0000007GkqyIAC","215-874-1229",51,3,0,1,51
"2021-04-21","005B0000007DFGLIA4","2019-08-19","0YQB00000004E0xOAE","Construction","Standard","00000385",,"https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FG/F","South","Alpine Nutrition","005B0000007GkqyIAC",,,"001B000001LY4rsIAD","Mc Minnville","37110",,"Description of Dmart Location Group 4",,"Completed","2020-08-18","0YQB00000004E0xOAE","false","2019-08-19","2019-02-20","0Y2B00000004DW0KAM","TN",,,"Vanessa Riden","2019-08-19","Vanessa Riden","Rondel Store - Evanston","High","2021-04-21",,"Graciela Ruta",,"0Z5B00000004SFbKAM","Nutrition Stop","Please complete the visit and collect all the KPIs","Regular","Nutrition Stop/Alpine Nutrition/Northern Trail Outfitters","High",,"005B0000007GkqyIAC","003B000000HndC2IAJ","https://cganalytics2282--c.documentforce.com/profilephoto/729B0000000C3FG/T","Dmart Location 10","South","vanessacentral.3oinruaiuzfj@cga228dev.demo","gruta@cox.net",,"2021-01-26","Warren","2021-04-21","A00000017","NA",,"Truck",,"005B0000007DFG6IAO","440-780-8425",525669,2,0,1,69
