Expected_Arrival,Company,VIP_Level,Email,Address,Propert.Last_Stay_at_Property,Ambassador,Birthday,Propert.Check_In_Date,Stay_Preferences,Salesforce_Record_ID,Reservation_ID1,Floor_Preference,Reservation_Status,id,Rate_Code,Reservation_ID,City,Travel_Alert,Check_In_Time,State,Rewards_Number,Country,Check_Out_Time,Assigned_Room,Elevator_Preference,Room_Pool,Checked_In,Market_Code,Guest_Country,Reservation_Comments,First_Name,Full_Name,Property_MARSHA,PMS_Status,Salesforce_Property_ID,Guest_UGI_ID,Last_Stay_Property,Pillow_Preference,Bed_Preference,Guest_Comments,SPG_Number,Propert.Check_Out_Date,ETA,Salesforce_Stay_ID,UGI_ID,Last_Name,Last_Stay_Date,Property_Name,Property_Visits_YTD,Projected_Stay_Value,Total_Stays_YTD,Total_Value_Lifetime,Chats,Property_Revenue_Lifetime,Rate,Total_Value_YTD,Adults,Total_Nights_YTD,Moments_Scheduled,Guest_Engagement_Score,Service_Requests,Children,Preferences,Total_Nights_Lifetime,Property_Visits_Lifetime,Nights,Property_Revenue_YTD,Upgrade_Ranking,Total_Stays_Lifetime
Next 1-3 Hours,"Shanahan, Terry and Watsica",Platinum,fpenhall0@deviantart.com,732 Hoffman Avenue,01/04/2017,Yes,02/01/1989,03/09/2017,Quiet room,003j000000XINoV,R45690178,No Preference,Upcoming,1002,RUNVFKA,R45690178,Fort Worth,No,2:32 PM,TX,M74902638,United States,7:35 AM,2714,Away From,FWCE,No,SQVT,United States,lacinia eget,Florry,Florry Penhall,CHISR,Upcoming,a27j0000000gVcv,U18832000000000,Crown Dream Resort,No Preference,No Preference,ullamcorper augue a suscipit nulla elit,S4655795139,03/11/2017,,a2W126420705927,U86140800565008,Muldone,09/04/2016,Crown Dream Resort,3,480,4,91436,0,3195.3,275,2516,1,13,2,91,2,0,16,874,12,4,1597.65,1,421
Next Hour,Reynolds Inc,Silver,gbocking1@nhs.uk,0 Hoffman Terrace,01/25/2006,No,08/27/1988,11/06/2017,mauris viverra diam vitae,003D47092853438,R76697415,High,Upcoming,19,SKQBEPC,,San Jose,No,,CA,M21899220,United States,,,Away From,PROD,No,RZXS,Peru,in hac habitasse platea,Georgena,Georgena Bocking,CHIRN,,a27375165035216,U89646281426118,Celestial Hotel,No Preference,No Preference,vestibulum sit amet cursus id turpis,S21799855113,11/10/2017,,a2W985870934611,U98277314316165,Arnold,03/18/2009,Double Shrine Resort,8,2670,10,53570,2,16385.52,682.73,8550,2,30,1,42,0,1,44,110,24,4,5461.84,33,110
Later,"Von, Mayert and Gislason",None,rmoreland2@china.com.cn,3362 Myrtle Place,02/03/2007,No,04/08/1983,11/06/2017,mauris,003D75147533550,R20394636,No Preference,Upcoming,24,PGAZJQN,,Houston,No,,TX,M11267593,United States,,,Near,FGTB,Yes,PDFA,China,sagittis sapien,Radcliffe,Radcliffe Moreland,,,a27894359886611,U65157592745487,Light Heights Hotel & Spa,No Preference,1 King,rhoncus mauris enim leo rhoncus sed,S73661449924,11/08/2017,,a2W236160683333,U81005386926055,Spencer,01/09/2006,Light Heights Hotel & Spa,1,767,20,826500,2,2216.25,246.25,13360,2,40,0,92,1,0,1,1740,9,2,246.25,16,580
Next Hour,"Schmidt, Balistreri and Nader",Gold,alawrenz3@dion.ne.jp,964 Montana Park,12/15/2008,No,03/20/1979,03/09/2017,"Extra towels, please",0031N00001GecWcQAJ,R45690171,High,Upcoming,1001,DNWAFYQ,R45690171,Melbourne,Yes,10:59 PM,Victoria,M21949194,Australia,7:24 AM,249,No Preference,ZHWR,No,HQWC,Australia,cras mi pede malesuada,Alexa,Alexa Lawrenz,CHISR,Upcoming,a27j0000000gVcv,U63734000000000,Road Trip Hotel,Foam,1 King,id massa id nisl venenatis lacinia,S93170000000,03/11/2017,12:48 PM,a2W126420705414,U63828032443154,Boyle,02/05/2017,Road Trip Hotel,0,2200,13,120666,1,2006.22,334.37,4837,1,21,1,44,1,0,5,1014,6,2,1003.11,7,338
Later,Bayer-Shields,Gold,awevell4@umn.edu,93880 Fisk Parkway,05/04/2002,No,12/11/1986,11/06/2017,nulla elit,003D55177367733,R94658954,No Preference,Upcoming,7,ZELWSRB,,Baltimore,No,,MD,M17884831,United States,,,Near,JYOA,Yes,LURI,Philippines,dolor quis odio consequat varius integer,Ashlen,Ashlen Wevell,CHIMM,,a27779217588962,U80517336378895,Sunway Hotel,Foam,1 King,lacus morbi sem mauris,S85847469785,11/09/2017,,a2W775502023730,U18641295734681,Turner,11/09/2004,Sunway Hotel,2,2866,17,577728,1,9741.2,695.8,5712,1,34,1,78,0,0,0,1632,14,3,1391.6,28,544
Next 1-3 Hours,"Rowe, Mertz and Stanton",Gold,ibryde5@acquirethisname.com,624 Fisk Alley,05/26/2011,No,03/16/1999,11/06/2017,duis,003D52077186602,R38771601,Low,Canceled,45,LTKUPSX,,Atlanta,Yes,,GA,M57942529,United States,,,Away From,AOCY,No,WGIA,Moldova,cras non,Irv,Irv Bryde,CHIMQ,,a27194266479860,U88327813779402,Double Shrine Resort,No Preference,1 King,sapien cum sociis natoque penatibus,S31773501437,11/08/2017,,a2W257553715208,U34931539203706,James,01/22/2009,Twin Fjord Hotel & Spa,2,1149,1,10800,0,9296.1,516.45,618,2,2,0,93,1,2,43,24,18,2,1032.9,53,24
Later,McGlynn and Sons,Gold,nmctague6@cnn.com,98983 Green Place,04/25/2001,No,09/30/1943,11/06/2017,diam vitae,003D05027951407,R73055428,No Preference,Upcoming,35,KYHBXJQ,,Corpus Christi,No,,TX,M30491237,United States,,,No Preference,YRHA,Yes,PSVX,Indonesia,id mauris vulputate elementum nullam varius,Naoma,Naoma McTague,CHIAP,,a27112531708616,U34819201723124,Crown Lagoon Hotel & Spa,No Preference,2 Queens,rutrum nulla tellus in sagittis,S07714820980,11/12/2017,,a2W197615720718,U76273544723426,Bennett,09/05/2014,Diamond Hotel & Spa,8,4616,7,137592,2,16601.6,207.52,7770,1,21,0,51,2,2,48,546,80,6,1660.16,22,273
Later,Wintheiser Inc,Platinum,cwaltering7@macromedia.com,59497 Sunbrook Street,06/16/2004,No,01/13/1937,11/06/2017,id justo,003D71285574304,R49677325,No Preference,Canceled,23,NCIXBGL,,Washington,No,,DC,M65544392,United States,,,No Preference,CNHE,No,AUOJ,Argentina,ipsum primis in faucibus orci luctus,Clair,Clair Waltering,CHIMQ,,a27424139539250,U97164941480072,Quiet Time Resort,No Preference,No Preference,turpis elementum ligula,S12516518968,11/12/2017,,a2W569974785940,U05913230541139,Gilbert,12/23/2007,Quiet Time Resort,7,1558,15,25545,0,9049.6,646.4,21420,2,45,1,93,2,2,10,195,14,6,4524.8,42,195
Next 1-3 Hours,"Brakus, Schroeder and Stehr",Platinum,rattride8@time.com,0 Oak Center,01/05/2014,No,09/20/1940,11/06/2017,imperdiet sapien,003D23656695881,R32917802,No Preference,Upcoming,50,DHMEUXL,,Waterbury,No,,CT,M31050389,United States,,,Near,VGCS,No,NHAK,Sweden,integer a nibh,Rene,Rene Attride,CHIAX,,a27221319399239,U20016632496417,Seacoast Hotel,No Preference,No Preference,cubilia curae duis,S89512887298,11/13/2017,,a2W434585058627,U05453252943638,Palmer,09/25/2015,Seacoast Resort,3,5168,8,123488,2,5247.6,174.92,2376,1,24,1,71,1,0,35,544,30,7,524.76,5,272
Later,"Connelly, Lubowitz and Kerluke",Gold,bmiguel9@home.pl,803 Carioca Avenue,03/15/2011,No,11/30/1995,11/06/2017,in hac habitasse,003D45258667743,R58092220,Low,Upcoming,42,OQMXHNE,,Boise,Yes,,ID,M67152889,United States,,,Near,DPOM,Yes,KVMO,China,amet consectetuer adipiscing elit proin interdum,Bobine,Bobine Miguel,CHI89,,a27963658313908,U31171274069257,Autumn Coast Motel,Feather,No Preference,neque aenean auctor,S25574551892,11/12/2017,,a2W355669130559,U79181885387277,Ramos,04/24/2015,Southern Cove Hotel & Spa,6,2311,6,80832,0,19724.1,657.47,1308,2,12,1,67,2,1,22,192,30,6,3944.82,31,192
