"SBQQ__Quote__r.SBQQ__SalesRep__r.Role.ParentRole.DeveloperName","SBQQ__Quote__r.SBQQ__Opportunity2__r.LeadSource","SBQQ__Quote__r.SBQQ__Opportunity2__r.RecordTypeId","SBQQ__Quote__r.SBQQ__Opportunity2__r.NextStep","SBQQ__Quote__r.SBQQ__Opportunity2__r.Account.AccountSource","SBQQ__Quote__r.SBQQ__BillingState__c","SBQQ__BillingType__c","Name","SBQQ__Quote__r.Id","SBQQ__Quote__r.SBQQ__Opportunity2__r.IsWon","SBQQ__ProductName__c","SBQQ__Quote__r.SBQQ__SalesRep__r.Role.Roles","IsScored","SBQQ__Quote__r.SBQQ__SalesRep__r.Role.ParentRole.Name","SBQQ__Quote__r.SBQQ__Opportunity2__r.IsClosed","SBQQ__Quote__r.SBQQ__Opportunity2__r.CloseDate","SBQQ__Quote__r.SBQQ__Opportunity2__r.Account.Industry","SBQQ__Quote__r.SBQQ__SalesRep__r.UniqueUserName","SBQQ__Quote__r.SBQQ__SalesRep__r.Name","SBQQ__Quote__r.SBQQ__SalesRep__r.Username","SBQQ__Quote__c","SBQQ__Quote__r.SBQQ__Opportunity2__r.Account.Name","SBQQ__Quote__r.SBQQ__Opportunity2__c","SBQQ__Quote__r.SBQQ__Opportunity2__r.RecordType.Name","SBQQ__Quote__r.SBQQ__BillingCountry__c","SBQQ__Quote__r.SBQQ__SalesRep__r.Role.Name","SBQQ__Quote__r.Name","SBQQ__Quote__r.SBQQ__BillingName__c","SBQQ__Quote__r.SBQQ__SalesRep__r.Role.ParentRoleId","SBQQ__Quote__r.SBQQ__Opportunity2__r.Competitor__c","SBQQ__Quote__r.SBQQ__Opportunity2__r.Type","Id","SBQQ__Quote__r.SBQQ__Opportunity2__r.Account.PhotoUrl","SBQQ__Quote__r.SBQQ__Opportunity2__r.Id","SBQQ__Renewal__c","SBQQ__Quote__r.SBQQ__Status__c","SBQQ__Quote__r.SBQQ__Primary__c","SBQQ__Quote__r.SBQQ__Opportunity2__r.StageName","SBQQ__Quote__r.SBQQ__Opportunity2__r.Account.BillingState","SBQQ__ProductFamily__c","SBQQ__Quote__r.SBQQ__Type__c","SBQQ__Quote__r.SBQQ__SalesRep__r.UserRoleId","SBQQ__Quote__r.SBQQ__Opportunity2__r.OwnerId","SBQQ__Quote__r.SBQQ__SalesRep__r.Role.RoleNames","SBQQ__BillingFrequency__c","SBQQ__Quote__r.SBQQ__SalesRep__r.Role.RoleNamesPath","SBQQ__Quote__r.SBQQ__Opportunity2__r.ForecastCategoryName","SBQQ__Quote__r.SBQQ__Opportunity2__r.AccountId","SBQQ__Quote__r.SBQQ__Opportunity2__r.Account.BillingCountry","SBQQ__Quote__r.SBQQ__Opportunity2__r.Name","SBQQ__Quote__r.SBQQ__SalesRep__r.SmallPhotoUrl","SBQQ__Quote__r.SBQQ__SalesRep__r.Role.DeveloperName","SBQQ__Quote__r.SBQQ__SalesRep__r.Role.RolePath","SBQQ__Quote__r.SBQQ__Opportunity2__r.Account.Type","SBQQ__Quote__r.SBQQ__SalesRep__r.Role.Hierarchy_RoleNames","SBQQ__Quote__r.SBQQ__SalesRep__c","SBQQ__Quote__r.SBQQ__BillingFrequency__c","SBQQ__NetTotal__c","Pricing_Score","SBQQ__Quote__r.SBQQ__TotalCustomerDiscountAmount__c","SBQQ__CustomerPrice__c","SBQQ__Discount__c","SBQQ__ListPrice__c","SBQQ__Quote__r.SBQQ__CustomerDiscount__c","SBQQ__RegularTotal__c","SBQQ__Quote__r.SBQQ__Opportunity2__r.Account.NumberOfEmployees","SBQQ__Quote__r.SBQQ__Opportunity2__r.Account.AnnualRevenue","SBQQ__Quote__r.SBQQ__AdditionalDiscountAmount__c","SBQQ__Quote__r.SBQQ__Opportunity2__r.Amount","SBQQ__TotalDiscountAmount__c","SBQQ__Quote__r.SBQQ__DaysQuoteOpen__c","SBQQ__AdditionalDiscount__c","SBQQ__CustomerTotal__c","SBQQ__ListTotal__c","SBQQ__NetPrice__c","SBQQ__Quote__r.SBQQ__CustomerAmount__c","SBQQ__RegularPrice__c","SBQQ__Quote__r.SBQQ__ListAmount__c","SBQQ__EffectiveQuantity__c","SBQQ__Quantity__c","SBQQ__UpgradedQuantity__c","SBQQ__Quote__r.SBQQ__RegularAmount__c","SBQQ__Quote__r.SBQQ__SalesRep__r.UserTenure","SBQQ__Quote__r.SBQQ__SubscriptionTerm__c","SBQQ__TotalDiscountRate__c","SBQQ__Quote__r.SBQQ__NetAmount__c","SBQQ__Quote__r.SBQQ__Opportunity2__r.Probability","Recommended_Discount__c","SBQQ__Quote__r.SBQQ__AverageCustomerDiscount__c","SBQQ__Quote__r.SBQQ__MarkupRate__c","SBQQ__Quote__r.SBQQ__Opportunity2__r.OpportunityAge","SBQQ__Quote__r.SBQQ__TargetCustomerAmount__c","SBQQ__OriginalPrice__c"
,,"012B0000000ATFWIA4",,,"CA","Arrears","QL-0002553","a2dB0000000B7URIA0","true",,,"true",,"true","2018-12-03",,"Arian Van de Carr","Arian Van de Carr","avan1536693294125@demo.user","a2dB0000000B7URIA0","IT CPQ Demo","006B0000004P6LBIA0","Simple Opportunity","United States",,"Q-00633","IT CPQ Demo",,,,"a2ZB00000009Ii6MAE",,"006B0000004P6LBIA0","false","Draft","true","Closed Won","CA",,"Quote","000000000000000AAA","005B0000004ixxPIAQ",,"Monthly",,"Closed","001B000000nQA0pIAG","United States","First Sale","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,,,"005B0000004ixxPIAQ",,33431271.57,1.599103,-47854766.53,33431271.57,0,99,10,3865841.1,0,0,-61903084.47,70000000,-22541271.57,38,-29565430.47,33431271.57,10890000,33431271.57,70000000,3865841.1,22145233.47,1,10000,0,8096915.53,44,12,-206.991,70000000,100,-331,-216.1,0,149,70000000,99
,,"012B0000000ATFWIA4",,,"CA","Arrears","QL-0002554","a2dB0000000B7URIA0","true",,,"true",,"true","2018-12-03",,"Arian Van de Carr","Arian Van de Carr","avan1536693294125@demo.user","a2dB0000000B7URIA0","IT CPQ Demo","006B0000004P6LBIA0","Simple Opportunity","United States",,"Q-00633","IT CPQ Demo",,,,"a2ZB00000009Ii7MAE",,"006B0000004P6LBIA0","false","Draft","true","Closed Won","CA",,"Quote","000000000000000AAA","005B0000004ixxPIAQ",,"Monthly",,"Closed","001B000000nQA0pIAG","United States","First Sale","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,,,"005B0000004ixxPIAQ",,33431271.57,0.497606,-47854766.53,33431271.57,0,99,10,3865841.1,0,0,-61903084.47,70000000,-22541271.57,38,-29565430.47,33431271.57,10890000,33431271.57,70000000,3865841.1,22145233.47,1,10000,0,8096915.53,44,12,-206.991,70000000,100,-103,-216.1,0,149,70000000,99
,,"012B0000000ATFWIA4",,,"CA","Arrears","QL-0002555","a2dB0000000B7URIA0","true",,,"true",,"true","2018-12-03",,"Arian Van de Carr","Arian Van de Carr","avan1536693294125@demo.user","a2dB0000000B7URIA0","IT CPQ Demo","006B0000004P6LBIA0","Simple Opportunity","United States",,"Q-00633","IT CPQ Demo",,,,"a2ZB00000009Ii8MAE",,"006B0000004P6LBIA0","false","Draft","true","Closed Won","CA",,"Quote","000000000000000AAA","005B0000004ixxPIAQ",,"Monthly",,"Closed","001B000000nQA0pIAG","United States","First Sale","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,,,"005B0000004ixxPIAQ",,2853796,0.398804,-47854766.53,14268.98,0,150,10,330000,0,0,-61903084.47,70000000,-2523796,38,-2523796,2853796,330000,14268.98,70000000,1650,22145233.47,200,200,0,8096915.53,44,12,-764.787,70000000,100,-305,-216.1,0,149,70000000,150
,,"012B0000000ATFWIA4",,,"NC",,"QL-0003783","a2dB0000000B7UFIA0","true",,,"true",,"true","2018-07-06",,"Chris Robison","Chris Robison","bison1536693294173@demo.user","a2dB0000000B7UFIA0","Big 5 Sporting Goods","006B0000004P6NYIA0","Simple Opportunity","United States",,"Q-00621","Big 5 Sporting Goods",,,,"a2ZB00000009J1wMAE",,"006B0000004P6NYIA0","false","Draft","true","Closed Won","NC",,"Quote","000000000000000AAA","005B0000004ixy9IAA",,,,"Closed","001B000000nQ9xLIAS","United States","Second Purchase","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,,,"005B0000004ixy9IAA",,5000,1,0,5000,0,5000,0,5000,0,0,0,210288,0,38,0,5000,5000,5000,210288,5000,210288,1,1,0,210288,44,12,0,210288,100,0,0,0,-29,0,5000
,,"012B0000000ATFWIA4",,,"NC",,"QL-0003784","a2dB0000000B7UFIA0","true",,,"true",,"true","2018-07-06",,"Chris Robison","Chris Robison","bison1536693294173@demo.user","a2dB0000000B7UFIA0","Big 5 Sporting Goods","006B0000004P6NYIA0","Simple Opportunity","United States",,"Q-00621","Big 5 Sporting Goods",,,,"a2ZB00000009J1xMAE",,"006B0000004P6NYIA0","false","Draft","true","Closed Won","NC",,"Quote","000000000000000AAA","005B0000004ixy9IAA",,,,"Closed","001B000000nQ9xLIAS","United States","Second Purchase","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,,,"005B0000004ixy9IAA",,5000,1,0,5000,0,5000,0,5000,0,0,0,210288,0,38,0,5000,5000,5000,210288,5000,210288,1,1,0,210288,44,12,0,210288,100,0,0,0,-29,0,5000
,,"012B0000000ATFWIA4",,,"NC","Advance","QL-0003782","a2dB0000000B7UFIA0","true",,,"true",,"true","2018-07-06",,"Chris Robison","Chris Robison","bison1536693294173@demo.user","a2dB0000000B7UFIA0","Big 5 Sporting Goods","006B0000004P6NYIA0","Simple Opportunity","United States",,"Q-00621","Big 5 Sporting Goods",,,,"a2ZB00000009J1vMAE",,"006B0000004P6NYIA0","false","Draft","true","Closed Won","NC",,"Quote","000000000000000AAA","005B0000004ixy9IAA",,"Monthly",,"Closed","001B000000nQ9xLIAS","United States","Second Purchase","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,,,"005B0000004ixy9IAA",,12000,1,0,12000,0,12000,0,12000,0,0,0,210288,0,38,0,12000,12000,12000,210288,12000,210288,1,1,0,210288,44,12,0,210288,100,0,0,0,-29,0,12000
,,"012B0000000ATFWIA4",,,"MA",,"QL-0002723","a2dB0000000B7VAIA0","true",,,"true",,"true","2018-05-31",,"Matthew Maiuri","Matthew Maiuri","matt1536693294143@demo.user","a2dB0000000B7VAIA0","Next Gen Hedge Fund","006B0000004P6M5IAK","Simple Opportunity","USA",,"Q-00678","Next Gen Hedge Fund",,,,"a2ZB00000009IkqMAE",,"006B0000004P6M5IAK","false","Draft","true","Closed Won","MA",,"Quote","000000000000000AAA","005B0000004ixxhIAA",,,,"Closed","001B000000nQA0GIAW","USA","New Big Deal","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,,,"005B0000004ixxhIAA",,6000,1,25197.9,6000,0,3000,0,6000,0,0,0,857402.4,0,38,0,6000,6000,6000,857402.4,6000,882600.3,1,1,0,857402.4,44,24,0,857402.4,100,0,2.9,0,-79,0,3000
,,"012B0000000ATFWIA4",,,"IL","Advance","QL-0002724","a2dB0000000B7U6IAK","true",,,"true",,"true","2018-06-25",,"TJ Boskelly","TJ Boskelly","kelly1536693294191@demo.user","a2dB0000000B7U6IAK","Shelby Company Ltd.","006B0000004P6NOIA0","Simple Opportunity","USA",,"Q-00612","Shelby Company Ltd.",,,,"a2ZB00000009IkrMAE",,"006B0000004P6NOIA0","false","Draft","true","Closed Won","IL",,"Amendment","000000000000000AAA","005B0000004ixyMIAQ",,"Annual",,"Closed","001B000000nQA0vIAG","USA","Amendment for contract #00001003","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,,,"005B0000004ixyMIAQ",,0,1,-8701.89,0,0,0,0,0,0,0,-3507.79,-43239.11,0,38,0,0,0,0,-43239.11,0,-51941,0,1,0,-46746.9,44,12,0,-43239.11,100,0,16.8,0,-54,0,0
,,"012B0000000ATFWIA4",,,"IL","Advance","QL-0002725","a2dB0000000B7U6IAK","true",,,"true",,"true","2018-06-25",,"TJ Boskelly","TJ Boskelly","kelly1536693294191@demo.user","a2dB0000000B7U6IAK","Shelby Company Ltd.","006B0000004P6NOIA0","Simple Opportunity","USA",,"Q-00612","Shelby Company Ltd.",,,,"a2ZB00000009IksMAE",,"006B0000004P6NOIA0","false","Draft","true","Closed Won","IL",,"Amendment","000000000000000AAA","005B0000004ixyMIAQ",,"Monthly",,"Closed","001B000000nQA0vIAG","USA","Amendment for contract #00001003","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,,,"005B0000004ixyMIAQ",,0,1.631511,-8701.89,9592.69,0,12000,0,0,0,0,-3507.79,-43239.11,0,38,0,0,0,9592.69,-43239.11,10493.15,-51941,0,1,0,-46746.9,44,12,8.581,-43239.11,100,14,16.8,0,-54,0,12000
,,"012B0000000ATFWIA4",,,"IL","Arrears","QL-0002726","a2dB0000000B7U6IAK","true",,,"true",,"true","2018-06-25",,"TJ Boskelly","TJ Boskelly","kelly1536693294191@demo.user","a2dB0000000B7U6IAK","Shelby Company Ltd.","006B0000004P6NOIA0","Simple Opportunity","USA",,"Q-00612","Shelby Company Ltd.",,,,"a2ZB00000009IktMAE",,"006B0000004P6NOIA0","false","Draft","true","Closed Won","IL",,"Amendment","000000000000000AAA","005B0000004ixyMIAQ",,"Monthly",,"Closed","001B000000nQA0vIAG","USA","Amendment for contract #00001003","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,,,"005B0000004ixyMIAQ",,0,0.815756,-8701.89,6395.13,0,8000,0,0,0,0,-3507.79,-43239.11,0,38,0,0,0,6395.13,-43239.11,6995.43,-51941,0,1,0,-46746.9,44,12,8.581,-43239.11,100,7,16.8,0,-54,0,8000
