"SALES_MANAGER","StartDate","AGENT_GENDER","AGENCY_NAME","AGENT_NAME","LastProcessedDate","BROKER_ID","REGION","QuotaAmount"
"James Coleman","2018-01-01 00:00:00","Female","CashCoverage","Thelma Mitchell","2019-10-07 14:44:57","BROKER_202","Midwest",3000
"Jennifer Jackson","2018-01-01 00:00:00","Male","CashCoverage","Bobby Norris","2019-10-07 14:44:57","BROKER_213","Midwest",4000
"Chad Russo","2018-01-01 00:00:00","Male","CashCoverage","Carl Whitley","2019-10-07 14:44:57","BROKER_1098","North West",4000
"Chad Russo","2018-01-01 00:00:00","Female","CashCoverage","Nancy Meyer","2019-10-07 14:44:57","BROKER_1108","North West",3000
"Anne Powers","2018-01-01 00:00:00","Female","CashCoverage","Beverly McCauley","2019-10-07 14:44:57","BROKER_1556","South East",5000
"Matthew Hanna","2018-01-01 00:00:00","Female","CashCoverage","Hazel Nguyen","2019-10-07 14:44:57","BROKER_1549","South East",5000
"Sandra Parker","2018-01-01 00:00:00","Male","CashCoverage","Donald Fisher","2019-10-07 14:44:57","BROKER_1563","South East",6000
"Lisa Lewis","2018-01-01 00:00:00","Male","CashCoverage","Malcolm Sears","2019-10-07 14:44:57","BROKER_2053","South West",5000
"James Coleman","2018-01-01 00:00:00","Female","Clientive","Linda Campbell","2019-10-07 14:44:57","BROKER_79","Midwest",4000
"Evan Bullock","2018-01-01 00:00:00","Female","Clientive","Jamie Pendleton","2019-10-07 14:44:57","BROKER_565","North East",5000
"Evan Bullock","2018-01-01 00:00:00","Female","Clientive","Leslie Lee","2019-10-07 14:44:57","BROKER_569","North East",6000
"Meagan Combs","2018-01-01 00:00:00","Female","Clientive","Heather Moore","2019-10-07 14:44:57","BROKER_1925","North West",7000
"Sandra Parker","2018-01-01 00:00:00","Female","Clientive","Amalia Butler","2019-10-07 14:44:57","BROKER_1421","South East",6000
"Sandra Parker","2018-01-01 00:00:00","Male","Clientive","Edward Davila","2019-10-07 14:44:57","BROKER_1418","South East",7000
"James Coleman","2018-01-01 00:00:00","Female","CoInsurance","Diane Joseph","2019-10-07 14:44:57","BROKER_243","Midwest",5000
"James Coleman","2018-01-01 00:00:00","Female","CoInsurance","Dorothy Izquierdo","2019-10-07 14:44:57","BROKER_258","Midwest",7000
"James Coleman","2018-01-01 00:00:00","Female","CoInsurance","Elizabeth Bostick","2019-10-07 14:44:57","BROKER_292","Midwest",3000
"Evan Bullock","2018-01-01 00:00:00","Male","CoInsurance","Michael Canfield","2019-10-07 14:44:57","BROKER_709","North East",7000
"Meagan Combs","2018-01-01 00:00:00","Female","CoInsurance","Emma Conlan","2019-10-07 14:44:57","BROKER_2086","North West",4000
"Anne Powers","2018-01-01 00:00:00","Male","CoInsurance","Benjamin Ryan","2019-10-07 14:44:57","BROKER_1589","South East",3000
"Matthew Hanna","2018-01-01 00:00:00","Female","CoInsurance","Elizabeth Cothern","2019-10-07 14:44:57","BROKER_1603","South East",3000
"Sandra Parker","2018-01-01 00:00:00","Female","CoInsurance","Christine Christie","2019-10-07 14:44:57","BROKER_1643","South East",5000
"Sandra Parker","2018-01-01 00:00:00","Female","CoInsurance","Dorothy Abels","2019-10-07 14:44:57","BROKER_1594","South East",4000
"Sandra Parker","2018-01-01 00:00:00","Male","CoInsurance","Leo Neff","2019-10-07 14:44:57","BROKER_1597","South East",4000
"Jeffrey Miranda","2018-01-01 00:00:00","Female","CoInsurance","Clara Torres","2019-10-07 14:44:57","BROKER_2092","South West",7000
"Jeffrey Miranda","2018-01-01 00:00:00","Female","CoInsurance","Debra Shepard","2019-10-07 14:44:57","BROKER_1595","South West",7000
"Jeffrey Miranda","2018-01-01 00:00:00","Male","CoInsurance","Jacob Rowles","2019-10-07 14:44:57","BROKER_1139","South West",5000
"Jeffrey Miranda","2018-01-01 00:00:00","Female","CoInsurance","Myrtle McClanahan","2019-10-07 14:44:57","BROKER_2079","South West",5000
"James Coleman","2018-01-01 00:00:00","Female","Commerce Equity","Marlene Collins","2019-10-07 14:44:57","BROKER_130","Midwest",7000
"James Coleman","2018-01-01 00:00:00","Female","Commerce Equity","Virginia Moore","2019-10-07 14:44:57","BROKER_1042","Midwest",7000
"Lisa Lewis","2018-01-01 00:00:00","Female","Commerce Equity","Debra Walker","2019-10-07 14:44:57","BROKER_1040","North West",4000
"Meagan Combs","2018-01-01 00:00:00","Female","Commerce Equity","Denise Williams","2019-10-07 14:44:57","BROKER_1976","North West",4000
"Matthew Hanna","2018-01-01 00:00:00","Male","Commerce Equity","Daniel Wade","2019-10-07 14:44:57","BROKER_607","South East",5000
"Sandra Parker","2018-01-01 00:00:00","Female","Commerce Equity","Courtney Chavarria","2019-10-07 14:44:57","BROKER_1473","South East",7000
"Lisa Lewis","2018-01-01 00:00:00","Female","Commerce Equity","Elena Rushing","2019-10-07 14:44:57","BROKER_657","South West",5000
"Meagan Combs","2018-01-01 00:00:00","Male","Commerce Equity","Stephen Peterson","2019-10-07 14:44:57","BROKER_1472","South West",5000
"Meagan Combs","2018-01-01 00:00:00","Male","Ensuran","Frank Hamilton","2019-10-07 14:44:57","BROKER_2125","North West",3000
"Matthew Hanna","2018-01-01 00:00:00","Female","Ensuran","Brianne Felix","2019-10-07 14:44:57","BROKER_1654","South East",7000
"Sandra Parker","2018-01-01 00:00:00","Female","Ensuran","Marie Murphy","2019-10-07 14:44:57","BROKER_1650","South East",6000
"Meagan Combs","2018-01-01 00:00:00","Female","Ensuran","Robyn Scherr","2019-10-07 14:44:57","BROKER_2130","South West",3000
"James Coleman","2018-01-01 00:00:00","Female","Flying Safe","Gladys Soto","2019-10-07 14:44:57","BROKER_326","Midwest",7000
"James Coleman","2018-01-01 00:00:00","Female","Flying Safe","Gloria French","2019-10-07 14:44:57","BROKER_309","Midwest",5000
"Jeffrey Miranda","2018-01-01 00:00:00","Female","Flying Safe","Amy Smith","2019-10-07 14:44:57","BROKER_2141","North West",3000
"Sarah Rivas","2018-01-01 00:00:00","Female","Flying Safe","Addie Sadowski","2019-10-07 14:44:57","BROKER_1210","North West",7000
"Sandra Parker","2018-01-01 00:00:00","Male","Flying Safe","Dustin Ford","2019-10-07 14:44:57","BROKER_1671","South East",3000
"Sandra Parker","2018-01-01 00:00:00","Female","Flying Safe","Hazel Perrault","2019-10-07 14:44:57","BROKER_1680","South East",6000
"Jeffrey Miranda","2018-01-01 00:00:00","Male","Flying Safe","Matthew Loden","2019-10-07 14:44:57","BROKER_2151","South West",3000
"James Coleman","2018-01-01 00:00:00","Female","Growsurance","Verdie Porter","2019-10-07 14:44:57","BROKER_159","Midwest",7000
"Jennifer Jackson","2018-01-01 00:00:00","Male","Growsurance","Alan Millard","2019-10-07 14:44:57","BROKER_158","Midwest",6000
"Jennifer Jackson","2018-01-01 00:00:00","Female","Growsurance","Ethel Mack","2019-10-07 14:44:57","BROKER_161","Midwest",5000
"Amanda Long","2018-01-01 00:00:00","Female","Growsurance","Kayla Oglesby","2019-10-07 14:44:57","BROKER_1065","North East",7000
"Amanda Long","2018-01-01 00:00:00","Female","Growsurance","Whitney Falcon","2019-10-07 14:44:57","BROKER_156","North East",6000
"Evan Bullock","2018-01-01 00:00:00","Male","Growsurance","Gilbert Brown","2019-10-07 14:44:57","BROKER_632","North East",7000
"Meagan Combs","2018-01-01 00:00:00","Male","Growsurance","Gordon Starkey","2019-10-07 14:44:57","BROKER_2001","North West",3000
"Matthew Hanna","2018-01-01 00:00:00","Female","Growsurance","Eva Nguyen","2019-10-07 14:44:57","BROKER_637","South East",4000
"Sandra Parker","2018-01-01 00:00:00","Female","Growsurance","Elizabeth Jones","2019-10-07 14:44:57","BROKER_1509","South East",6000
"Jennifer Jackson","2018-01-01 00:00:00","Female","Honestful","Barbara Ryals","2019-10-07 14:44:57","BROKER_552","Midwest",3000
"Jennifer Jackson","2018-01-01 00:00:00","Male","Honestful","Darryl Silverstein","2019-10-07 14:44:57","BROKER_543","Midwest",3000
"Jeffrey Miranda","2018-01-01 00:00:00","Female","Honestful","Ana Kern","2019-10-07 14:44:57","BROKER_2360","North West",7000
"Matthew Hanna","2018-01-01 00:00:00","Male","Honestful","Donald Ceasar","2019-10-07 14:44:57","BROKER_2367","South East",5000
"Sandra Parker","2018-01-01 00:00:00","Male","Honestful","Jack Galvin","2019-10-07 14:44:57","BROKER_1902","South East",5000
"Sandra Parker","2018-01-01 00:00:00","Female","Honestful","Jennifer Barr","2019-10-07 14:44:57","BROKER_1887","South East",6000
"Sandra Parker","2018-01-01 00:00:00","Female","Honestful","Josephine Adams","2019-10-07 14:44:57","BROKER_1896","South East",7000
"Sandra Parker","2018-01-01 00:00:00","Male","Honestful","Julio Hall","2019-10-07 14:44:57","BROKER_1908","South East",7000
"Sandra Parker","2018-01-01 00:00:00","Female","Honestful","Katrina Echevarria","2019-10-07 14:44:57","BROKER_1893","South East",4000
"James Coleman","2018-01-01 00:00:00","Female","Insurato","Melissa Castrejon","2019-10-07 14:44:57","BROKER_443","Midwest",7000
"James Coleman","2018-01-01 00:00:00","Male","Insurato","Solomon Skelton","2019-10-07 14:44:57","BROKER_442","Midwest",3000
"James Coleman","2018-01-01 00:00:00","Female","Insurato","Verena Delgado","2019-10-07 14:44:57","BROKER_886","Midwest",5000
"Amanda Long","2018-01-01 00:00:00","Female","Insurato","Tami Davis","2019-10-07 14:44:57","BROKER_943","North East",3000
"Monica Campbell","2018-01-01 00:00:00","Male","Insurato","Michael Carr","2019-10-07 14:44:57","BROKER_941","North East",3000
"Chad Russo","2018-01-01 00:00:00","Male","Insurato","Fernando McLawhorn","2019-10-07 14:44:57","BROKER_1324","North West",7000
"Jeffrey Miranda","2018-01-01 00:00:00","Male","Insurato","Anthony Fitzsimmons","2019-10-07 14:44:57","BROKER_2325","North West",5000
"Jeffrey Miranda","2018-01-01 00:00:00","Male","Insurato","Daniel Kelly","2019-10-07 14:44:57","BROKER_2277","North West",4000
"Lisa Lewis","2018-01-01 00:00:00","Female","Insurato","Elisabeth Peterson","2019-10-07 14:44:57","BROKER_1314","North West",6000
"Sarah Rivas","2018-01-01 00:00:00","Male","Insurato","Berry Garner","2019-10-07 14:44:57","BROKER_1315","North West",6000
