"Owner_SmallPhotoUrl","Status","Owner","LeadSource","IsConverted","Rating","CreatedDate","Name","Owner_Name","LeadActivities","ConvertedOppAmount"
"Tawnia Williams","Converted","Deepu CSEG ","Trade Show","FALSE","Cold","2020-12-25","Ciel Rowland","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",13,0
"Thomas Oliver","Working","G M","Other","TRUE","Warm","2020-12-18","Lark Grasha","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",9,0
"Sofia Lopez","Nurturing","R CSEG","Purchased List","FALSE","Hot","2020-12-03","Eadie Bowness","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",24,0
"Sofia Lopez","New","R CSEG","Advertisement","FALSE","Warm","2020-11-17","Doris Kirby","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",11,0
"Thomas Oliver","Qualified","G M","Other","FALSE","Hot","2020-12-21","Kristin Prebble","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",8,0
"Sofia Lopez","Converted","R CSEG","Employee Referral","TRUE","Cold","2020-11-28","Spears","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",7,0
"Justin Chen","Working  - Contacted","Qianwen Dong","Employee Referral","FALSE","Warm","2020-12-23","Kardashian","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",11,0
"Justin Chen","Nurturing - Contacted","Qianwen Dong","Advertisement","FALSE","Hot","2020-11-13","Hanks","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",11,0
"Sofia Lopez","Working  - Contacted","R CSEG","Employee Referral","TRUE","Warm","2020-12-28","Pauline Parell","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",22,0
"Thomas Oliver","Nurturing - Contacted","G M","Other","FALSE","Warm","2020-12-19","Pattison","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",11,0
"Sofia Lopez","Converted","R CSEG","Other","FALSE","Cold","2020-11-04","Bobine Orrobin","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",23,0
"Tawnia Williams","Working","Deepu CSEG ","Purchased List","FALSE","Warm","2020-11-26","Sumner Silverson","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",8,0
"Justin Chen","Nurturing","Qianwen Dong","Employee Referral","TRUE","Hot","2020-12-19","Charles","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",5,19800
"Thomas Oliver","Converted","G M","Advertisement","FALSE","Warm","2020-12-03","Columbus","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",6,0
"Sofia Lopez","New","R CSEG","Other","FALSE","Hot","2020-12-23","Genvieve Trimme","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",6,0
"Tawnia Williams","Working  - Contacted","Deepu CSEG ","Other","FALSE","Cold","2020-11-19","Federer","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",10,0
"Sofia Lopez","Nurturing - Contacted","R CSEG","Other","FALSE","Warm","2020-12-27","Mehetabel Gherardesci","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",13,0
"Justin Chen","Qualified","Qianwen Dong","Advertisement","TRUE","Warm","2020-12-22","Gwyneth Hardman","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",22,0
"Sofia Lopez","Converted","R CSEG","Other","FALSE","Hot","2020-12-05","Theresa","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",19,0
"Thomas Oliver","Working","G M","Employee Referral","FALSE","Warm","2020-11-06","Kristopher Crummey","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",6,0
"Sofia Lopez","Qualified","R CSEG","Employee Referral","FALSE","Cold","2020-12-05","Caitlin Marder","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",6,0
"Thomas Oliver","Nurturing","G M","Other","TRUE","Hot","2020-12-29","Jami de Lloyd","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",6,0
"Sofia Lopez","Qualified","R CSEG","Purchased List","FALSE","Warm","2020-12-17","Ddene Gail","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",11,17500
"Justin Chen","New","Qianwen Dong","Employee Referral","FALSE","Warm","2020-12-25","Fayina Chattaway","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",15,0
"Tawnia Williams","Converted","Deepu CSEG ","Advertisement","FALSE","Cold","2020-12-19","Janith Guerreau","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",5,0
"Sofia Lopez","Nurturing - Contacted","R CSEG","Other","TRUE","Hot","2020-11-22","Jacklin Guynemer","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",15,0
"Thomas Oliver","Nurturing","G M","Other","FALSE","Warm","2020-11-11","Dexter Middlemass","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",25,0
"Thomas Oliver","Working  - Contacted","G M","Trade Show","FALSE","Warm","2020-12-18","Leon","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",0,0
"Sofia Lopez","Qualified","R CSEG","Employee Referral","FALSE","Hot","2020-12-25","Ingemar Wincer","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",11,0
"Justin Chen","Working","Qianwen Dong","Other","TRUE","Warm","2020-12-10","Hesther Souley","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",10,0
"Sofia Lopez","Converted","R CSEG","Purchased List","FALSE","Cold","2020-11-07","Virginie Bembrigg","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",8,0
"Tawnia Williams","Nurturing - Contacted","Deepu CSEG ","Other","FALSE","Warm","2020-12-26","Patra","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",18,0
"Sofia Lopez","Converted","R CSEG","Advertisement","TRUE","Hot","2020-12-09","Ermanno Monroe","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",14,0
"Justin Chen","Working","Qianwen Dong","Trade Show","FALSE","Warm","2020-11-18","Evangelia Ricker","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",0,0
"Thomas Oliver","Working  - Contacted","G M","Employee Referral","FALSE","Cold","2020-12-16","Rudolph Carvil","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",11,0
"Sofia Lopez","New","R CSEG","Advertisement","FALSE","Warm","2020-12-23","Carin Christescu","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",18,0
"Thomas Oliver","Nurturing","G M","Other","FALSE","Hot","2020-12-21","Ruthie Marvell","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",15,0
"Sofia Lopez","Working  - Contacted","R CSEG","Employee Referral","TRUE","Warm","2020-11-28","Doroteya Iglesia","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",7,30000
"Tawnia Williams","Nurturing - Contacted","Deepu CSEG ","Employee Referral","FALSE","Cold","2020-12-26","Gus Mead","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T",9,0
"Sofia Lopez","Converted","R CSEG","Other","FALSE","Warm","2020-11-06","Linc Migheli","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T",10,86000
"Thomas Oliver","Qualified","G M","Advertisement","TRUE","Hot","2020-12-04","Laurene Bathurst","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T",12,0
"Justin Chen","Converted","Qianwen Dong","Employee Referral","FALSE","Warm","2020-11-12","Aguie Beckingham","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T",14,18000
