"Status","AccountCustomerSinceDate","AccountId","CreatedDate","LastProcessedDate","ServiceIdentifier","AccountName","TopUpAndUsage_CLTV","CLTV","Account_LastOrder_ActivationDuration_InSeconds","Subscription_LastOrder_Order_ActivationDuration_InSeconds","MonthsSinceCustomer"
"Active","2020-04-26","0014x00000Abb2qAAB","2021-05-15","2021-07-14","3040394276","John Baker",175,250,33,33,17
"Active","2020-03-09","0014x00000Abb2rAAB","2021-05-15","2021-07-14","3031264735","Julie Parker",0,3.2,9,9,18
"Active","2020-03-09","0014x00000Abb2rAAB","2021-05-15","2021-07-14","3031264735","Julie Parker",5,3.2,9,905,18
"Inactive","2016-10-17","0014x00000Abb2sAAB","2021-05-15","2021-07-14","3030214444","Marie Watson",145,4.2,14,22,59
"Active","2016-10-17","0014x00000Abb2sAAB","2021-05-15","2021-07-14","3030214444","Marie Watson",180,4.2,14,14,59
"Active","2016-10-17","0014x00000Abb2sAAB","2021-05-15","2021-07-14","3030214444","Marie Watson",0,4.2,14,10,59
"Active","2016-08-09","0014x00000AKffcAAD","2021-05-15","2021-07-14","3031358792","Maria Iglesias",80,360,33267,33267,61
"Active","2020-02-11","0014x00000AKhAVAA1","2021-05-15","2021-07-14","3031359420","Isabel Bozzo",0,760,86,86,19
"Active","2020-12-03","0014x00000AKpTOAA1","2021-05-16","2021-07-14","3035556555","John Conner",180,2.3,11,11,10
"Active","2021-01-12","0014x00000AKqIsAAL","2021-05-16","2021-07-14","3031122334","Michael Johnson",0,600,19,19,8
"Active","2021-02-11","0014x00000AKvcQAAT","2021-05-16","2021-07-14","3030247777","Chris James",0,2.1,7,688,7
"Inactive","2021-02-11","0014x00000AKvcQAAT","2021-05-16","2021-07-14","3031379560","Chris James",0,2.1,7,7,7
"Active","2019-02-01","0014x00000CkntvAAB","2021-05-25","2021-07-14","3031430728","William Smith",0,5.2,49,357120,32
"Active","2019-02-01","0014x00000CkntvAAB","2021-05-25","2021-07-14","3031430728","William Smith",0,5.2,49,49,32
"Active","2020-07-10","0014x00000EGX2rAAH","2021-06-08","2021-07-14","5499912304","Kevin Riley",0,2.1,1538342,1538342,14
"Active",,,"2021-06-08","2021-07-14","6712390968",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","5499912304",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","5491232004",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","5922433300",,0,0,0,0,0
"Active","2016-05-03","0014x00000EGX36AAH","2021-06-08","2021-07-14","5491232004","Dainton Hunt",0,760,2752,2752,65
"Active",,,"2021-06-08","2021-07-14","5412390968",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","6499912304",,0,0,0,0,0
"Active","2018-06-04","0014x00000EGX3LAAX","2021-06-08","2021-07-14","5412390968","Olivia Carter",0,1.82,4586,4586,40
"Active",,,"2021-06-08","2021-07-14","5922433291",,0,0,0,0,0
"Active","2020-12-29","0014x00000EGX3VAAX","2021-06-08","2021-07-14","5922433291","Abigail Riley",270,220,8,8,9
"Active","2019-12-15","0014x00000EGX1vAAH","2021-06-08","2021-07-14","5922433292","Kelsey Harris",0,1.44,3939,3939,21
"Active",,,"2021-06-08","2021-07-14","5922433292",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","5922433293",,0,0,0,0,0
"Active","2019-05-02","0014x00000EGX3gAAH","2021-06-08","2021-07-14","6722433300","James West",155,260,1538418,1538418,29
"Active","2018-03-19","0014x00000EGX2OAAX","2021-06-08","2021-07-14","5922433293","Alissa Montgomery",0,360,1409,1409,42
"Active",,,"2021-06-08","2021-07-14","6922433293",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","5922433294",,0,0,0,0,0
"Active","2018-04-29","0014x00000EGX3pAAH","2021-06-08","2021-07-14","5922433294","Dexter Taylor",0,260,1538415,1538415,41
"Active",,,"2021-06-08","2021-07-14","5922433295",,0,0,0,0,0
"Active","2018-07-09","0014x00000EGX3zAAH","2021-06-08","2021-07-14","5922433295","Miley Tucker",0,220,1538427,1538427,38
"Active","2020-05-18","0014x00000EGX44AAH","2021-06-08","2021-07-14","5922433296","Kristian Anderson",0,840,3879,3879,16
"Active",,,"2021-06-08","2021-07-14","5922433296",,0,0,0,0,0
"Active","2019-04-28","0014x00000EGX4EAAX","2021-06-08","2021-07-14","5922433297","Alina Barnes",0,320,1379,1379,29
"Active",,,"2021-06-08","2021-07-14","5922433297",,0,0,0,0,0
"Active",,,"2021-06-08","2021-07-14","5922433298",,0,0,0,0,0
"Active","2020-08-03","0014x00000EGX4TAAX","2021-06-08","2021-07-14","5922433298","Stuart Jones",0,2.1,7627,7627,14
"Active",,,"2021-06-08","2021-07-14","5922433299",,0,0,0,0,0
"Active","2017-05-11","0014x00000EGX4dAAH","2021-06-08","2021-07-14","5922433299","Ryan Grant",0,250,5201,5201,52
"Active","2020-10-10","0014x00000EGX4iAAH","2021-06-08","2021-07-14","5922433300","Catherine Casey",0,800,1538321,1538321,11
"Active",,,"2021-06-08","2021-07-14","5922433301",,0,0,0,0,0
