"Quote","Status","Record_ID","Line_Item_Number","Name","Quote_Name"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjOAAU",,"Sheridan Zane","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjPAAU",,"Bulah Padilla","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjQAAU",,"Audra Kohnert","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjRAAU",,"Daren Weirather","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjSAAU",,"Fernanda Jillson","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjTAAU",,"Gearldine Gellinger","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjUAAU",,"Chau Kitzman","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjVAAU",,"Theola Frey","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjWAAU",,"Cheryl Haroldson","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjXAAU",,"Laticia Merced","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjYAAU",,"Carissa Batman","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjZAAU",,"Lezlie Craghead","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjaAAE",,"Ozell Shealy","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjbAAE",,"Arminda Parvis","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjcAAE",,"Reita Leto","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjdAAE",,"Yolando Luczki","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjeAAE",,"Lizette Stem","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjfAAE",,"Gregoria Pawlowicz","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjgAAE",,"Carin Deleo","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009i3zCAA","Draft","a5o4x0000001IjhAAE",,"Chantell Maynerich","AE +29 Mobile subscribers with hand sets"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001IfEAAU","00007371","1 Huntwood Ave","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001IfBAAU","00007353","12270 Caton Center Dr","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001If3AAE","00007305","134 Lewis Rd","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001IfJAAU","00007401","1844 Southern Blvd","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001IfKAAU","00007407","2023 Greg St","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001If1AAE","00007293","2409 Alabama Rd","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001If6AAE","00007323","4 Bloomfield Ave","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001IfGAAU","00007383","422 E 21st St","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001If7AAE","00007329","429 Tiger Ln","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001IfHAAU","00007389","501 N 19th Ave","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001IfIAAU","00007395","455 N Main Ave","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001If8AAE","00007335","54169 N Main St","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001IfFAAU","00007377","55262 N French Rd","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001If5AAE","00007317","60480 Old Us Highway 51","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001IfAAAU","00007347","72 Mannix Dr","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001IfCAAU","00007359","749 W 18th St #45","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001IfDAAU","00007365","8 Industry Ln","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001If2AAE","00007299","8927 Vandever Ave","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001If4AAE","00007311","9 N College Ave #3","AE 25 Broadband Services"
"0Q04x0000009h14CAA","Accepted","a5o4x0000001If9AAE","00007341","92 Main St","AE 25 Broadband Services"
"0Q04x0000009hNZCAY","Presented","a5o4x0000001IhWAAU","00007744","42744 Hamann Industrial Pky #82","AL +20 Broadband"
"0Q04x0000009hNZCAY","Presented","a5o4x0000001IhXAAU","00007756","1950 5th Ave","AL +20 Broadband"
"0Q04x0000009hNZCAY","Presented","a5o4x0000001IhYAAU","00007768","61304 N French Rd","AL +20 Broadband"
