LastProcessedDate,Manager,OwnerId,OwnerName,PeriodAuxDate,PeriodName,QuotaAmount,Role,SmallPhotoUrl,StartDate
2021-05-13,Dean Pierce,,Kylie Cannon,2021-05-13,Current Month,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Mary Eng,,Gary Hill,2021-05-13,Current Month,"$600,000.00",RVP West,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Dean Pierce,,Elizabeth Lewis,2021-05-13,Current Month,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,,,Mary Eng,2021-05-13,Current Month,"$600,000.00",VP of Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Gary Hill,,Beth Malone,2021-05-13,Current Month,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Mary Eng,,Brian Chandler,2021-05-13,Current Month,"$600,000.00",RVP East,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Mary Eng,,Dean Pierce,2021-05-13,Current Month,"$600,000.00",RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Mary Eng,,Erica Fletcher,2021-05-13,Current Month,"$600,000.00",RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Brian Chandler,,Jeremiah Ballard,2021-05-13,Current Month,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Dean Pierce,,Jane Martin,2021-05-13,Current Month,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Gary Hill,,Ebony Ali,2021-05-13,Current Month,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Brian Chandler,,Austin Le,2021-05-13,Current Month,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Brian Chandler,,Devin Washington,2021-05-13,Current Month,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Gary Hill,,Amy Thomas,2021-05-13,Current Month,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Gary Hill,,Amy Johnson,2021-05-13,Current Month,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Dean Pierce,,Nicole Bowers,2021-05-13,Current Month,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Gary Hill,,Karen Mccann,2021-05-13,Current Month,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Gary Hill,,Rebecca Espinoza,2021-05-13,Current Month,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Brian Chandler,,Patricia Shepard,2021-05-13,Current Month,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Brian Chandler,,Lucas Baxter,2021-05-13,Current Month,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Brian Chandler,,Oscar Anthony,2021-05-13,Current Month,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-05-01
2021-05-13,Gary Hill,,Karen Mccann,2021-04-06,1 Month Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Gary Hill,,Rebecca Espinoza,2021-04-27,1 Month Ago,"$600,000.00",West Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Mary Eng,,Dean Pierce,2021-04-03,1 Month Ago,"$600,000.00",RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Mary Eng,,Erica Fletcher,2021-04-11,1 Month Ago,"$600,000.00",RVP Central,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Brian Chandler,,Devin Washington,2021-04-10,1 Month Ago,"$600,000.00",East Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Dean Pierce,,Elizabeth Lewis,2021-04-05,1 Month Ago,"$600,000.00",Central Sales,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
2021-05-13,Mary Eng,,Brian Chandler,2021-04-05,1 Month Ago,"$600,000.00",RVP East,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,2021-04-01
