"ProductFamily","IsAmount","Quota.Role.Name","Quota.ForecastEnabled","Quota.Role.Roles","Quota.LastName","Quota.IsActive","Quota.UserRoleId","StartDate","Quota.Role.DeveloperName","Quota.Username","Quota.Role.ParentRole.DeveloperName","Quota.SmallPhotoUrl","Quota.UniqueUserName","Quota.ManagerId","Quota.Role.ParentRole.Name","Quota.Role.RolePath","Quota.Role.RoleNamesPath","Quota.Role.RoleNames","Quota.FirstName","PeriodId","Quota.Role.ForecastManager.Name","Quota.Role.ParentRoleId","Quota.Name","Quota.Role.ParentRole.ForecastManager.Name","Quota.Role.ForecastManager.UniqueUserName","ForecastingTypeId","QuotaOwnerId","Quota.Role.ParentRole.ForecastManager.UniqueUserName","Id","Quota.Role.ForecastManager.ForecastEnabled","QuotaQuantity","QuotaAmount"
,"true","West Sales","true","00EB0000000lg9lMAA","Espinoza","true","00EB0000000lg9wMAA","2019-01-01","West_Sales","respinoz1600302444760@demo.user","RVP_West","https://c.gus.content.force.com/profilephoto/729B0000000LUBa/T","Rebecca Espinoza","005B0000006s9efIAA","RVP West","00EB0000000lg9wMAA/00EB0000000lg9rMAA/00EB0000000lg9lMAA","Rebecca Espinoza/Gary Hill/Arya Stark","Arya Stark","Rebecca","026B0000000kC38IAE",,"00EB0000000lg9rMAA","Rebecca Espinoza","Gary Hill",,"0DbB0000001948lKAA","005B0000006s9eOIAQ","Gary Hill","0J9B0000000PqGqKAK",,0,300000
,"true","West Sales","true","00EB0000000lg9lMAA","Espinoza","true","00EB0000000lg9wMAA","2019-02-01","West_Sales","respinoz1600302444760@demo.user","RVP_West","https://c.gus.content.force.com/profilephoto/729B0000000LUBa/T","Rebecca Espinoza","005B0000006s9efIAA","RVP West","00EB0000000lg9wMAA/00EB0000000lg9rMAA/00EB0000000lg9lMAA","Rebecca Espinoza/Gary Hill/Arya Stark","Arya Stark","Rebecca","026B0000000kC39IAE",,"00EB0000000lg9rMAA","Rebecca Espinoza","Gary Hill",,"0DbB0000001948lKAA","005B0000006s9eOIAQ","Gary Hill","0J9B0000000PqGrKAK",,0,750000
,"true","West Sales","true","00EB0000000lg9lMAA","Espinoza","true","00EB0000000lg9wMAA","2019-03-01","West_Sales","respinoz1600302444760@demo.user","RVP_West","https://c.gus.content.force.com/profilephoto/729B0000000LUBa/T","Rebecca Espinoza","005B0000006s9efIAA","RVP West","00EB0000000lg9wMAA/00EB0000000lg9rMAA/00EB0000000lg9lMAA","Rebecca Espinoza/Gary Hill/Arya Stark","Arya Stark","Rebecca","026B0000000kC3AIAU",,"00EB0000000lg9rMAA","Rebecca Espinoza","Gary Hill",,"0DbB0000001948lKAA","005B0000006s9eOIAQ","Gary Hill","0J9B0000000PqGsKAK",,0,500000
,"true","West Sales","true","00EB0000000lg9lMAA","Espinoza","true","00EB0000000lg9wMAA","2019-04-01","West_Sales","respinoz1600302444760@demo.user","RVP_West","https://c.gus.content.force.com/profilephoto/729B0000000LUBa/T","Rebecca Espinoza","005B0000006s9efIAA","RVP West","00EB0000000lg9wMAA/00EB0000000lg9rMAA/00EB0000000lg9lMAA","Rebecca Espinoza/Gary Hill/Arya Stark","Arya Stark","Rebecca","026B0000000kC3BIAU",,"00EB0000000lg9rMAA","Rebecca Espinoza","Gary Hill",,"0DbB0000001948lKAA","005B0000006s9eOIAQ","Gary Hill","0J9B0000000PqGtKAK",,0,300000
,"true","West Sales","true","00EB0000000lg9lMAA","Espinoza","true","00EB0000000lg9wMAA","2019-05-01","West_Sales","respinoz1600302444760@demo.user","RVP_West","https://c.gus.content.force.com/profilephoto/729B0000000LUBa/T","Rebecca Espinoza","005B0000006s9efIAA","RVP West","00EB0000000lg9wMAA/00EB0000000lg9rMAA/00EB0000000lg9lMAA","Rebecca Espinoza/Gary Hill/Arya Stark","Arya Stark","Rebecca","026B0000000kC3CIAU",,"00EB0000000lg9rMAA","Rebecca Espinoza","Gary Hill",,"0DbB0000001948lKAA","005B0000006s9eOIAQ","Gary Hill","0J9B0000000PqGuKAK",,0,750000
,"true","West Sales","true","00EB0000000lg9lMAA","Espinoza","true","00EB0000000lg9wMAA","2019-06-01","West_Sales","respinoz1600302444760@demo.user","RVP_West","https://c.gus.content.force.com/profilephoto/729B0000000LUBa/T","Rebecca Espinoza","005B0000006s9efIAA","RVP West","00EB0000000lg9wMAA/00EB0000000lg9rMAA/00EB0000000lg9lMAA","Rebecca Espinoza/Gary Hill/Arya Stark","Arya Stark","Rebecca","026B0000000kC3DIAU",,"00EB0000000lg9rMAA","Rebecca Espinoza","Gary Hill",,"0DbB0000001948lKAA","005B0000006s9eOIAQ","Gary Hill","0J9B0000000PqGvKAK",,0,500000
,"true","West Sales","true","00EB0000000lg9lMAA","Espinoza","true","00EB0000000lg9wMAA","2019-07-01","West_Sales","respinoz1600302444760@demo.user","RVP_West","https://c.gus.content.force.com/profilephoto/729B0000000LUBa/T","Rebecca Espinoza","005B0000006s9efIAA","RVP West","00EB0000000lg9wMAA/00EB0000000lg9rMAA/00EB0000000lg9lMAA","Rebecca Espinoza/Gary Hill/Arya Stark","Arya Stark","Rebecca","026B0000000kC3EIAU",,"00EB0000000lg9rMAA","Rebecca Espinoza","Gary Hill",,"0DbB0000001948lKAA","005B0000006s9eOIAQ","Gary Hill","0J9B0000000PqGwKAK",,0,300000
,"true","West Sales","true","00EB0000000lg9lMAA","Espinoza","true","00EB0000000lg9wMAA","2019-08-01","West_Sales","respinoz1600302444760@demo.user","RVP_West","https://c.gus.content.force.com/profilephoto/729B0000000LUBa/T","Rebecca Espinoza","005B0000006s9efIAA","RVP West","00EB0000000lg9wMAA/00EB0000000lg9rMAA/00EB0000000lg9lMAA","Rebecca Espinoza/Gary Hill/Arya Stark","Arya Stark","Rebecca","026B0000000kC3FIAU",,"00EB0000000lg9rMAA","Rebecca Espinoza","Gary Hill",,"0DbB0000001948lKAA","005B0000006s9eOIAQ","Gary Hill","0J9B0000000PqGxKAK",,0,750000
,"true","West Sales","true","00EB0000000lg9lMAA","Espinoza","true","00EB0000000lg9wMAA","2019-09-01","West_Sales","respinoz1600302444760@demo.user","RVP_West","https://c.gus.content.force.com/profilephoto/729B0000000LUBa/T","Rebecca Espinoza","005B0000006s9efIAA","RVP West","00EB0000000lg9wMAA/00EB0000000lg9rMAA/00EB0000000lg9lMAA","Rebecca Espinoza/Gary Hill/Arya Stark","Arya Stark","Rebecca","026B0000000kC3GIAU",,"00EB0000000lg9rMAA","Rebecca Espinoza","Gary Hill",,"0DbB0000001948lKAA","005B0000006s9eOIAQ","Gary Hill","0J9B0000000PqGyKAK",,0,500000
,"true","West Sales","true","00EB0000000lg9lMAA","Espinoza","true","00EB0000000lg9wMAA","2019-10-01","West_Sales","respinoz1600302444760@demo.user","RVP_West","https://c.gus.content.force.com/profilephoto/729B0000000LUBa/T","Rebecca Espinoza","005B0000006s9efIAA","RVP West","00EB0000000lg9wMAA/00EB0000000lg9rMAA/00EB0000000lg9lMAA","Rebecca Espinoza/Gary Hill/Arya Stark","Arya Stark","Rebecca","026B0000000kC3HIAU",,"00EB0000000lg9rMAA","Rebecca Espinoza","Gary Hill",,"0DbB0000001948lKAA","005B0000006s9eOIAQ","Gary Hill","0J9B0000000PqGzKAK",,0,300000
