"Opportunity.Owner.UniqueUserName","Account.Owner.Role.RolePath","Account.LastReferencedDate","Account.Owner.UniqueUserName","Opportunity.IsWon","Quote.SBQQ__Status__c","Quote.SBQQ__Primary__c","Owner.Role.ParentRole.Name","Quote.SBQQ__SalesRep__c","Account.SBQQ__AssetQuantitiesCombined__c","Opportunity.SBQQ__Renewal__c","Account.BillingPostalCode","Owner.Username","Account.SBQQ__PriceHoldEnd__c","Quote.SBQQ__BillingPostalCode__c","Quote.SBQQ__ContractingMethod__c","Opportunity.SBQQ__Contracted__c","IsDeleted","StatusPreviousValue","Account.SBQQ__RenewalPricingMethod__c","Opportunity.Owner.Name","Owner.Role.RolePath","Quote.SBQQ__EmailTemplateId__c","Quote.SBQQ__ShippingName__c","Approvals.SubmittedBy.UniqueUserName","Quote.LastReferencedDate","Account.SBQQ__CoTermedContractsCombined__c","Quote.SBQQ__LineItemsGrouped__c","Account.BillingGeocodeAccuracy","Account.BillingCountry","Opportunity.LastModifiedDate","Quote.SBQQ__BillingCountry__c","Id","Quote.SBQQ__QuoteProcessId__c","Quote.LastViewedDate","Account.LastActivityDate","Owner.Role.RoleNames","Owner.UniqueUserName","Quote.SBQQ__ExpirationDate__c","Owner.FullPhotoUrl","Quote.SBQQ__QuoteTemplateId__c","Quote.SBQQ__ShippingState__c","Account.Id","Opportunity.LastActivityDate","Quote.SBQQ__ShippingPostalCode__c","Opportunity.Owner.Role.Name","Quote.SBQQ__ShippingCountry__c","Account.BillingCity","Opportunity.SBQQ__QuotePricebookId__c","Quote.SBQQ__Ordered__c","Opportunity.HasOpenActivity","ParentId","Opportunity.Name","Owner.Name","Opportunity.CloseDate","Quote.SBQQ__EndDate__c","Account.BillingState","Account.LastViewedDate","Account.Owner.Name","Opportunity.HasOverdueTask","Quote.SBQQ__FirstSegmentTermEndDate__c","Quote.SBQQ__Introduction__c","Quote.SBQQ__WatermarkShown__c","Account.SBQQ__ContractCoTermination__c","Approvals.Approver.UniqueUserName","Opportunity.CreatedDate","Quote.LastActivityDate","Quote.SBQQ__Key__c","Quote.SBQQ__GenerateContractedPrice__c","Quote.SBQQ__BillingName__c","Quote.SBQQ__ShippingStreet__c","Quote.SBQQ__ShippingCity__c","Quote.Id","Opportunity.SBQQ__CreateContractedPrices__c","Quote.Name","OldValue","Account.ShippingCountry","Opportunity.SBQQ__Ordered__c","Quote.SBQQ__DocumentStatus__c","Quote.SBQQ__PricebookId__c","Quote.IsDeleted","Owner.Role.Hierarchy_RoleNames","CreatedById","Opportunity.Owner.Role.RolePath","Account.ShippingCity","Owner.Role.Name","Account.Owner.Role.Roles","Opportunity.LastReferencedDate","Opportunity.StageName","Owner.Role.DeveloperName","Account.CreatedDate","Owner.Role.RoleNamesPath","Opportunity.Owner.Role.ParentRoleId","Account.SBQQ__CoTerminationEvent__c","Quote.LastModifiedDate","Quote.SBQQ__Opportunity2__c","Quote.SBQQ__BillingCity__c","Opportunity.Id","Opportunity.IsClosed","Quote.SBQQ__Notes__c","Quote.SBQQ__LineItemsPrinted__c","CreatedDate","NewValue","StatusValue","Opportunity.AccountId","Account.SBQQ__RenewalModel__c","Quote.SBQQ__BillingStreet__c","Account.ShippingState","Quote.SBQQ__DeliveryMethod__c","Quote.SBQQ__StartDate__c","Account.Owner.Role.Name","Opportunity.ForecastCategoryName","Account.ShippingGeocodeAccuracy","Owner.SmallPhotoUrl","Owner.Role.ParentRoleId","NextCreatedDate","Field","Account.SBQQ__PreserveBundle__c","Quote.SBQQ__PaymentTerms__c","Quote.SBQQ__BillingState__c","Opportunity.ForecastCategory","Account.PhotoUrl","Opportunity.LastViewedDate","Opportunity.Owner.Role.Roles","Owner.UserRoleId","Quote.CreatedDate","Quote.SBQQ__Type__c","Account.Owner.Role.ParentRoleId","Quote.SBQQ__BillingFrequency__c","Account.BillingStreet","Account.ShippingStreet","Owner.Role.Roles","Owner.Role.ParentRole.DeveloperName","Account.ShippingPostalCode","Account.LastModifiedDate","Account.Name","Account.SBQQ__IgnoreParentContractedPrices__c","Account.ShippingLongitude","Account.BillingLatitude","TimePerStatus","Quote.SBQQ__PartnerDiscount__c","Quote.SBQQ__RegularAmount__c","Quote.SBQQ__DistributorDiscount__c","Quote.SBQQ__DaysQuoteOpen__c","Quote.SBQQ__LineItemCount__c","Opportunity.Probability","Quote.SBQQ__TargetCustomerAmount__c","Quote.SBQQ__NetAmount__c","Account.BillingLongitude","Quote.SBQQ__TotalCustomerDiscountAmount__c","Quote.SBQQ__CustomerAmount__c","Quote.SBQQ__AdditionalDiscountAmount__c","Quote.SBQQ__AveragePartnerDiscount__c","Quote.SBQQ__AverageCustomerDiscount__c","Quote.SBQQ__SubscriptionTerm__c","Quote.SBQQ__ListAmount__c","Quote.SBQQ__CustomerDiscount__c","Account.ShippingLatitude","Quote.SBQQ__MarkupRate__c","Opportunity.Amount"
"Andrew Van Alstine",,,"Andrew Van Alstine","true","In Review","true",,"005B0000004ixxzIAA","false","false","60613","stine1536693294167@demo.user",,"60613","By Subscription End Date","true","false","Draft","Same","Andrew Van Alstine",,,"Lakeview Boating Supplies",,,"false","false",,"USA","2018-09-24T16:37:27.000Z","USA","a91B00000008OREIA2","a2aB00000009J0TIAU",,,,"Andrew Van Alstine","2018-08-27","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"IL","001B000000nQA0XIAW",,"60613",,"USA","Chicago","01sB0000001KrsAIAS","false","false","a2dB0000000B7WJIA0","August Sale","Andrew Van Alstine","2018-10-01",,"IL",,"Andrew Van Alstine","false",,"Greetings Frank Stevens,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your","true","Never",,"2018-08-20T20:02:16.000Z",,,,"Lakeview Boating Supplies","3711 N Pine Grove Apt2-3s","Chicago","a2dB0000000B7WJIA0","false","Q-00749","Draft","USA","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Chicago",,,,"Closed Won",,"2017-12-08T01:04:35.000Z",,,,"2018-09-23T22:03:32.000Z","006B0000004P6LWIA0","Chicago","006B0000004P6LWIA0","true",,"true","2018-08-20T20:49:26.000Z","In Review","In Review","001B000000nQA0XIAW","Contract Based","3711 N Pine Grove Apt2-3s","IL",,"2018-08-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"SBQQ__Status__c","true","Net 90","IL","Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"3711 N Pine Grove Apt2-3s","3711 N Pine Grove Apt2-3s",,,"60613","2018-09-11T19:15:38.000Z","Lakeview Boating Supplies","false",0,0,3553834,0,727620,0,20,19,100,0,646976.15,0,80644,646976.15,80643.85,0,11.1,12,727620.15,0,0,0,646976.15
"TJ Boskelly",,,"TJ Boskelly","true","Approved","true",,"005B0000004ixyMIAQ","true","false","60654","kelly1536693294191@demo.user",,"60654","By Subscription End Date","true","false","Draft","Uplift","TJ Boskelly",,,"Shelby Company Ltd.",,,"true","false",,"USA","2018-09-24T16:37:34.000Z","USA","a91B00000008ORFIA2","a2aB00000009J0TIAU",,,,"TJ Boskelly","2018-08-24","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"IL","001B000000nQA0vIAG",,"60654",,"USA","Chicago","01sB0000001KrsAIAS","false","false","a2dB0000000B7UuIAK","Q3 Business - New Sale","TJ Boskelly","2018-01-16",,"IL",,"TJ Boskelly","false",,"Greetings Thomas Shelby,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your","false","Always",,"2018-08-17T23:54:21.000Z",,,,"Shelby Company Ltd.","111 W Illinois St","Chicago","a2dB0000000B7UuIAK","false","Q-00662","Draft","USA","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Chicago",,,,"Closed Won",,"2017-12-08T01:09:20.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6MrIAK","Chicago","006B0000004P6MrIAK","true",,"true","2018-08-17T23:57:51.000Z","Approved","Approved","001B000000nQA0vIAG","Contract Based","111 W Illinois St","IL",,"2018-09-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"SBQQ__Status__c","true","Net 30","IL","Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"111 W Illinois St","111 W Illinois St",,,"60654","2018-09-11T19:15:38.000Z","Shelby Company Ltd.","false",0,0,-18489471,0,431801.2,0,20,7,100,400000,400000,0,43800.15,400000,31801.2,0,9.9,12,443800.15,0,0,0,400000
"Don Stricklin",,,"Don Stricklin","true","Accepted","true",,"005B0000004ixyVIAQ","true","false","30005","dstri1536693294203@demo.user",,"30005","By Subscription End Date","true","false","Draft","Same","Don Stricklin",,,"DonCo",,,"true","false",,"United States","2018-09-24T16:37:34.000Z","United States","a91B00000008ORGIA2","a2aB00000009J0TIAU",,,,"Don Stricklin","2018-08-24","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"GA","001B000000nQ9xvIAC",,"30024",,"United States","Alpharetta","01sB0000001KrsAIAS","false","false","a2dB0000000B7VPIA0","Protection","Don Stricklin","2018-03-01",,"GA",,"Don Stricklin","false",,"Greetings Don Stricklin,


Enclosed is the proposal I promised you. Thanks!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar wi","false","Always",,"2018-08-17T22:08:13.000Z",,,,"DonCo","810 Rockbass Road","Suwanee","a2dB0000000B7VPIA0","false","Q-00693","Draft","United States","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Suwanee",,,,"Closed Won",,"2018-08-14T22:23:50.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6MzIAK","Alpharetta","006B0000004P6MzIAK","true",,"true","2018-08-17T22:57:47.000Z","Accepted","Accepted","001B000000nQ9xvIAC","Contract Based","5490 McGinnis Ferry Road","GA",,"2018-09-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"SBQQ__Status__c","true","Net 30","GA","Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"5490 McGinnis Ferry Road","810 Rockbass Road",,,"30024","2018-09-11T19:15:37.000Z","DonCo","false",0,0,-14684267,0,1878103.6,0,0,23,100,1800000,1800000,0,114100.15,1800000,78103.6,0,6,12,1914100.15,0,0,0,1800000
"Brian Falkner",,,"Brian Falkner","true","In Review","true",,"005B0000004ixxUIAQ","true","false","28217","brian1536693294132@demo.user",,"28217","By Subscription End Date","true","false","Draft","Same","Brian Falkner",,,"Cambridge Data",,,"true","false",,"US","2018-09-24T16:37:34.000Z","US","a91B00000008ORHIA2","a2aB00000009J0TIAU",,,,"Brian Falkner","2018-08-24","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"NC","001B000000nQ9xcIAC",,"28217",,"US","Charlotte","01sB0000001KrsAIAS","false","false","a2dB0000000B7UtIAK","Sato","Brian Falkner","2018-04-20",,"NC",,"Brian Falkner","false",,"Greetings Cambridge Data ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, yo","true","Always",,"2018-08-17T23:23:58.000Z",,,,"Cambridge Data","5200 77 Center Dr","Charlotte","a2dB0000000B7UtIAK","false","Q-00661","Draft","US","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Charlotte",,,,"Closed Won",,"2018-04-18T21:26:57.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6MvIAK","Charlotte","006B0000004P6MvIAK","true",,"true","2018-08-17T23:43:01.000Z","In Review","In Review","001B000000nQ9xcIAC","Contract Based","5200 77 Center Dr","NC",,"2018-09-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"SBQQ__Status__c","true","Net 60","NC","Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"5200 77 Center Dr","5200 77 Center Dr",,,"28217","2018-09-11T19:15:37.000Z","Cambridge Data","false",0,0,-10366981,0,1343361.2,0,20,7,100,0,975620.9,0,593579.1,975620.9,367740.3,0,37.8,12,1569200,0,0,0,975620.9
"Tom @Atomic",,,"Tom @Atomic","true","In Review","true",,"005B0000004ixxxIAA","false","false","B321HB","tomdavis1536693294164@demo.user",,"B321HB","By Subscription End Date","true","false","Draft","Same","Tom @Atomic",,,"The North Face Company",,,"false","true",,"United Kingdom","2018-09-24T16:37:27.000Z","United Kingdom","a91B00000008ORIIA2","a2aB00000009J0TIAU",,,,"Tom @Atomic","2018-08-29","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,,"001B000000nQA0EIAW",,"B321HB",,"United Kingdom","Birmingham","01sB0000001KrsAIAS","false","false","a2dB0000000B7VMIA0","Distilled","Tom @Atomic","2018-01-20",,,,"Tom @Atomic","false",,"Greetings Andy McNab,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your he","true","Prompt",,"2018-08-22T17:50:40.000Z",,,,"The North Face Company","101 Oxford Street","London","a2dB0000000B7VMIA0","false","Q-00690","Draft","United Kingdom","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"London",,,,"Closed Won",,"2017-12-11T21:16:19.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6MMIA0","Birmingham","006B0000004P6MMIA0","true",,"true","2018-08-22T18:12:38.000Z","In Review","In Review","001B000000nQA0EIAW","Contract Based","33 Beverley Hills Boulevard",,,"2018-09-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"SBQQ__Status__c","true","Net 90",,"Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"33 Beverley Hills Boulevard","101 Oxford Street",,,,"2018-09-11T19:15:38.000Z","The North Face Company","false",0,0,-18555158,0,5323443.6,0,20,14,100,0,5000525,0,3356275.45,5000525,322918.6,0,40.2,36,8356800.45,0,0,0,5000525
"KayLeigh Dent",,,"KayLeigh Dent","false","Approved","true",,"005B0000004ixyBIAQ","true","false","92660","kdent1536693294176@demo.user",,"92660","By Subscription End Date","true","false","Draft","List","KayLeigh Dent",,,"Irvine Company","KayLeigh Dent",,"true","false",,"United States","2018-09-24T16:37:27.000Z","United States","a91B00000008ORJIA2","a2aB00000009J0TIAU",,,,"KayLeigh Dent","2018-09-06","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"CA","001B000000nQA14IAG",,"92660",,"United States","Newport Beach","01sB0000001KrsAIAS","false","false","a2dB0000000B7UwIAK","Solution Opportunity","KayLeigh Dent","2018-07-13",,"CA",,"KayLeigh Dent","false",,"Greetings Irvine Company ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, yo","true","Always","KayLeigh Dent","2018-08-30T05:43:11.000Z",,,,"Irvine Company","550 Newport Center Drive","Newport Beach","a2dB0000000B7UwIAK","false","Q-00664","Draft","United States","true",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Newport Beach",,,,"Proposal/Price Quote",,"2017-11-29T07:54:46.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6LoIAK","Newport Beach","006B0000004P6LoIAK","false",,"true","2018-09-01T04:51:59.000Z","In Review","In Review","001B000000nQA14IAG","Contract Based","550 Newport Center Drive","CA",,"2018-09-01",,"Pipeline",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"SBQQ__Status__c","true","Net 30","CA","Pipeline",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"550 Newport Center Drive","550 Newport Center Drive",,,"92660","2018-09-11T19:15:38.000Z","Irvine Company","false",0,0,2820589,0,1461194.74,0,20,11,75,0,1461194.74,0,149800.86,1461194.74,0,0,9.3,24,1610995.6,0,0,0,1461194.74
"KayLeigh Dent",,,"KayLeigh Dent","false","Approved","true",,"005B0000004ixyBIAQ","true","false","92660","kdent1536693294176@demo.user",,"92660","By Subscription End Date","true","false","In Review","List","KayLeigh Dent",,,"Irvine Company","KayLeigh Dent",,"true","false",,"United States","2018-09-24T16:37:27.000Z","United States","a91B00000008ORKIA2","a2aB00000009J0TIAU",,,,"KayLeigh Dent","2018-09-06","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"CA","001B000000nQA14IAG",,"92660",,"United States","Newport Beach","01sB0000001KrsAIAS","false","false","a2dB0000000B7UwIAK","Solution Opportunity","KayLeigh Dent","2018-07-13",,"CA",,"KayLeigh Dent","false",,"Greetings Irvine Company ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, yo","true","Always","KayLeigh Dent","2018-08-30T05:43:11.000Z",,,,"Irvine Company","550 Newport Center Drive","Newport Beach","a2dB0000000B7UwIAK","false","Q-00664","In Review","United States","true",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Newport Beach",,,,"Proposal/Price Quote",,"2017-11-29T07:54:46.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6LoIAK","Newport Beach","006B0000004P6LoIAK","false",,"true","2018-09-01T04:51:59.000Z","Approved","Approved","001B000000nQA14IAG","Contract Based","550 Newport Center Drive","CA",,"2018-09-01",,"Pipeline",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,"2018-09-01T04:51:59.000Z","SBQQ__Status__c","true","Net 30","CA","Pipeline",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"550 Newport Center Drive","550 Newport Center Drive",,,"92660","2018-09-11T19:15:38.000Z","Irvine Company","false",0,0,0,0,1461194.74,0,20,11,75,0,1461194.74,0,149800.86,1461194.74,0,0,9.3,24,1610995.6,0,0,0,1461194.74
"KayLeigh Dent",,,"KayLeigh Dent","false","In Review","true",,"005B0000004ixyBIAQ","true","false","92660","kdent1536693294176@demo.user",,"92660","By Subscription End Date","false","false","Draft","List","KayLeigh Dent",,,"Irvine Company",,,"true","false",,"United States","2018-09-24T16:37:27.000Z","United States","a91B00000008ORLIA2","a2aB00000009J0TIAU",,,,"KayLeigh Dent","2018-09-11","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"CA","001B000000nQA14IAG",,"92660",,"United States","Newport Beach","01sB0000001KrsAIAS","false","false","a2dB0000000B7USIA0","85 Licenses with Maintenance","KayLeigh Dent","2018-07-28","2020-08-31","CA",,"KayLeigh Dent","false",,"Greetings Karen Decker,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your ","true","Always",,"2018-09-05T03:58:54.000Z",,,,"Irvine Company","550 Newport Center Drive","Newport Beach","a2dB0000000B7USIA0","false","Q-00634","Draft","United States","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Newport Beach",,,,"Id. Decision Makers",,"2017-11-29T07:54:46.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6KXIA0","Newport Beach","006B0000004P6KXIA0","false",,"true","2018-09-05T04:00:32.000Z","In Review","In Review","001B000000nQA14IAG","Contract Based","550 Newport Center Drive","CA",,"2018-10-01",,"Pipeline",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"SBQQ__Status__c","true","Net 30","CA","Pipeline",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"550 Newport Center Drive","550 Newport Center Drive",,,"92660","2018-09-11T19:15:38.000Z","Irvine Company","false",0,0,2478076,0,236144.96,0,20,5,60,0,132463.28,0,247238.92,132463.28,103681.68,0,65.1,12,379702.2,46,0,0,132463.28
"Stuart O'Brien",,,"Stuart O'Brien","true","Approved","true",,"005B0000004ixyUIAQ","true","false","2000","so'br1536693294202@demo.user",,"2000","By Subscription End Date","true","false","Draft","Same","Stuart O'Brien",,,"East Leagues Club",,,"true","false",,"Australia","2018-09-24T16:37:27.000Z","Australia","a91B00000008ORMIA2","a2aB00000009J0TIAU",,,,"Stuart O'Brien","2018-09-12","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"VIC","001B000000nQA0eIAG",,"3000",,"Australia","Sydney","01sB0000001KrsAIAS","false","false","a2dB0000000B7V5IAK","New Business","Stuart O'Brien","2018-04-26",,"NSW",,"Stuart O'Brien","false",,"Greetings Terry Stack,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your h","false","Prompt",,"2018-09-05T05:55:05.000Z",,,,"East Leagues Club","1 Flinders Street","Melbourne","a2dB0000000B7V5IAK","false","Q-00673","Draft","Australia","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Melbourne",,,,"Closed Won",,"2018-04-06T03:49:05.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6KqIAK","Sydney","006B0000004P6KqIAK","true",,"true","2018-09-05T06:58:35.000Z","Approved","Approved","001B000000nQA0eIAG","Contract Based","200 George Street","VIC",,"2018-10-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"SBQQ__Status__c","true","Net 30","NSW","Closed",,,,"000000000000000AAA","2018-09-11T15:44:27.000Z","Quote",,,"200 George Street","1 Flinders Street",,,"3000","2018-09-11T19:15:38.000Z","East Leagues Club","false",0,0,-11429915,0,146439.58,0,20,14,100,140000,140000,0,7327.8,140000,6439.58,0,5,12,147327.8,0,0,0,140000
"Chris Robison",,,"Chris Robison","true","In Review","true",,"005B0000004ixy9IAA","true","false","27614","bison1536693294173@demo.user",,"27614","By Subscription End Date","true","false","Draft","Uplift","Chris Robison",,,"Lightning Consultants",,,"true","false",,"United States","2018-09-24T16:37:27.000Z","United States","a91B00000008ORNIA2",,,,,"Chris Robison","2017-12-25","https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F",,"NC","001B000000nQA13IAG",,"27614",,"United States","Raleigh","01sB0000001KrsAIAS","false","false","a2dB0000000B7WtIAK","First Purchase","Chris Robison","2018-09-17",,"NC",,"Chris Robison","false",,"Greetings Larry Lightning,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, yo","true","Always",,"2017-12-19T02:52:40.000Z",,,,"Lightning Consultants","10600 Hanarry Court","Raleigh","a2dB0000000B7WtIAK","false","Q-00785","Draft","United States","false",,"01sB0000001KrsAIAS","false",,"005B0000004ofP3IAI",,"Raleigh",,,,"Closed Won",,"2017-12-19T02:48:08.000Z",,,"Add-on","2018-09-23T22:03:30.000Z","006B0000004P6LFIA0","Raleigh","006B0000004P6LFIA0","true",,"true","2017-12-19T03:33:00.000Z","In Review","In Review","001B000000nQA13IAG","Contract Based","10600 Hanarry Court","NC",,"2018-01-01",,"Closed",,"https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T",,,"SBQQ__Status__c","true","Net 30","NC","Closed",,,,"000000000000000AAA","2018-09-11T15:44:29.000Z","Quote",,,"10600 Hanarry Court","10600 Hanarry Court",,,"27614","2018-09-11T19:15:38.000Z","Lightning Consultants","false",0,0,23488020,0,437788,0,20,18,100,0,431848,0,5940.15,431848,5940,0,1.4,12,437788.15,0,0,0,431848
