ACTIVITYDATE,LEADCREATEDDATE,LEADID,LEADOWNERCITY,LEADOWNERID,LEADOWNERNAME,LEADOWNERSTATE,OWNERCITY,OWNERID,OWNERNAME,OWNERSTATE,TOUCHES,LastProcessedDate
2020-05-24,2020-02-09,00Q1U000006Mv0DUAS,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,9,2020-05-25
2020-08-11,2020-05-16,00Q1U000006Mv0EUAS,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,3,2020-05-25
2020-05-22,2020-05-04,00Q1U000006Mv0GUAS,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,6,2020-05-25
2020-05-24,2020-05-11,00Q1U000006Mv0JUAS,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,New York,0051U000005KhW6QAK,Mark Garet,NY,7,2020-05-25
2020-08-23,2020-05-16,00Q1U000006Mv0KUAS,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,7,2020-05-25
2020-07-28,2020-05-01,00Q1U000006D5JwUAK,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,5,2020-05-25
2020-08-18,2020-04-30,00Q1U000006Mv0FUAS,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,5,2020-05-25
2020-08-29,2020-05-07,00Q1U000006Mv0HUAS,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,4,2020-05-25
2020-05-24,2020-05-11,00Q1U000006Mv0IUAS,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,10,2020-05-25
2020-07-24,2020-04-29,00Q1U000006DmD3UAK,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,10,2020-05-25
2020-06-10,2020-05-08,00Q1U000006Mv0FUAS,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,3,2020-05-25
2020-05-18,2020-05-09,00Q1U000006DmD4UAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,7,2020-05-25
2020-03-03,2020-02-18,00Q1U000006Mv0FUAS,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,New York,0051U000005KhW6QAK,Mark Garet,NY,7,2020-05-25
2020-08-20,2020-05-25,00Q1U000006DmD5UAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,7,2020-05-25
2020-05-28,2020-05-04,00Q1U000006DmD6UAK,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,6,2020-05-25
2020-07-18,2020-05-10,00Q1U000006DmD7UAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,7,2020-05-25
2020-08-27,2020-05-06,00Q1U000006DmD8UAK,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,8,2020-05-25
2020-08-08,2020-05-02,00Q1U000006DmD9UAK,New York,0051U000005KhW6QAK,Mark Garet,NY,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,10,2020-05-25
2020-06-30,2020-05-06,00Q1U000006DmDAUA0,New York,0051U000005KhW6QAK,Mark Garet,NY,New York,0051U000005KhW6QAK,Mark Garet,NY,10,2020-05-25
2020-06-28,2020-05-16,00Q1U000006DmDBUA0,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,New York,0051U000005KhW6QAK,Mark Garet,NY,7,2020-05-25
2020-07-20,2020-03-15,00Q1U000006DmDCUA0,New York,0051U000005KhW6QAK,Mark Garet,NY,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,4,2020-05-25
2020-06-26,2020-05-12,00Q1U000006DmDDUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,6,2020-05-25
2020-06-27,2020-05-07,00Q1U000006Mv0FUAS,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,9,2020-05-25
2020-07-16,2020-05-09,00Q1U000006DmDEUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,3,2020-05-25
2020-05-22,2020-04-01,00Q1U000006DmDFUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,6,2020-05-25
2020-05-27,2020-05-01,00Q1U000006Mv0FUAS,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,3,2020-05-25
2020-07-02,2020-05-07,00Q1U000006DmDGUA0,New York,0051U000005KhW6QAK,Mark Garet,NY,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,4,2020-05-25
2020-07-26,2020-04-20,00Q1U000006DmDHUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,8,2020-05-25
2020-06-06,2020-05-18,00Q1U000006Mv0FUAS,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,6,2020-05-25
2020-06-25,2020-05-10,00Q1U000006DmDIUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,10,2020-05-25
2020-03-25,2020-02-15,00Q1U000006DmDJUA0,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,4,2020-05-25
2020-06-06,2020-05-09,00Q1U000006DmDKUA0,New York,0051U000005KhW6QAK,Mark Garet,NY,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,7,2020-05-25
2020-07-29,2020-04-18,00Q1U000006DmDLUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,New York,0051U000005KhW6QAK,Mark Garet,NY,7,2020-05-25
2020-06-12,2020-05-21,00Q1U000006DmDMUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,5,2020-05-25
2020-06-14,2020-04-26,00Q1U000006DmDNUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,3,2020-05-25
2020-05-07,2020-04-17,00Q1U000006DmDOUA0,New York,0051U000005KhW6QAK,Mark Garet,NY,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,7,2020-05-25
2020-07-30,2020-04-27,00Q1U000006DmDPUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,9,2020-05-25
2020-08-01,2020-04-23,00Q1U000006DmDQUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,6,2020-05-25
2020-07-31,2020-04-29,00Q1U000006DmDRUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,New York,0051U000005KhW6QAK,Mark Garet,NY,5,2020-05-25
2020-07-14,2020-05-25,00Q1U000006DmDSUA0,New York,0051U000005KhW6QAK,Mark Garet,NY,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,3,2020-05-25
2020-04-04,2020-02-28,00Q1U000006DmDTUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,7,2020-05-25
2020-05-17,2020-03-29,00Q1U000006DmDUUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,6,2020-05-25
2020-08-14,2020-05-04,00Q1U000006DmDVUA0,New York,0051U000005KhW6QAK,Mark Garet,NY,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,5,2020-05-25
2020-07-24,2020-05-09,00Q1U000006DmDWUA0,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,9,2020-05-25
2020-08-07,2020-05-20,00Q1U000006Mv0FUAS,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,5,2020-05-25
2020-06-23,2020-04-07,00Q1U000006DmDXUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,4,2020-05-25
2020-06-30,2020-05-19,00Q1U000006DmDYUA0,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,3,2020-05-25
2020-07-01,2020-04-20,00Q1U000006DmDZUA0,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,New York,0051U000005KhW6QAK,Mark Garet,NY,3,2020-05-25
2020-08-29,2020-05-24,00Q1U000006DmDaUAK,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,8,2020-05-25
2020-07-27,2020-05-05,00Q1U000006DmDbUAK,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,10,2020-05-25
2020-05-04,2020-01-29,00Q1U000006DmDcUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,7,2020-05-25
2020-08-06,2020-05-08,00Q1U000006DmDdUAK,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,4,2020-05-25
2020-06-22,2020-05-04,00Q1U000006DmDeUAK,New York,0051U000005KhW6QAK,Mark Garet,NY,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,6,2020-05-25
2020-06-18,2020-05-25,00Q1U000006DmDfUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,8,2020-05-25
2020-08-12,2020-04-09,00Q1U000006DmDgUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,6,2020-05-25
2020-05-21,2020-04-01,00Q1U000006DmDhUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,8,2020-05-25
2020-06-18,2020-05-02,00Q1U000006DmDiUAK,New York,0051U000005KhW6QAK,Mark Garet,NY,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,6,2020-05-25
2020-08-19,2020-05-19,00Q1U000006DmDjUAK,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,9,2020-05-25
2020-05-14,2020-04-15,00Q1U000006DmDkUAK,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,Chicago,0051U000005JQyrQAG,Allen Advisor,IL,5,2020-05-25
2020-05-10,2020-04-29,00Q1U000006DmDlUAK,Florida,0051U000005L6eJQAS,Chelsea Advisor,FL,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,5,2020-05-25
2020-06-11,2020-03-30,00Q1U000006DmDmUAK,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,San Francisco,0051U000005L4E9QAK,Brenda Banker,CA,5,2020-05-25
