"Hierarchy_RoleNamesPath","UniqueUserName","UserRoleId","IsActive","Role.ParentRoleId","Role.ParentRole.ForecastManager.UniqueUserName","ForecastEnabled","Name","Role.ForecastManager.UniqueUserName","RoleNames","Role.ParentRole.ForecastManager.Name","isDuplicate","SmallPhotoUrl","FirstName","Role.ParentRole.Name","RoleNamesPath","Role.ForecastManager.Name","FullPhotoUrl","Username","Role.Name","Hierarchy_RoleNames","Id","LastName","UserType","ManagerId"
"Admin","Admin","00EB0000000azEQMAY","true","NA",,"true","Admin","Admin","Admin",,,"https://sales-ed--c.gus.content.force.com/profilephoto/005/T",,,"Admin","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/005/F","admin@sales.analytics.demo","CEO","Admin","005B00000034KssIAE","Admin","Standard","005B000000389UdIAI"
"Bobby Brill","Bobby Brill","00EB0000000azEQMAY","true","NA",,"true","Bobby Brill","Admin","Bobby Brill",,,"https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Bobby",,"Bobby Brill","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/005/F","bbrill@saleswave.demo","CEO","Bobby Brill","005B00000034KxeIAE","Brill","Standard","005B000000389UdIAI"
"Romero Rose/Andrew Barton/Elliot Shapiro/Admin","Romero Rose","00EB0000000Env9MAC","true","00EB0000000azELMAY","Andrew Barton","true","Romero Rose",,"Admin","Andrew Barton",,"https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Romero","RVP Central","Romero Rose/Andrew Barton/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/005/F","rromero01493074125@demo.user","Central Manager","Admin","005B00000034W0VIAU","Rose","Standard","N/A"
"Martinez Jerry/Andrew Malone/Elliot Shapiro/Admin","Martinez Jerry","00EB0000000EnvEMAS","true","00EB0000000azEHMAY","Andrew Malone","true","Martinez Jerry",,"Admin","Andrew Malone",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYp/T","Martinez","RVP East","Martinez Jerry/Andrew Malone/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYp/F","jmartine1493074126@demo.user","East Manager","Admin","005B00000034W0WIAU","Jerry","Standard","N/A"
"Amanda Mills/Elliot Shapiro/Admin","Amanda Mills","00EB0000000azEIMAY","true","00EB0000000azEKMAY","Elliot Shapiro","true","Amanda Mills","Tyler Parker","Admin","Elliot Shapiro",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000HqHw/T","Amanda","VP of Sales","Amanda Mills/Elliot Shapiro/Admin","Tyler Parker","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000HqHw/F","amills@sales.demo","RVP West","Admin","005B00000034W0XIAU","Mills","Standard","005B000000389UhIAI"
"Julia Hart/Andrew Barton/Elliot Shapiro/Admin","Julia Hart","00EB0000000azECMAY","true","00EB0000000azELMAY","Andrew Barton","true","Julia Hart",,"Admin","Andrew Barton",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYV/T","Julia","RVP Central","Julia Hart/Andrew Barton/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYV/F","jhart01489180171123@demo.user","Central Sales","Admin","005B00000034W1BIAU","Hart","Standard","N/A"
"Susan Dunn/Andrew Barton/Elliot Shapiro/Admin","Susan Dunn","00EB0000000azECMAY","true","00EB0000000azELMAY","Andrew Barton","true","Susan Dunn",,"Admin","Andrew Barton",,"https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Susan","RVP Central","Susan Dunn/Andrew Barton/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/005/F","sdunn31489180173123@demo.user","Central Sales","Admin","005B00000034W1CIAU","Dunn","Standard","N/A"
"Nicholas Wright/Andrew Barton/Elliot Shapiro/Admin","Nicholas Wright","00EB0000000azECMAY","true","00EB0000000azELMAY","Andrew Barton","true","Nicholas Wright",,"Admin","Andrew Barton",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYu/T","Nicholas","RVP Central","Nicholas Wright/Andrew Barton/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYu/F","nwright41489180173123@demo.user","Central Sales","Admin","005B00000034W1DIAU","Wright","Standard","N/A"
"Clarence Burton/Andrew Barton/Elliot Shapiro/Admin","Clarence Burton","00EB0000000azECMAY","true","00EB0000000azELMAY","Andrew Barton","true","Clarence Burton",,"Admin","Andrew Barton",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rY1/T","Clarence","RVP Central","Clarence Burton/Andrew Barton/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rY1/F","cburton81489180173123@demo.user","Central Sales","Admin","005B00000034W1EIAU","Burton","Standard","N/A"
"Adam Andrews/Andrew Barton/Elliot Shapiro/Admin","Adam Andrews","00EB0000000azECMAY","true","00EB0000000azELMAY","Andrew Barton","true","Adam Andrews",,"Adam Andrews","Andrew Barton",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXm/T","Adam","RVP Central","Adam Andrews/Andrew Barton/Elliot Shapiro/Admin",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXm/F","aandrews1489180174123@demo.user","Central Sales","Adam Andrews","005B00000034W1FIAU","Andrews","Standard","N/A"
