"AccountId","HasOpportunityLineItem","EDD_Prescription__c","Account_Type","Owner_Role_RolePath","ForecastCategory","DemoShow__c","EDD_Leading_Causes__c","Account_BillingState","CloseDate","Name","Region__c","Owner_Role_RoleNames","Competitor__c","Product2Name__c","Owner_Username","Owner_Role_DeveloperName","Owner_Name","AccountBookings__c","Owner_Role_RoleNamesPath","LeadSource","Owner_Role_Roles","Owner_Role_Name","Id","Interactive_Demo__c","AccountAnnualRevenue__c","ForecastCategoryName","Owner_SmallPhotoUrl","Stage_StageName","RecordType_Name","IsClosed","Owner_UniqueUserName","AccountNumberOfEmployees__c","IsWon","Product2Family__c","RecordTypeId","Account_Name","Exec_Meeting__c","EDD_PRESCRIPTION_C","Product_Product_Family","StageName","SalesStageCount__c","Causes_Driver","Product_Product_Name","Type","Account_Industry","Account_AccountSource","Account_AnnualRevenue","TimeToClose__c","Causes_Amt","Amount","Account_NumberOfEmployees","EDD_OUTCOME_C"
"001B000000SS3cUIAT",True,"- 1.967 if you change Exec_Meeting__c to true<br>- 0.67 if you change Interactive_Demo__c to true","Corporate","00EB0000000EnvJMAS/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Omitted",False,"+ 9.158 because LeadSource is Fields Sales<br>- 3.089 because Product2Name__c is Motorcycle Parts and Region__c is Northwest<br>+ 2.522 because Region__c is Northwest and LeadSource is Fields Sales<br>+ 7.834 because of other factors<br>from the baseline,","WI","12/4/16","Association For Financial Professionals 165","Northwest","CEO","Moparts","Motorcycle Parts","wgray1496774369695@demo.user","WestSales","William Gray","0","WestSales/West_Manager/RVPWest/VPSales/CEO","Fields Sales","00EB0000000EnvJMAS","West Sales","006B0000003Wb3sIAC",False,"Corporate","Omitted","https://c.gus.content.force.com/profilephoto/005/T","Closed Lost","Simple",True,"William Gray","0 - 250",False,"Performance & Non-auto","012B0000000LBREIA4","Association For Financial Professionals",False,"-3.733
if you change Exec_Meeting__c to true
-1.469
if you change Interactive_Demo__c to true","Performance & Non-auto","Closed Lost",6,"LeadSource is Fields Sales and Competitor is Moparts","Motorcycle Parts","New Business / Add-on","Recreation","Data.com",3486000,0,7.031000000000001,150000,29,99.270386
"001B000000SS3cUIAT",True,"- 1.967 if you change Exec_Meeting__c to true<br>- 0.67 if you change Interactive_Demo__c to true","Corporate","00EB0000000EnvJMAS/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Omitted",False,"+ 9.158 because LeadSource is Fields Sales<br>- 3.089 because Product2Name__c is Motorcycle Parts and Region__c is Northwest<br>+ 2.522 because Region__c is Northwest and LeadSource is Fields Sales<br>+ 7.834 because of other factors<br>from the baseline,","WI","12/4/16","Association For Financial Professionals 165","Northwest","CEO","Moparts","Motorcycle Parts","wgray1496774369695@demo.user","WestSales","William Gray","0","WestSales/West_Manager/RVPWest/VPSales/CEO","Fields Sales","00EB0000000EnvJMAS","West Sales","006B0000003Wb3sIAC",False,"Corporate","Omitted","https://c.gus.content.force.com/profilephoto/005/T","Closed Lost","Simple",True,"William Gray","0 - 250",False,"Performance & Non-auto","012B0000000LBREIA4","Association For Financial Professionals",False,"-3.733
if you change Exec_Meeting__c to true
-1.469
if you change Interactive_Demo__c to true","Performance & Non-auto","Closed Lost",6,"Region is Northwest and Competitor is Moparts","Motorcycle Parts","New Business / Add-on","Recreation","Data.com",3486000,0,-3.1689999999999996,150000,29,99.270386
"001B000000SS3cWIAT",True,"- 7.039 if you change Interactive_Demo__c to true<br>- 0.811 if you change Exec_Meeting__c to true","Corporate","00EB0000000Env9MAC/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Omitted",False,"+ 9.943 because LeadSource is Reseller and SalesStageCount__c is 0 to 2<br>+ 4.755 because Region__c is Midwest and LeadSource is Reseller<br>+ 3.035 because Product2Name__c is Performance and SalesStageCount__c is 0 to 2<br>+ 8.831 because of other facto","ND","8/27/16","Penstat. 178","Midwest","CEO","Challenger Inc.","Performance","twilson1496774370020@demo.user","CentralSales","Tammy Wilson","0","CentralSales/Central_Manager/RVPCentral/VPSales/CEO","Reseller","00EB0000000Env9MAC","Central Sales","006B0000003Wb3uIAC",False,"Corporate","Omitted","https://c.gus.content.force.com/profilephoto/005/T","Closed Lost","Simple",True,"Tammy Wilson","0 - 250",False,"Performance & Non-auto","012B0000000LBREIA4","Penstat.",False,"-6.676
if you change Interactive_Demo__c to true
-3.87
if you change Exec_Meeting__c to true","Performance & Non-auto","Closed Lost",2,"Region is Midwest and LeadSource is Reseller","Performance","New Business","Healthcare & Life Sciences","Community",2853000,0,4.755,110000,5,96.89265
"001B000000SS3cXIAT",True,"- 3.774 if you change Exec_Meeting__c to true<br>- 1.035 if you change Interactive_Demo__c to true","Corporate","00EB0000000EnvJMAS/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Omitted",False,"- 9.491 because Product2Name__c is Towing Equioment and Amount is 50001 to 90000<br>- 5.849 because LeadSource is Reseller and SalesStageCount__c is 8 to 21<br>- 5.348 because LeadSource is Reseller and Amount is 50001 to 90000<br>+ 4.853 because of other","WY","3/6/16","PLS Solutions 188","Northwest","CEO","Moparts","Towing Equioment","wgray1496774369695@demo.user","WestSales","William Gray","0","WestSales/West_Manager/RVPWest/VPSales/CEO","Reseller","00EB0000000EnvJMAS","West Sales","006B0000003Wb3wIAC",False,"Corporate","Omitted","https://c.gus.content.force.com/profilephoto/005/T","Closed Lost","Simple",True,"William Gray","0 - 250",False,"Car Accessories","012B0000000LBREIA4","PLS Solutions",False,"-5.541
if you change Exec_Meeting__c to true
-1.835
if you change Interactive_Demo__c to true","Car Accessories","Closed Lost",8,"from the baseline","Towing Equioment","Add-On Business","Biotechnology","Data.com",4538000,0,70.88,85526,214,61.86738199999999
"001B000000SS3ccIAD",True,"- 2.805 if you change Exec_Meeting__c to true<br>- 2.112 if you change Interactive_Demo__c to true","Corporate","00EB0000000EnvJMAS/00EB0000000azEIMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Omitted",False,"- 5.849 because LeadSource is Reseller and SalesStageCount__c is 8 to 21<br>+ 3.281 because SalesStageCount__c is 8 to 21 and Amount is 110001 to 200000<br>+ 3.068 because Product2Name__c is Exterior Accessories and LeadSource is Reseller<br>+ 7.903 becau","ID","8/16/15","MED Services, Ltd Co. 69","Northwest","CEO","Challenger Inc.","Exterior Accessories","wgray1496774369695@demo.user","WestSales","William Gray","0","WestSales/West_Manager/RVPWest/VPSales/CEO","Reseller","00EB0000000EnvJMAS","West Sales","006B0000003Wb42IAC",False,"Corporate","Omitted","https://c.gus.content.force.com/profilephoto/005/T","Closed Lost","Advanced",True,"William Gray","0 - 250",False,"Car Accessories","012B00000008lxPIAQ","MED Services, Ltd Co.",False,"-5.864
if you change Exec_Meeting__c to true
-1.748
if you change Interactive_Demo__c to true","Car Accessories","Closed Lost",8,"from the baseline","Exterior Accessories","Existing Business","Food & Beverage","Partner",9471000,0,70.88,127906,85,85.45195
"001B000000SS3cgIAD",True,"- 5.064 if you change Exec_Meeting__c to true<br>- 2.672 if you change Interactive_Demo__c to true","Corporate","00EB0000000Env9MAC/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","BestCase",False,"+ 9.158 because LeadSource is Fields Sales<br>+ 6.44 because CloseDate is 2017<br>+ 6.382 because LeadSource is Fields Sales and Amount is 50001 to 90000<br>+ 29.79 because of other factors<br>from the baseline, + 70.87","KS","6/23/17","ITS Service.com 171","Midwest","CEO","Challenger Inc.","Batteries","klewis1496774369803@demo.user","CentralSales","Kathryn Lewis","0","CentralSales/Central_Manager/RVPCentral/VPSales/CEO","Fields Sales","00EB0000000Env9MAC","Central Sales","006B0000003Wb46IAC",False,"Corporate","Best Case","https://c.gus.content.force.com/profilephoto/005/T","Needs Analysis","Simple",False,"Kathryn Lewis","0 - 250",False,"Car Accessories","012B0000000LBREIA4","ITS Service.com",False,"-8.123
if you change Exec_Meeting__c to true
-2.309
if you change Interactive_Demo__c to true","Car Accessories","Needs Analysis",3,"LeadSource is Fields Sales and Amount is 50001 to 90000","Batteries","Add-On Business","Chemicals","Website",3388000,0,6.381,60000,48,114.07325
"001B000000SS3cjIAD",True,"- 5.55 if you change Interactive_Demo__c to true<br>- 3.597 if you change Exec_Meeting__c to true","Corporate","00EB0000000Env9MAC/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Omitted",False,"+ 4.755 because Region__c is Midwest and LeadSource is Reseller<br>- 3.005 because Product2Name__c is Towing Equioment and LeadSource is Reseller<br>+ 2.257 because Product2Family__c is Car Accessories and Amount is 5001 to 12000<br>+ 2.507 because of oth","IA","8/18/16","TMEIC Corporation 245","Midwest","CEO","Challenger Inc.","Towing Equioment","ariley1496774369939@demo.user","CentralSales","Antonio Riley","0","CentralSales/Central_Manager/RVPCentral/VPSales/CEO","Reseller","00EB0000000Env9MAC","Central Sales","006B0000003Wb49IAC",False,"Corporate","Omitted","https://c.gus.content.force.com/profilephoto/005/T","Closed Lost","Simple",True,"Antonio Riley","0 - 250",False,"Car Accessories","012B0000000LBREIA4","TMEIC Corporation",False,"-6.656
if you change Exec_Meeting__c to true
-5.187
if you change Interactive_Demo__c to true","Car Accessories","Closed Lost",4,"Region is Midwest and LeadSource is Reseller","Towing Equioment","Existing Business","Consulting","Social Media",6165000,0,4.755,10000,53,81.54997
"001B000000SS3cjIAD",True,"- 5.55 if you change Interactive_Demo__c to true<br>- 3.597 if you change Exec_Meeting__c to true","Corporate","00EB0000000Env9MAC/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Omitted",False,"+ 4.755 because Region__c is Midwest and LeadSource is Reseller<br>- 3.005 because Product2Name__c is Towing Equioment and LeadSource is Reseller<br>+ 2.257 because Product2Family__c is Car Accessories and Amount is 5001 to 12000<br>+ 2.507 because of oth","IA","8/18/16","TMEIC Corporation 245","Midwest","CEO","Challenger Inc.","Towing Equioment","ariley1496774369939@demo.user","CentralSales","Antonio Riley","0","CentralSales/Central_Manager/RVPCentral/VPSales/CEO","Reseller","00EB0000000Env9MAC","Central Sales","006B0000003Wb49IAC",False,"Corporate","Omitted","https://c.gus.content.force.com/profilephoto/005/T","Closed Lost","Simple",True,"Antonio Riley","0 - 250",False,"Car Accessories","012B0000000LBREIA4","TMEIC Corporation",False,"-6.656
if you change Exec_Meeting__c to true
-5.187
if you change Interactive_Demo__c to true","Car Accessories","Closed Lost",4,"from the baseline","Towing Equioment","Existing Business","Consulting","Social Media",6165000,0,70.88,10000,53,81.54997
"001B000000SS3cjIAD",True,"- 5.861 if you change Interactive_Demo__c to true<br>- 4.223 if you change Exec_Meeting__c to true","Corporate","00EB0000000Env9MAC/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Omitted",False,"+ 6.44 because CloseDate is 2017<br>- 5.348 because LeadSource is Reseller and Amount is 50001 to 90000<br>+ 4.755 because Region__c is Midwest and LeadSource is Reseller<br>+ 11.31 because of other factors<br>from the baseline, + 70.87","IA","2/27/17","TMEIC Corporation 246","Midwest","CEO","Moparts","RV Shelters","ariley1496774369939@demo.user","CentralSales","Antonio Riley","0","CentralSales/Central_Manager/RVPCentral/VPSales/CEO","Reseller","00EB0000000Env9MAC","Central Sales","006B0000003Wb4AIAS",False,"Corporate","Omitted","https://c.gus.content.force.com/profilephoto/005/T","Closed Lost","Simple",True,"Antonio Riley","0 - 250",False,"Performance & Non-auto","012B0000000LBREIA4","TMEIC Corporation",False,"-6.661
if you change Interactive_Demo__c to true
-5.99
if you change Exec_Meeting__c to true","Performance & Non-auto","Closed Lost",4,"Region is Midwest and Competitor is Moparts","RV Shelters","Add-On Business","Consulting","Social Media",6165000,0,-5.796,90000,53,96.90691
"001B000000SS3cjIAD",True,"- 5.861 if you change Interactive_Demo__c to true<br>- 4.223 if you change Exec_Meeting__c to true","Corporate","00EB0000000Env9MAC/00EB0000000azELMAY/00EB0000000azEKMAY/00EB0000000azEQMAY","Omitted",False,"+ 6.44 because CloseDate is 2017<br>- 5.348 because LeadSource is Reseller and Amount is 50001 to 90000<br>+ 4.755 because Region__c is Midwest and LeadSource is Reseller<br>+ 11.31 because of other factors<br>from the baseline, + 70.87","IA","2/27/17","TMEIC Corporation 246","Midwest","CEO","Moparts","RV Shelters","ariley1496774369939@demo.user","CentralSales","Antonio Riley","0","CentralSales/Central_Manager/RVPCentral/VPSales/CEO","Reseller","00EB0000000Env9MAC","Central Sales","006B0000003Wb4AIAS",False,"Corporate","Omitted","https://c.gus.content.force.com/profilephoto/005/T","Closed Lost","Simple",True,"Antonio Riley","0 - 250",False,"Performance & Non-auto","012B0000000LBREIA4","TMEIC Corporation",False,"-6.661
if you change Interactive_Demo__c to true
-5.99
if you change Exec_Meeting__c to true","Performance & Non-auto","Closed Lost",4,"from the baseline","RV Shelters","Add-On Business","Consulting","Social Media",6165000,0,70.88,90000,53,96.90691
