"Wellness_Priority__c","NOCONVERT","Created_Date__c","Gender__c","isParent__c","Sponsors__c","Name","Lead_Status__c","Sponsor_Level__c","State__c","Age__c","Target_Weight_Difference__c","Target_Weight__c","Weight__c"
"Athletic Fitness",,"2015-11-24T06:55:29.742+00:00","M","No","Tim Carter","Alanis Conn","Customer","Active Supervisor","Maine",61,116,219,335
"Athletic Fitness",,"2017-01-23T09:43:41.409+00:00","M","No","Tim Carter","Wilma Bernhard","Customer","Active Supervisor","Montana",59,35,180,215
"Athletic Fitness",,"2016-06-18T22:07:00.399+00:00","F","Yes","Stephanie Curran","Einar Rippin Jr.","Lead","Active Supervisor","Pennsylvania",35,47,215,262
"Athletic Fitness","x","2017-02-08T06:32:37.654+00:00","M","Yes","John Smith","Lilliana Schmitt","Customer","Active Supervisor","North Carolina",25,96,211,307
"Athletic Fitness","x","2015-10-24T12:02:09.037+00:00","M","Yes","Stephanie Curran","Kameron Homenick III","Lead","Active Supervisor","Delaware",44,98,191,289
"Athletic Fitness","x","2015-11-09T17:45:14.777+00:00","M","Yes","Mark Metz","Myrtle Gorczany DVM","Lead","Active Supervisor","Vermont",54,20,193,213
"Athletic Fitness","x","2017-01-03T04:31:00.496+00:00","M","Yes","Lisa Jones","Randal Bins I","Customer","Active Supervisor","Nevada",21,-8,210,202
"Athletic Fitness",,"2016-10-30T01:25:45.454+00:00","F","Yes","Stephanie Curran","Mrs. Elliot Borer","Customer","Active Supervisor","Texas",50,115,164,279
"Athletic Fitness","x","2016-11-14T11:08:05.252+00:00","F","Yes","Anne Frost","Mr. Mitchell Wisoky","Lead","Active Supervisor","Georgia",30,89,184,273
"Athletic Fitness",,"2017-01-11T23:31:20.148+00:00","F","No","Dawn Distributor","Jacques Ferry","Customer","Active Supervisor","Montana",46,94,185,279
"Athletic Fitness",,"2016-05-14T22:22:04.576+00:00","F","Yes","Mary Johnson","Garrick Collier","Customer","Active Supervisor","North Dakota",32,114,193,307
"Athletic Fitness",,"2016-10-18T19:19:24.331+00:00","F","No","Mary Johnson","Mrs. Chandler Paucek","Customer","Active Supervisor","Louisiana",57,81,171,252
"Athletic Fitness",,"2017-07-06T05:08:25.561+00:00","F","No","Mark Metz","Sydnee Turner DDS","Lead","Active Supervisor","Montana",38,11,186,197
"Athletic Fitness","x","2017-03-03T03:51:37.697+00:00","F","No","Tim Carter","Daron Hyatt","Lead","Active Supervisor","Virginia",18,179,170,349
"Athletic Fitness","x","2016-01-11T06:29:23.667+00:00","M","Yes","Dawn Distributor","Maia Nikolaus","Customer","Active Supervisor","New York",36,92,190,282
"Athletic Fitness",,"2017-04-18T15:20:02.658+00:00","F","Yes","Tim Carter","Lucile Kessler","Customer","Active Supervisor","Louisiana",45,8,201,209
"Athletic Fitness",,"2016-10-22T04:29:34.374+00:00","F","Yes","Jim Albose","Sadie McCullough","Lead","Active Supervisor","Oklahoma",60,43,151,194
"Athletic Fitness",,"2017-04-03T16:34:22.294+00:00","M","No","Jamie Wu","Gina Hirthe II","Customer","Active Supervisor","Texas",57,156,190,346
"Athletic Fitness",,"2016-10-22T08:18:12.777+00:00","F","No","Lisa Jones","Gardner Lynch","Customer","Active Supervisor","Arizona",36,-12,210,198
"Athletic Fitness",,"2016-09-11T08:57:25.442+00:00","M","No","James Chan","Helga Trantow DDS","Customer","Active Supervisor","Minnesota",55,140,183,323
"Athletic Fitness",,"2016-01-19T09:47:36.762+00:00","F","Yes","Stephanie Curran","Athena Dicki","Customer","Active Supervisor","Montana",60,141,208,349
"Athletic Fitness",,"2016-12-12T04:21:32.603+00:00","F","No","Jamie Wu","Chloe Spinka","Lead","Active Supervisor","Tennessee",39,-5,217,212
"Athletic Fitness","x","2016-09-25T00:15:41.921+00:00","M","Yes","Stephanie Curran","Dax Swaniawski III","Lead","Active Supervisor","Kentucky",62,32,152,184
"Athletic Fitness","x","2016-09-15T23:32:43.488+00:00","F","No","Mark Metz","Justice Lubowitz","Customer","Active Supervisor","North Dakota",22,135,203,338
"Athletic Fitness","x","2015-11-13T10:12:08.978+00:00","F","No","Jim Albose","Lambert Marks II","Lead","Active Supervisor","Colorado",18,145,192,337
"Athletic Fitness","x","2015-12-18T15:21:07.651+00:00","F","Yes","Anne Frost","Lila Roberts","Lead","Active Supervisor","West Virginia",20,92,221,313
"Athletic Fitness","x","2016-12-12T11:08:35.349+00:00","F","Yes","Anne Frost","Noble Kassulke","Lead","Active Supervisor","Pennsylvania",21,150,158,308
"Athletic Fitness",,"2016-01-06T08:55:02.766+00:00","F","No","Mark Metz","Leonie Brekke","Lead","Active Supervisor","Delaware",52,-39,219,180
"Athletic Fitness",,"2016-06-17T19:11:50.312+00:00","F","Yes","Sherrie Hernandez","Dianna Terry","Lead","Active Supervisor","Oregon",54,18,200,218
"Athletic Fitness","x","2016-07-29T18:36:03.869+00:00","M","Yes","Stephanie Curran","Clara Bergstrom","Customer","Active Supervisor","California",52,62,225,287
"Athletic Fitness","x","2016-08-05T16:10:41.391+00:00","M","Yes","Sherrie Hernandez","Mohammed Herman I","Customer","Active Supervisor","Louisiana",24,40,154,194
"Athletic Fitness",,"2017-05-26T16:22:19.211+00:00","M","No","Tim Carter","Miss Danika Spencer","Lead","Active Supervisor","Colorado",52,82,203,285
"Athletic Fitness",,"2017-06-26T07:14:30.464+00:00","F","Yes","Lisa Jones","Mrs. Frankie Rutherford","Customer","Active Supervisor","Virginia",51,89,191,280
"Athletic Fitness","x","2017-03-03T09:43:04.443+00:00","F","Yes","John Smith","Asha Kuhic","Lead","Active Supervisor","New Mexico",19,82,211,293
"Athletic Fitness","x","2017-04-28T02:10:43.901+00:00","F","Yes","Mary Johnson","Mr. Helen Kohler","Customer","Active Supervisor","Colorado",23,64,211,275
"Athletic Fitness","x","2017-02-14T03:34:27.628+00:00","F","Yes","Tim Carter","Mrs. Kamryn Baumbach","Customer","Active Supervisor","Nevada",23,137,159,296
"Athletic Fitness","x","2015-10-27T17:34:14.867+00:00","F","No","John Smith","Mina Gorczany","Lead","Active Supervisor","Massachusetts",25,32,221,253
"Athletic Fitness",,"2017-08-22T19:10:49.266+00:00","F","Yes","Lisa Jones","Christophe Kertzmann","Lead","Active Supervisor","Hawaii",39,86,155,241
"Athletic Fitness",,"2017-02-16T07:54:28.919+00:00","F","No","Lisa Jones","Ashtyn Lind","Customer","Active Supervisor","Wyoming",50,10,222,232
