"EconomicActivity","Dependants","LOYALTY","Housing","POLICY_ID","NAME","Industry","LeadSource","Education","Relationship","LOCATION_ID","AGE","SocialGrade"
"Full-Time Student","One","Platinum","Detached","PN03-074652","Jonie AHMED","Transportation","Refferal","High School","Married","LOC_ID_002","","C2"
"Retired","One","Gold","Detached","PN-090497","Leslie AHMED","Accommodation and Food","Event","Higher Education","Single","LOC_ID_003","","DE"
"Full-Time","One","Bronze","Terraces","PN01-114587","Marquitta AHMED","Accommodation and Food","Online","High School","Divorced","LOC_ID_003","","C2"
"Part-Time","Two","Platinum","Detached","PN02-055916","Melany M AHMED","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_003","","AB"
"Full-Time","One","Platinum","Semi-Detached	","PN03-083556","Ninfa N AHMED","Manufacturing","Online","Degree","Single","LOC_ID_003","","DE"
"Full-Time","Two","Silver","Apartment","PN03-104747","Walter AHMED","Water Supply","Online","Aprenticeship","Separated","LOC_ID_004","","C2"
"Part-Time","Two","Gold","Semi-Detached	","PN-089198","Altha CHAN","Retail","Online","Higher Education","Single","LOC_ID_005","","DE"
"Self Employed","One","Platinum","Semi-Detached	","PN-122917","Anitra CHAN","Retail","Online","High School","Separated","LOC_ID_005","","C2"
"Full-Time","Two","Bronze","Apartment","PN02-056491","Maple CHAN","Public Administration and Defence","Online","Higher Education","Divorced","LOC_ID_007","","C2"
"Full-Time","One","Silver","Semi-Detached	","PN-030547","Danyel CHANG","Public Administration and Defence","Online","High School","Divorced","LOC_ID_010","","AB"
"Full-Time","One","Bronze","Apartment","PN-084024","Dennis D CHANG","Professional, Scientific and Technical","Online","Other","Married","LOC_ID_010","","AB"
"Full-Time","One","Platinum","Detached","PN01-073312","Pandora P CHANG","Accommodation and Food","Online","High School","Single","LOC_ID_012","","C2"
"Part-Time","One","Gold","Apartment","PN02-021569","Reinaldo CHANG","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_012","","AB"
"Full-Time","One","Platinum","Apartment","PN03-099224","Sherise S CHANG","Public Administration and Defence","Refferal","Other","Widowed","LOC_ID_012","","AB"
"Retired","One","Bronze","Apartment","PN-083385","Tonya CHANG","Health","Event","Higher Education","Married","LOC_ID_013","","C1"
"Part-Time","Three","Platinum","Detached","PN01-089276","Norberto N CHOI","Education","Event","Degree","Separated","LOC_ID_016","","C1"
"Full-Time","One","Gold","Detached","PN01-097579","Onie O CHOI","Professional, Scientific and Technical","Event","Degree","Single","LOC_ID_016","","AB"
"Part-Time","One","Platinum","Detached","PN03-092609","Sharee S CHOI","Public Administration and Defence","Online","Degree","Separated","LOC_ID_016","","C2"
"Part-Time","Two","Bronze","Apartment","PN-094832","Tisha CHOI","Retail","Refferal","Other","Divorced","LOC_ID_017","","C2"
"Unemployed","One","Silver","Detached","PN01-106436","Zandra n CHOI","Education","Refferal","Higher Education","Married","LOC_ID_017","","C1"
"Part-Time","One","Platinum","Semi-Detached	","PN02-037610","Alessandra A CHUNG","Education","Online","Degree","Single","LOC_ID_017","","C2"
"Part-Time","One","Platinum","Semi-Detached	","PN01-025131","Dallas CHUNG","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_018","","AB"
"Full-Time","Four","Bronze","Semi-Detached	","PN03-104981","Marcy CHUNG","Education","Event","Degree","Single","LOC_ID_019","","AB"
"Unemployed","One","Bronze","Apartment","PN-020747","Max x CHUNG","Health","Event","Degree","Divorced","LOC_ID_020","","C2"
"Full-Time","One","Gold","Detached","PN02-093779","Rivka CHUNG","Manufacturing","Online","Higher Education","Separated","LOC_ID_020","","AB"
"Full-Time","One","Silver","Apartment","PN03-001624","Roy CHUNG","Professional, Scientific and Technical","Refferal","Degree","Separated","LOC_ID_020","","AB"
"Self Employed","One","Gold","Terraces","PN03-101599","Sherman S CHUNG","Health","Online","Degree","Single","LOC_ID_020","","C1"
"Unemployed","Two","Gold","Detached","PN03-121228","So CHUNG","Retail","Refferal","Higher Education","Widowed","LOC_ID_020","","C2"
