"ChangeReasonType","EffectiveDate","Id","LoyaltyMemberCurrency.LoyaltyProgramCurrency.IsPrimary","LoyaltyMemberCurrency.LoyaltyProgramCurrency.NQP_Currency","LoyaltyMemberCurrency.LoyaltyProgramCurrency.QP_Currency","LoyaltyMemberCurrency.LoyaltyProgramMember.AccountContact.Id","LoyaltyMemberCurrency.LoyaltyProgramMember.Contact.Birthdate","LoyaltyMemberCurrency.LoyaltyProgramMember.Contact.MobilePhone","LoyaltyMemberCurrency.LoyaltyProgramMember.Contact.Name","LoyaltyMemberCurrency.LoyaltyProgramMember.Referrer.Contact.Birthdate","LoyaltyMemberCurrency.LoyaltyProgramMember.Referrer.Contact.MobilePhone","LoyaltyMemberCurrency.LoyaltyProgramMember.Referrer.Contact.Name","LoyaltyMemberId","LoyaltyProgramMember.Account.Name","LoyaltyProgramMember.AccountContact.Id","LoyaltyProgramMember.Contact.Birthdate","LoyaltyProgramMember.Contact.MobilePhone","LoyaltyProgramMember.Contact.Name","LoyaltyProgramMember.ContactId","LoyaltyProgramMember.EnrollmentChannel","LoyaltyProgramMember.EnrollmentDate","LoyaltyProgramMember.IsReferral","LoyaltyProgramMember.LeadOrContactId","LoyaltyProgramMember.LeadOrContactName","LoyaltyProgramMember.LoyaltyProgram.Name","LoyaltyProgramMember.MemberCity","LoyaltyProgramMember.MemberCountry","LoyaltyProgramMember.MemberId","LoyaltyProgramMember.MemberName","LoyaltyProgramMember.MemberState","LoyaltyProgramMember.MemberStatus","LoyaltyProgramMember.MemberTenureBucket","LoyaltyProgramMember.MemberType","LoyaltyProgramMember.MembershipEndDate","LoyaltyProgramMember.MembershipLastRenewalDate","LoyaltyProgramMember.MembershipNumber","LoyaltyProgramMember.ProgramId","LoyaltyProgramMember.ReferredById","LoyaltyProgramMember.Referrer.Account.Name","LoyaltyProgramMember.Referrer.Contact.Name","LoyaltyProgramMember.TransactionJournal.FirstAccrualDate","LoyaltyProgramMember.TransactionJournal.SecondAccrualDate","LoyaltyTier.LoyaltyTierGroup.IsPrimary","LoyaltyTier.LoyaltyTierGroup.Name","LoyaltyTier.Name","LoyaltyTier.SequenceNumber","LoyaltyTierGroupId","LoyaltyTierId","Name","ReasonForChange","TierExpirationDate","LastProcessedDate"
"Resolve Tier Conflict",2020-07-01,"0lyB0000000RJAUIA4",FALSE,"Points","Number of Transactions",,,,"Marc15 Tom15",,,,"0lMB0000000RIE9MAO",,,,,"Marc15 Tom15","003B000000IXi01IAD","CallCenter",2020-07-01,"No","003B000000IXi01IAD","Marc15 Tom15","NTO Insider","San Francisco","USA","003B000000IXi01IAD","Marc15 Tom15","CA","Active","6.1-2 years","Individual",,,"A001","0lpB0000000PBdwIAG",,,,"2020-05-19T00:00:00.000Z","2021-09-27T19:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2020-07-01,"0lyB0000000RJAVIA4",FALSE,"Points","Number of Transactions",,,,"Marc15 Tom15",,,,"0lMB0000000RIE9MAO",,,,,"Marc15 Tom15","003B000000IXi01IAD","CallCenter",2020-07-01,"No","003B000000IXi01IAD","Marc15 Tom15","NTO Insider","San Francisco","USA","003B000000IXi01IAD","Marc15 Tom15","CA","Active","6.1-2 years","Individual",,,"A001","0lpB0000000PBdwIAG",,,,"2020-05-19T00:00:00.000Z","2021-09-27T19:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2020-07-22,"0lyB0000000RJAZIA4",FALSE,"Points","Number of Transactions",,,,"Q4Data329 Trail329",,,,"0lMB0000000RIEEMA4",,,,,"Q4Data329 Trail329","003B000000IXi8lIAD","POS",2020-07-22,"No","003B000000IXi8lIAD","Q4Data329 Trail329","NTO Insider","New York","USA","003B000000IXi8lIAD","Q4Data329 Trail329","NY","Active","6.1-2 years","Individual",,,"Ab002","0lpB0000000PBdwIAG",,,,"2020-07-14T00:00:00.000Z","2021-08-09T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2020-07-22,"0lyB0000000RJAaIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data329 Trail329",,,,"0lMB0000000RIEEMA4",,,,,"Q4Data329 Trail329","003B000000IXi8lIAD","POS",2020-07-22,"No","003B000000IXi8lIAD","Q4Data329 Trail329","NTO Insider","New York","USA","003B000000IXi8lIAD","Q4Data329 Trail329","NY","Active","6.1-2 years","Individual",,,"Ab002","0lpB0000000PBdwIAG",,,,"2020-07-14T00:00:00.000Z","2021-08-09T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Resolve Tier Conflict",2020-12-14,"0lyB0000000RJAeIAO",FALSE,"Points","Number of Transactions",,1986-08-12,,"Q4Data330 Trail330",,,,"0lMB0000000RIEJMA4",,,1986-08-12,,"Q4Data330 Trail330","003B000000IXi8mIAD","Social",2020-12-14,"No","003B000000IXi8mIAD","Q4Data330 Trail330","NTO Insider","New York","USA","003B000000IXi8mIAD","Q4Data330 Trail330","NY","Active","5.9-12 months","Individual",,,"IndivAiK_132","0lpB0000000PBdwIAG",,,,"2021-02-12T00:00:00.000Z","2021-11-02T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Based on Past Activities or Tier",2020-12-14,"0lyB0000000RJAfIAO",FALSE,"Points","Number of Transactions",,1986-08-12,,"Q4Data330 Trail330",,,,"0lMB0000000RIEJMA4",,,1986-08-12,,"Q4Data330 Trail330","003B000000IXi8mIAD","Social",2020-12-14,"No","003B000000IXi8mIAD","Q4Data330 Trail330","NTO Insider","New York","USA","003B000000IXi8mIAD","Q4Data330 Trail330","NY","Active","5.9-12 months","Individual",,,"IndivAiK_132","0lpB0000000PBdwIAG",,,,"2021-02-12T00:00:00.000Z","2021-11-02T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"VIP Member",2021-11-02,"0lyB0000000RJAgIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data331 Trail331",,,,"0lMB0000000RIEKMA4",,,,,"Q4Data331 Trail331","003B000000IXi8nIAD","Email",2021-11-02,"No","003B000000IXi8nIAD","Q4Data331 Trail331","NTO Insider","San Francisco","USA","003B000000IXi8nIAD","Q4Data331 Trail331","CA","Active","9.NA","Individual",,,"IndivAiK_133","0lpB0000000PBdwIAG",,,,,,FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"Resolve Tier Conflict",2021-11-02,"0lyB0000000RJAhIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data331 Trail331",,,,"0lMB0000000RIEKMA4",,,,,"Q4Data331 Trail331","003B000000IXi8nIAD","Email",2021-11-02,"No","003B000000IXi8nIAD","Q4Data331 Trail331","NTO Insider","San Francisco","USA","003B000000IXi8nIAD","Q4Data331 Trail331","CA","Active","9.NA","Individual",,,"IndivAiK_133","0lpB0000000PBdwIAG",,,,,,TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
"Based on Past Activities or Tier",2020-12-08,"0lyB0000000RJAiIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data332 Trail332",,,,"0lMB0000000RIELMA4",,,,,"Q4Data332 Trail332","003B000000IXi8oIAD","Web",2020-12-08,"No","003B000000IXi8oIAD","Q4Data332 Trail332","NTO Insider","New Jersey","USA","003B000000IXi8oIAD","Q4Data332 Trail332","NJ","Active","5.9-12 months","Individual",,,"IndivAiK_134","0lpB0000000PBdwIAG",,,,"2020-10-14T00:00:00.000Z","2021-12-17T00:00:00.000Z",FALSE,"Lifetime","Premium",1,"0ltB0000000PBbvIAG","0lgB0000000TNJHIA4","Premium",,,2021-11-01
"VIP Member",2020-12-08,"0lyB0000000RJAjIAO",FALSE,"Points","Number of Transactions",,,,"Q4Data332 Trail332",,,,"0lMB0000000RIELMA4",,,,,"Q4Data332 Trail332","003B000000IXi8oIAD","Web",2020-12-08,"No","003B000000IXi8oIAD","Q4Data332 Trail332","NTO Insider","New Jersey","USA","003B000000IXi8oIAD","Q4Data332 Trail332","NJ","Active","5.9-12 months","Individual",,,"IndivAiK_134","0lpB0000000PBdwIAG",,,,"2020-10-14T00:00:00.000Z","2021-12-17T00:00:00.000Z",TRUE,"Status Tier Group","Silver",1,"0ltB0000000PBbqIAG","0lgB0000000TNJCIA4","Silver",,,2021-11-01
