LoyaltyMemberTier_LoyaltyMemberCurrency_LoyaltyProgramMember_AccountContact_Id,LoyaltyMemberTier_LoyaltyTier_LoyaltyTierGroup_Name,User_SmallPhotoUrl,OldValue,LoyaltyMemberTier_LoyaltyProgramMember_Contact_Name,LoyaltyMemberTier_LoyaltyProgramMember_EnrollmentDate,LoyaltyMemberTier_LoyaltyProgramMember_MemberStatus,LoyaltyMemberTier_LoyaltyMemberId,LoyaltyMemberTier_LoyaltyProgramMember_MemberName,ReasonForChange_Field,LoyaltyMemberTier_LoyaltyProgramMember_Referrer_Contact_Name,Field,LoyaltyMemberTier_LoyaltyProgramMember_Account_Name,LoyaltyMemberTier_LoyaltyProgramMember_AccountContact_Id,CreatedById,DataType,LoyaltyMemberTier_LoyaltyTier_Name,User_UniqueUserName,ReasonForChange_NewValue,LoyaltyMemberTier_LoyaltyProgramMember_LoyaltyProgram_Name,LoyaltyMemberTier_LoyaltyProgramMember_Referrer_Account_Name,IsDeleted,LoyaltyMemberTier_LoyaltyMemberCurrency_LoyaltyProgramCurrency_NQP_Currency,LoyaltyMemberTier_Name,LastProcessedDate,LoyaltyMemberTier_LoyaltyProgramMember_IsReferral,User_Username,LoyaltyMemberTier_LoyaltyProgramMember_EnrollmentChannel,LoyaltyMemberTierId,LoyaltyMemberTier_LoyaltyMemberCurrency_LoyaltyProgramCurrency_QP_Currency,CreatedDate,LoyaltyMemberTier_LoyaltyProgramMember_MemberType,NewValue,Id,User_FullPhotoUrl
,,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T,Gold,Adeline Allocco,2020-06-01,Active,0lMB00000004GFMMA2,Adeline Allocco,ReasonForChange,,LoyaltyTier,,,005B0000007PfK9IAK,Text,Silver,Shelly Sheldon,change member tier,Distributor Loyalty Program,,FALSE,Tier Points,Silver,2021-03-03,No,divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm,CallCenter,0lyB00000004IOUIA2,Number of Transactions,2021-01-18,Individual,Silver,017B00000BM9JDPIQ3,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F
,,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T,Platinum,Alfred Albriton,2020-01-04,Active,0lMB00000004GAGMA2,Alfred Albriton,ReasonForChange,,LoyaltyTier,,,005B0000007PfK9IAK,Text,Platinum,Shelly Sheldon,Rich Customer,Distributor Loyalty Program,,FALSE,Tier Points,Platinum,2021-03-03,No,divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm,POS,0lyB00000004IYgIAM,Number of Transactions,2021-01-18,Individual,Platinum,017B00000BM9JF8IQN,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F
,Status Tier Group,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T,Silver,Madden Alacano,2020-01-17,Active,0lMB00000004GAiMAM,Madden Alacano,ReasonForChange,,LoyaltyTier,,,005B0000007PfK9IAK,Text,Silver,Shelly Sheldon,Rich Customer,Distributor Loyalty Program,,FALSE,Tier Points,Silver,2021-03-03,No,divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm,Email,0lyB00000004IXlIAM,Number of Transactions,2021-01-18,Individual,Silver,017B00000BM9JFDIQ3,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F
003B000000HtVv0IAF,,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T,Silver,Ryan Abaunza,2020-02-03,Active,0lMB00000004FhEMAU,Telstra,ReasonForChange,,LoyaltyTier,Telstra,003B000000HtVv0IAF,005B0000007PfK9IAK,Text,Gold,Shelly Sheldon,Rich Customer,Distributor Loyalty Program,,FALSE,Tier Points,Gold,2021-03-03,No,divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm,POS,0lyB00000004ImYIAU,Number of Transactions,2021-01-18,Corporate,Gold,017B00000BM9JFHIQ3,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F
003B000000HtVv1IAF,,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T,Silver,Asher Abaya,2020-02-04,Active,0lMB00000004FgpMAE,Pfizer,ReasonForChange,,LoyaltyTier,Pfizer,003B000000HtVv1IAF,005B0000007PfK9IAK,Text,Silver,Shelly Sheldon,Rich Customer,Distributor Loyalty Program,,FALSE,Tier Points,Silver,2021-03-03,No,divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm,Web,0lyB00000004ImaIAE,Number of Transactions,2021-01-18,Corporate,Silver,017B00000BM9JFLIQ3,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F
,,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T,Silver,Landry Alderson,2020-02-18,Active,0lMB00000004GE2MAM,Landry Alderson,ReasonForChange,,LoyaltyTier,,,005B0000007PfK9IAK,Text,Silver,Shelly Sheldon,Rich Customer,Distributor Loyalty Program,,FALSE,Tier Points,Silver,2021-03-03,No,divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm,Web,0lyB00000004IR8IAM,Number of Transactions,2021-02-18,Individual,Silver,017B00000BM9JFPIQ3,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F
,Status Tier Group,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T,Silver,Zaiden Adner,2020-03-04,Active,0lMB00000004GEHMA2,Zaiden Adner,ReasonForChange,,LoyaltyTier,,,005B0000007PfK9IAK,Text,Silver,Shelly Sheldon,Rich Customer,Distributor Loyalty Program,,FALSE,Tier Points,Silver,2021-03-03,No,divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm,Web,0lyB00000004IQdIAM,Number of Transactions,2021-02-18,Individual,Silver,017B00000BM9JFTIQ3,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F
,Status Tier Group,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T,Silver,Novaleigh Aucter,2020-03-03,Active,0lMB00000004GMFMA2,Novaleigh Aucter,ReasonForChange,Nickolas Albergotti,LoyaltyTier,,,005B0000007PfK9IAK,Text,Silver,Shelly Sheldon,Rich Customer,Distributor Loyalty Program,,FALSE,Tier Points,Silver,2021-03-03,Yes,divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm,Web,0lyB00000004J57IAE,Number of Transactions,2021-02-18,Individual,Silver,017B00000BM9JFYIQ3,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F
,Status Tier Group,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T,Silver,Cora Allmand,2020-03-18,Active,0lMB00000004GFRMA2,Cora Allmand,ReasonForChange,,LoyaltyTier,,,005B0000007PfK9IAK,Text,Silver,Shelly Sheldon,Rich Customer,Distributor Loyalty Program,,FALSE,Tier Points,Silver,2021-03-03,No,divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm,CallCenter,0lyB00000004IOJIA2,Number of Transactions,2021-02-18,Individual,Silver,017B00000BM9JFdIQN,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F
003B000000HtVuyIAF,Status Tier Group,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/T,Silver,Sophia Allbright,2020-04-03,Active,0lMB00000004FiJMAU,Gold Investments,ReasonForChange,,LoyaltyTier,Gold Investments,003B000000HtVuyIAF,005B0000007PfK9IAK,Text,Silver,Shelly Sheldon,Rich Customer,Distributor Loyalty Program,,FALSE,Tier Points,Silver,2021-03-03,No,divya.ycurc09mvmbo@loyaltyanalytics.tcrmpmm,Social,0lyB00000004IrxIAE,Number of Transactions,2021-02-18,Corporate,Silver,017B00000BM9JFhIQN,https://loyaltyanalyticstcrmpmm--c.documentforce.com/profilephoto/729B0000000Q7rw/F
