"ResourceAbsence.User.Id","Start","ResourceAbsence.User.Name","City","ResourceAbsence.User.Email","ResourceAbsence.Description","ResourceAbsence.User.Username","Type","ResourceId","State","CreatedDate","Country","End","Id","AbsenceMinutes"
"0052X00000AcWf4QAF","2017-02-22T19:50:00.000Z","Janice Gonzales",,"janice@example.com","Field Service Lightning User","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Vacation","0Hn2X000000cXJvSAM",,"2020-07-28T07:41:59.000Z",,"2017-02-22T20:20:00.000Z","0Hw2X000000hXszSAE",30
"0052X00000AcWf4QAF","2017-02-23T20:00:00.000Z","Janice Gonzales",,"janice@example.com","Field Service Lightning User","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Vacation","0Hn2X000000cXJvSAM",,"2020-07-28T07:41:59.000Z",,"2017-02-23T20:30:00.000Z","0Hw2X000000hXt0SAE",30
"0052X00000AcWf4QAF","2017-02-24T21:02:00.000Z","Janice Gonzales",,"janice@example.com","Field Service Lightning User","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Vacation","0Hn2X000000cXJvSAM",,"2020-07-28T07:41:59.000Z",,"2017-02-24T21:32:00.000Z","0Hw2X000000hXt1SAE",30
"0052X00000AcWf4QAF","2017-02-26T20:20:00.000Z","Janice Gonzales",,"janice@example.com","Field Service Lightning User","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Vacation","0Hn2X000000cXJvSAM",,"2020-07-28T07:41:59.000Z",,"2017-02-26T20:50:00.000Z","0Hw2X000000hXtkSAE",30
"0052X00000AcWf4QAF","2017-02-25T20:00:00.000Z","Janice Gonzales",,"janice@example.com","Field Service Lightning User","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Vacation","0Hn2X000000cXJvSAM",,"2020-07-28T07:41:59.000Z",,"2017-02-25T20:30:00.000Z","0Hw2X000000hXtlSAE",30
"0052X00000AcWf4QAF","2017-02-27T20:49:00.000Z","Janice Gonzales",,"janice@example.com","Field Service Lightning User","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Vacation","0Hn2X000000cXJvSAM",,"2020-07-28T07:41:59.000Z",,"2017-02-27T21:19:00.000Z","0Hw2X000000hXuOSAU",30
"0052X00000AcWf4QAF","2017-03-01T20:00:00.000Z","Janice Gonzales",,"janice@example.com","Field Service Lightning User","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Vacation","0Hn2X000000cXJvSAM",,"2020-07-28T07:41:59.000Z",,"2017-03-01T20:30:00.000Z","0Hw2X000000hXv5SAE",30
"0052X00000AcWf4QAF","2017-02-28T20:13:00.000Z","Janice Gonzales",,"janice@example.com","Field Service Lightning User","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Vacation","0Hn2X000000cXJvSAM",,"2020-07-28T07:41:59.000Z",,"2017-02-28T20:43:00.000Z","0Hw2X000000hXv6SAE",30
"0052X00000AcWf4QAF","2017-03-02T20:17:00.000Z","Janice Gonzales",,"janice@example.com","Field Service Lightning User","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Vacation","0Hn2X000000cXJvSAM",,"2020-07-28T07:41:59.000Z",,"2017-03-02T20:47:00.000Z","0Hw2X000000hXvoSAE",30
"0052X00000AcWf4QAF","2017-03-03T21:43:00.000Z","Janice Gonzales",,"janice@example.com","Field Service Lightning User","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Vacation","0Hn2X000000cXJvSAM",,"2020-07-28T07:41:59.000Z",,"2017-03-03T22:13:00.000Z","0Hw2X000000hXvpSAE",30
