"ProductRequired.Product2Id","AssignedResource.User.Id","ParentRecordId.WorkTypeId.Id","ProductRequired.ProductName","ParentRecordId.WorkTypeId","ProductRequired.QuantityUnitOfMeasure","ParentRecordId.WorkTypeId.Name","ProductRequired.ParentRecordId","ProductRequired.ProductRequiredNumber","AssignedResource.User.User.Name","ServiceTerritoryId.State","ServiceTerritoryId","ParentRecordId.CaseId","ArrivalWindowStartTime","ServiceTerritoryId.OperatingHoursId","ProductConsumed.ProductConsumedNumber","Status","ServiceTerritoryId.City","ParentRecordId","ProductConsumed.ProductName","EarliestStartTime","AssignedResource.User.User.Username","ParentRecordId.AccountId","AssignedResource.User.Description","ActualEndTime","CreatedDate","Id","ParentRecordId.Priority","ProductConsumed.Id","ServiceTerritoryId.Name","AssignedResource.User.User.Email","ParentRecordId.CreatedDate","AppointmentNumber","StatusCategory","ParentRecordType","DueDate","ProductRequired.Id","DurationType","AssignedResource.User.User.SmallPhotoUrl","AssignedResource.ServiceResourceId","ProductRequired.ParentRecordType","ParentRecordId.Status","ParentRecordId.WorkOrderNumber","ActualStartTime","AssignedResource.User.User.Id","ArrivalWindowEndTime","ServiceTerritoryId.Country","ParentRecordId.Id","ServiceTerritoryId.Id","ParentRecordId.AccountId.Name","ProductRequired.QuantityRequired","Duration","ActualDuration","DurationInMinutes"
,"0Hn2X000000cXJnSAM","08q2X000000cU89QAE",,"08q2X000000cU89QAE",,"Field Inspection",,,"Lamar Smith","CA","0Hh2X000000cTyBSAU",,"2020-09-24T19:38:00.000Z","0OH2X000000cU9vWAE","PC-1137","Completed","Los Angeles","0WO2X000000w8wHWAQ","Product A","2020-09-24T19:38:00.000Z","lsmith.x5fzy5qfinkn.qwfn1agwfk37@summer20-sd.sdo","0012X000023JQaZQAW","Field Service Lightning User","2020-09-29T14:59:00.000Z","2020-07-28T07:41:59.000Z","08p2X000000pzXpQAI","Low","0Gv2X000000DoVFSA0","Los Angeles","calbanese@example.com","2020-07-28T07:41:59.000Z","SA-0645","Completed","WorkOrder","2020-12-13T08:00:00.000Z",,"Minutes","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzm/T","0Hn2X000000cXJnSAM",,"New","00000656","2020-09-25T19:38:00.000Z","0052X00000AcWfIQAV","2020-09-26T19:38:00.000Z","USA","0WO2X000000w8wHWAQ","0Hh2X000000cTyBSAU","Ohana, Inc.",,120,220,120
,"0Hn2X000000cXJqSAM","08q2X000000cU89QAE",,"08q2X000000cU89QAE",,"Field Inspection",,,"Melissa Wood","CA","0Hh2X000000cTyBSAU",,"2020-09-26T20:12:00.000Z","0OH2X000000cU9vWAE","PC-1160","Completed","Los Angeles","0WO2X000000w8wIWAQ","Battery, High Capacity","2020-09-26T20:12:00.000Z","mwood.fnyz6gf3zfmp.dwllsqauhrix@summer20-sd.sdo","0012X000023JQbhQAG","Field Service Lightning User","2020-10-01T12:00:00.000Z","2020-07-28T07:41:59.000Z","08p2X000000pzXqQAI","Low","0Gv2X000000DoVOSA0","Los Angeles","melissa@example.com","2020-07-28T07:41:59.000Z","SA-0652","Completed","WorkOrder","2020-12-13T08:00:00.000Z",,"Minutes","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzo/T","0Hn2X000000cXJqSAM",,"New","00000663","2020-09-27T20:12:00.000Z","0052X00000AcWfKQAV","2020-09-28T20:12:00.000Z","USA","0WO2X000000w8wIWAQ","0Hh2X000000cTyBSAU","Steve Sutherland",,120,121,120
,"0Hn2X000000cXJnSAM","08q2X000000cU7zQAE",,"08q2X000000cU7zQAE",,"Reclamation",,,"Lamar Smith","CA","0Hh2X000000cTyBSAU",,"2020-09-24T21:48:00.000Z","0OH2X000000cU9vWAE","PC-1173","Completed","Los Angeles","0WO2X000000w8wJWAQ","Mounting System","2020-09-24T21:48:00.000Z","lsmith.x5fzy5qfinkn.qwfn1agwfk37@summer20-sd.sdo","0012X000023JQb2QAG","Field Service Lightning User","2020-09-28T19:46:00.000Z","2020-07-28T07:41:59.000Z","08p2X000000pzXrQAI","Low","0Gv2X000000DoVUSA0","Los Angeles","calbanese@example.com","2020-07-28T07:41:59.000Z","SA-0660","Completed","WorkOrder","2020-12-13T08:00:00.000Z",,"Minutes","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzm/T","0Hn2X000000cXJnSAM",,"New","00000671","2020-09-25T21:48:00.000Z","0052X00000AcWfIQAV","2020-09-26T21:48:00.000Z","USA","0WO2X000000w8wJWAQ","0Hh2X000000cTyBSAU","Ohana Financial Services",,60,7,60
,"0Hn2X000000cXJlSAM","08q2X000000cU83QAE",,"08q2X000000cU83QAE",,"QA Testing",,,"Janet Jones","CA","0Hh2X000000cTyBSAU",,"2020-09-26T15:00:00.000Z","0OH2X000000cU9vWAE","PC-1150","Dispatched","Los Angeles","0WO2X000000w8wKWAQ","Intelligent Optimization Service License","2020-09-26T15:00:00.000Z","jjones.bguc2dzrc4jf.jgzmrjxztvcu@summer20-sd.sdo","0012X000023JQaqQAG","Field Service Lightning User","2020-09-28T09:35:00.000Z","2020-07-28T07:41:59.000Z","08p2X000000pzXsQAI","Low","0Gv2X000000DoVKSA0","Los Angeles","janet@example.com","2020-07-28T07:41:59.000Z","SA-0666","Dispatched","WorkOrder","2020-12-13T08:00:00.000Z",,"Minutes","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzj/T","0Hn2X000000cXJlSAM",,"New","00000677","2020-09-27T16:01:00.000Z","0052X00000AcWfFQAV","2020-09-28T15:00:00.000Z","USA","0WO2X000000w8wKWAQ","0Hh2X000000cTyBSAU","Robert Janzen",,60,46,60
,"0Hn2X000000cXJlSAM","08q2X000000cU88QAE",,"08q2X000000cU88QAE",,"Rebuild",,,"Janet Jones","CA","0Hh2X000000cTyBSAU",,"2020-09-26T16:19:00.000Z","0OH2X000000cU9vWAE","PC-1152","Completed","Los Angeles","0WO2X000000w8wLWAQ","Battery, Low Capacity","2020-09-26T16:19:00.000Z","jjones.bguc2dzrc4jf.jgzmrjxztvcu@summer20-sd.sdo","0012X000023JQaZQAW","Field Service Lightning User","2020-10-02T03:06:00.000Z","2020-07-28T07:41:59.000Z","08p2X000000pzXtQAI","Low","0Gv2X000000DoVLSA0","Los Angeles","janet@example.com","2020-07-28T07:41:59.000Z","SA-0668","Completed","WorkOrder","2020-12-13T08:00:00.000Z",,"Minutes","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzj/T","0Hn2X000000cXJlSAM",,"New","00000679","2020-09-27T16:19:00.000Z","0052X00000AcWfFQAV","2020-09-28T16:19:00.000Z","USA","0WO2X000000w8wLWAQ","0Hh2X000000cTyBSAU","Ohana, Inc.",,120,7,120
,"0Hn2X000000cXJlSAM","08q2X000000cU7xQAE",,"08q2X000000cU7xQAE",,"Part Swap",,,"Janet Jones","CA","0Hh2X000000cTyBSAU",,"2020-09-26T19:04:00.000Z","0OH2X000000cU9vWAE","PC-1163","Completed","Los Angeles","0WO2X000000w8wMWAQ","Energy Meter","2020-09-26T19:04:00.000Z","jjones.bguc2dzrc4jf.jgzmrjxztvcu@summer20-sd.sdo","0012X000023JQakQAG","Field Service Lightning User","2020-09-28T11:46:00.000Z","2020-07-28T07:41:59.000Z","08p2X000000pzXuQAI","Low","0Gv2X000000DoVPSA0","Los Angeles","janet@example.com","2020-07-28T07:41:59.000Z","SA-0669","Completed","WorkOrder","2020-12-13T08:00:00.000Z",,"Minutes","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzj/T","0Hn2X000000cXJlSAM",,"New","00000680","2020-09-27T19:04:00.000Z","0052X00000AcWfFQAV","2020-09-28T19:04:00.000Z","USA","0WO2X000000w8wMWAQ","0Hh2X000000cTyBSAU","Karen Wells",,60,53,60
"01t2X0000071XyEQAU","0Hn2X000000cXJmSAM","08q2X000000cU7sQAE","Connector Cables","08q2X000000cU7sQAE","Each","Battery Replacement","0WO2X000000w8wNWAQ","PREQ-0255","Jim Matthews","CA","0Hh2X000000cTyBSAU",,"2020-09-14T22:00:00.000Z","0OH2X000000cU9vWAE","PC-623","Completed","Los Angeles","0WO2X000000w8wNWAQ","Battery, Low Capacity","2020-09-14T22:00:00.000Z","jmatthews.w5pyuqsbozvs.a61r6sbxxtgg@summer20-sd.sdo","0012X000023JQbVQAW","Field Service Lightning User","2020-09-18T18:55:00.000Z","2020-07-28T07:41:59.000Z","08p2X000000pzXvQAI","Low","0Gv2X000000DoQkSAK","Los Angeles","jim@example.com","2020-07-28T07:41:59.000Z","SA-0670","Completed","WorkOrder","2020-12-13T08:00:00.000Z","0Gn2X000000LU5oSAG","Minutes","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzk/T","0Hn2X000000cXJmSAM","WorkOrder","New","00000681","2020-09-15T23:01:00.000Z","0052X00000AcWfGQAV","2020-09-16T22:00:00.000Z","USA","0WO2X000000w8wNWAQ","0Hh2X000000cTyBSAU","Goodman Imports",2,60,46,60
,"0Hn2X000000cXJlSAM","08q2X000000cU82QAE",,"08q2X000000cU82QAE",,"Design",,,"Janet Jones","CA","0Hh2X000000cTyBSAU",,"2020-09-26T20:32:00.000Z","0OH2X000000cU9vWAE","PC-1164","Completed","Los Angeles","0WO2X000000w8wOWAQ","Product C","2020-09-26T20:32:00.000Z","jjones.bguc2dzrc4jf.jgzmrjxztvcu@summer20-sd.sdo","0012X000023JQbYQAW","Field Service Lightning User","2020-09-29T16:35:00.000Z","2020-07-28T07:41:59.000Z","08p2X000000pzXwQAI","Low","0Gv2X000000DoVQSA0","Los Angeles","janet@example.com","2020-07-28T07:41:59.000Z","SA-0671","Completed","WorkOrder","2020-12-13T08:00:00.000Z",,"Minutes","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzj/T","0Hn2X000000cXJlSAM",,"New","00000682","2020-09-27T20:32:00.000Z","0052X00000AcWfFQAV","2020-09-28T20:32:00.000Z","USA","0WO2X000000w8wOWAQ","0Hh2X000000cTyBSAU","Harmon Consulting",,60,63,60
,"0Hn2X000000cXJkSAM","08q2X000000cU85QAE",,"08q2X000000cU85QAE",,"Field Measurements",,,"James Clifton","CA","0Hh2X000000cTyBSAU",,"2020-09-26T20:03:00.000Z","0OH2X000000cU9vWAE","PC-1167","Scheduled","Los Angeles","0WO2X000000w8wPWAQ","Energy Meter","2020-09-26T20:03:00.000Z","james.clifton.rn02fiqpyqkf.yoa7vwhqfhdh@summer20-sd.sdo","0012X000023JQacQAG","Field Service Lightning User","2020-09-30T01:57:00.000Z","2020-07-28T07:41:59.000Z","08p2X000000pzXxQAI","Low","0Gv2X000000DoVRSA0","Los Angeles","james@example.com","2020-07-28T07:41:59.000Z","SA-0674","Scheduled","WorkOrder","2020-12-13T08:00:00.000Z",,"Minutes","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzi/T","0Hn2X000000cXJkSAM",,"New","00000685","2020-09-27T20:03:00.000Z","0052X00000AcWfEQAV","2020-09-28T20:03:00.000Z","USA","0WO2X000000w8wPWAQ","0Hh2X000000cTyBSAU","Advanced Communications",,90,160,90
,"0Hn2X000000cXJrSAM","08q2X000000cU83QAE",,"08q2X000000cU83QAE",,"QA Testing",,,"Pam Lawison","CA","0Hh2X000000cTyBSAU",,"2020-09-26T21:38:00.000Z","0OH2X000000cU9vWAE","PC-1185","Completed","Los Angeles","0WO2X000000w8wQWAQ","Large Turbine","2020-09-26T21:38:00.000Z","plawison.0nwem4skv0nl.3k0ck5fkxkzl@summer20-sd.sdo","0012X000023JQb1QAG","Field Service Lightning User","2020-09-30T17:01:00.000Z","2020-07-28T07:41:59.000Z","08p2X000000pzXyQAI","Low","0Gv2X000000DoVYSA0","Los Angeles","pam@example.com","2020-07-28T07:41:59.000Z","SA-0675","Completed","WorkOrder","2020-12-13T08:00:00.000Z",,"Minutes","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzp/T","0Hn2X000000cXJrSAM",,"New","00000686","2020-09-27T21:38:00.000Z","0052X00000AcWfLQAV","2020-09-28T21:38:00.000Z","USA","0WO2X000000w8wQWAQ","0Hh2X000000cTyBSAU","Datanet, Inc.",,60,76,60
