"SA_ParentRecordId_AccountId_Name","User_User_Username","SA_ServiceTerritoryId_Name","SA_ProductRequired_Product2Id","User_User_Id","SA_ServiceTerritoryId_State","SA_ParentRecordId_Priority","SA_Status","User_User_SmallPhotoUrl","User_IsCapacityBased","User_User_Name","ServiceResourceId","SA_ParentRecordId_CaseId","ServiceAppointmentId","User_Description","SA_CreatedDate","SA_StatusCategory","SA_ParentRecordId_WorkTypeId_Name","SA_ProductRequired_ProductName","CreatedDate","SA_EarliestStartTime","SA_ProductConsumed_ProductName","Id","SA_Id","SA_ParentRecordId_CreatedDate","User_Id","User_User_Email","ActualTravelTime","EstimatedTravelTime"
"Ohana Financial Services","jjones.bguc2dzrc4jf.jgzmrjxztvcu@summer20-sd.sdo","Los Angeles",,"0052X00000AcWfFQAV","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzj/T","FALSE","Janet Jones","0Hn2X000000cXJlSAM",,"08p2X000000pziNQAQ","Field Service Lightning User","2021-01-11","Scheduled","Field Connect",,"2020-07-28 00:41:59","2021-03-03","Remote Monitoring Subscription","03r2X000000iId3QAE","08p2X000000pziNQAQ","2020-07-28 00:41:59","0Hn2X000000cXJlSAM","janet@example.com",15,25
"Employnet","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Los Angeles",,"0052X00000AcWf4QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzY/T","FALSE","Janice Gonzales","0Hn2X000000cXJvSAM",,"08p2X000000pzlxQAA","Field Service Lightning User","2021-01-11","Scheduled","QA Testing",,"2020-07-28 00:41:59","2017-08-22",,"03r2X000000iInfQAE","08p2X000000pzlxQAA","2020-07-28 00:41:59","0Hn2X000000cXJvSAM","janice@example.com",30,59
"Employnet","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Los Angeles",,"0052X00000AcWf4QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzY/T","FALSE","Janice Gonzales","0Hn2X000000cXJvSAM",,"08p2X000000pzm5QAA","Field Service Lightning User","2021-01-11","Scheduled","Design",,"2020-07-28 00:41:59","2017-08-22",,"03r2X000000iInmQAE","08p2X000000pzm5QAA","2020-07-28 00:41:59","0Hn2X000000cXJvSAM","janice@example.com",45,19
"Niki Sullivan","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Los Angeles",,"0052X00000AcWf4QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzY/T","FALSE","Janice Gonzales","0Hn2X000000cXJvSAM",,"08p2X000000pzm9QAA","Field Service Lightning User","2021-01-11","Scheduled","QA Testing",,"2020-07-28 00:41:59","2017-08-22",,"03r2X000000iInqQAE","08p2X000000pzm9QAA","2020-07-28 00:41:59","0Hn2X000000cXJvSAM","janice@example.com",60,105
"Mina Passini","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Los Angeles",,"0052X00000AcWf4QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzY/T","FALSE","Janice Gonzales","0Hn2X000000cXJvSAM",,"08p2X000000pzmBQAQ","Field Service Lightning User","2021-01-11","Scheduled","Site Survey",,"2020-07-28 00:41:59","2017-08-22",,"03r2X000000iInsQAE","08p2X000000pzmBQAQ","2020-07-28 00:41:59","0Hn2X000000cXJvSAM","janice@example.com",60,17
"Robert Simpson","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Los Angeles",,"0052X00000AcWf4QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzY/T","FALSE","Janice Gonzales","0Hn2X000000cXJvSAM",,"08p2X000000pzmSQAQ","Field Service Lightning User","2021-01-11","Scheduled","Repair Estimate",,"2020-07-28 00:41:59","2017-08-22",,"03r2X000000iIo9QAE","08p2X000000pzmSQAQ","2020-07-28 00:41:59","0Hn2X000000cXJvSAM","janice@example.com",30,86
"Mike Garcia","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Los Angeles",,"0052X00000AcWf4QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzY/T","FALSE","Janice Gonzales","0Hn2X000000cXJvSAM",,"08p2X000000pzmUQAQ","Field Service Lightning User","2021-01-11","Scheduled","Part Swap",,"2020-07-28 00:41:59","2017-08-22",,"03r2X000000iIoBQAU","08p2X000000pzmUQAQ","2020-07-28 00:41:59","0Hn2X000000cXJvSAM","janice@example.com",30,44
"Heath Axworth","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Los Angeles",,"0052X00000AcWf4QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzY/T","FALSE","Janice Gonzales","0Hn2X000000cXJvSAM",,"08p2X000000pzmVQAQ","Field Service Lightning User","2021-01-11","Scheduled","Installation",,"2020-07-28 00:41:59","2017-08-22",,"03r2X000000iIoCQAU","08p2X000000pzmVQAQ","2020-07-28 00:41:59","0Hn2X000000cXJvSAM","janice@example.com",30,91
"Goodman Imports","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Los Angeles",,"0052X00000AcWf4QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzY/T","FALSE","Janice Gonzales","0Hn2X000000cXJvSAM",,"08p2X000000pzlaQAA","Field Service Lightning User","2021-01-11","Scheduled","Deinstallation",,"2020-07-28 00:41:59","2017-08-22",,"03r2X000000iIoQQAU","08p2X000000pzlaQAA","2020-07-28 00:41:59","0Hn2X000000cXJvSAM","janice@example.com",30,10
"Datanet, Inc.","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Los Angeles","01t2X0000071XyEQAU","0052X00000AcWf4QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzY/T","FALSE","Janice Gonzales","0Hn2X000000cXJvSAM",,"08p2X000000pzlSQAQ","Field Service Lightning User","2021-01-11","Scheduled","Break-Fix","Connector Cables","2020-07-28 00:41:59","2017-08-22",,"03r2X000000iIodQAE","08p2X000000pzlSQAQ","2020-07-28 00:41:59","0Hn2X000000cXJvSAM","janice@example.com",30,10
"Anaco Limited","jgonzales.zzl55mfkopfe.egcdjrfh0dkh@summer20-sd.sdo","Los Angeles",,"0052X00000AcWf4QAF","CA","Low","Scheduled","https://sdhaese-20200728-demo--c.documentforce.com/profilephoto/7292X000000glzY/T","FALSE","Janice Gonzales","0Hn2X000000cXJvSAM",,"08p2X000000pzlUQAQ","Field Service Lightning User","2021-01-11","Scheduled","Reclamation",,"2020-07-28 00:41:59","2017-08-22",,"03r2X000000iIoiQAE","08p2X000000pzlUQAQ","2020-07-28 00:41:59","0Hn2X000000cXJvSAM","janice@example.com",30,4
