"ANALYTICSDEMO_BATCH_ID_C","SNAPSHOTDATE","FINANCIALACCOUNTNAME","LastProcessedDate","PRIMARYOWNER","FINANCIALACCOUNTID"
2019090295535482235,"2019-08-19","Adams Charitable Trust (Sample) Mutual Fund1","2019-10-07","0051U000005JQyrQAG","FinAcct.0011U00000Kcp1JQAR-1"
2019090295535482235,"2019-06-24","Adams Charitable Trust (Sample) Mutual Fund1","2019-10-07","0051U000005JQyrQAG","FinAcct.0011U00000Kcp1JQAR-1"
2019090295535482235,"2019-06-17","Adams Charitable Trust (Sample) Mutual Fund1","2019-10-07","0051U000005JQyrQAG","FinAcct.0011U00000Kcp1JQAR-1"
2019090295535482235,"2019-01-07","Adams Charitable Trust (Sample) Mutual Fund1","2019-10-07","0051U000005JQyrQAG","FinAcct.0011U00000Kcp1JQAR-1"
2019090295535482235,"2018-12-03","Adams Charitable Trust (Sample) Mutual Fund1","2019-10-07","0051U000005JQyrQAG","FinAcct.0011U00000Kcp1JQAR-1"
2019090295535482235,"2018-09-24","Adams Charitable Trust (Sample) Mutual Fund1","2019-10-07","0051U000005JQyrQAG","FinAcct.0011U00000Kcp1JQAR-1"
2019090295535482235,"2018-09-17","Adams Charitable Trust (Sample) Mutual Fund1","2019-10-07","0051U000005JQyrQAG","FinAcct.0011U00000Kcp1JQAR-1"
2019090295535482235,"2019-07-22","Adams Charitable Trust (Sample) Cash Management Account2","2019-10-07","0051U000005JQyrQAG","FinAcct.0011U00000Kcp1JQAR-2"
2019090295535482235,"2019-07-08","Adams Charitable Trust (Sample) Cash Management Account2","2019-10-07","0051U000005JQyrQAG","FinAcct.0011U00000Kcp1JQAR-2"
2019090295535482235,"2019-06-03","Adams Charitable Trust (Sample) Cash Management Account2","2019-10-07","0051U000005JQyrQAG","FinAcct.0011U00000Kcp1JQAR-2"
2019090295535482235,"2018-11-19","Adams Charitable Trust (Sample) Cash Management Account2","2019-10-07","0051U000005JQyrQAG","FinAcct.0011U00000Kcp1JQAR-2"
2019090295535482235,"2019-07-01","Adams Household (Sample) Mutual Fund3","2019-10-07","0051U000005L4E9QAK","FinAcct.0011U00000Kcp1KQAR-3"
2019090295535482235,"2019-01-21","Adams Household (Sample) Mutual Fund3","2019-10-07","0051U000005L4E9QAK","FinAcct.0011U00000Kcp1KQAR-3"
2019090295535482235,"2019-01-07","Adams Household (Sample) Mutual Fund3","2019-10-07","0051U000005L4E9QAK","FinAcct.0011U00000Kcp1KQAR-3"
2019090295535482235,"2018-12-17","Adams Household (Sample) Mutual Fund3","2019-10-07","0051U000005L4E9QAK","FinAcct.0011U00000Kcp1KQAR-3"
2019090295535482235,"2018-11-19","Adams Household (Sample) Mutual Fund3","2019-10-07","0051U000005L4E9QAK","FinAcct.0011U00000Kcp1KQAR-3"
2019090295535482235,"2018-10-01","Adams Household (Sample) Mutual Fund3","2019-10-07","0051U000005L4E9QAK","FinAcct.0011U00000Kcp1KQAR-3"
2019090295535482235,"2018-09-24","Adams Household (Sample) Mutual Fund3","2019-10-07","0051U000005L4E9QAK","FinAcct.0011U00000Kcp1KQAR-3"
2019090295535482235,"2018-09-03","Neil Symonds (Sample) Checking4","2019-10-07","0051U000005L6eJQAS","FinAcct.0011U00000Kcp1LQAR-4"
