"AccountId","AssignedResource_User_User_Email","ServiceResourceSkill_SkillNumber","AssignedResource_User_Id","ServiceTerritoryId","ServiceResourceSkill_Skill_MasterLabel","ParentRecordId_CreatedDate","ArrivalWindowStartTime","Status","ParentRecordId","ServiceResourceSkill_SkillId","ServiceTerritoryId_City","AssignedResource_User_Description","AssignedResource_ServiceResourceId","EarliestStartTime","ServiceResourceSkill_Skill_Language","AppointmentType","WorkType_Name","ActualEndTime","CreatedDate","Id","ServiceTerritoryId_Country","ServiceTerritoryId_State","ServiceTerritoryId_Id","ServiceTerritoryId_OperatingHoursId","SchedStartTime","ParentRecordId_AccountId","AppointmentNumber","WorkTypeId","ServiceResourceSkill_Skill_Description","ServiceResourceSkill_Skill_DeveloperName","StatusCategory","ParentRecordType","ParentRecordId_WorkTypeId","Account_Name","ParentRecordId_CaseId","ServiceTerritoryId_Name","DueDate","ServiceResourceSkill_SkillLevel","DurationType","AssignedResource_User_User_Name","WorkType_Id","LastProcessedDate","ParentRecordId_Id","ParentRecordId_WorkOrderNumber","SchedEndTime","AssignedResource_User_User_SmallPhotoUrl","ActualStartTime","ParentRecordId_Priority","AssignedResource_User_User_Id","ArrivalWindowEndTime","ParentRecordId_Status","AssignedResource_User_User_Username","Duration","ActualDuration","DurationInMinutes"
"001B000001KFsooIAD",,,"0HnB0000000GwLJKA0","0HhB0000000POaCKAW",,,,"Completed","001B000001KFsooIAD","0C5B0000000KzHVKA0","Palo Alto",,,"2020-10-24",,"Video","Safety Training",,"2021-01-08","08pB0000000HxpJIAS",,,"0HhB0000000POaCKAW",,"2020-11-05",,"SA-0001",,,,"Completed","Account",,"Aaron Thompson",,"San Francisco Training Center","2020-10-26",,"Hours","Gillian Yu",,"2021-03-03",,,"2020-11-05",,,,,,,,60,65,60
"001B000001KFtrKIAT","rvivek@example.com","SRS-07","0HnB0000000GwLJKA0","0HhB0000000POaCKAW","Safety Training (In a Center) ",,,"Completed","001B000001KFtrKIAT","0C5B0000000KzHVKA0","Palo Alto",,"0HnB0000000GwLJKA0","2020-10-24","en_US","Video","Troubleshooting Turbines",,"2021-01-08","08pB0000000HxpKIAS",,,"0HhB0000000POaCKAW",,"2020-11-02",,"SA-0002",,"Marketing","COVID_Test_3","Completed","Account",,"Kiara Shah",,"San Francisco Training Center","2020-10-26",,"Hours","Melody Hobson",,"2021-03-03",,,"2020-11-02","https://c.gus.content.force.com/profilephoto/005/T",,,"005B0000006itXpIAI",,,"demo.zxqeyden1m5x.n2d7vmxwbiqa@gs0.org",90,88,90
"001B000001KFtrMIAT","dgurram@example.com","SRS-05","0HnB0000000GwLKKA0","0HhB0000000POaCKAW","Safety Training (In a Center) ",,,"Completed","001B000001KFtrMIAT","0C5B0000000KzHVKA0","Stanford College",,"0HnB0000000GwLKKA0","2020-10-23","en_US","Video","Troubleshooting Turbines",,"2021-01-08","08pB0000000HxpLIAS",,,"0HhB0000000POaCKAW",,"2020-11-03",,"SA-0003",,"Marketing","COVID_Test_3","Completed","Account",,"Sahil Bansod",,"San Francisco Training Center","2020-10-24",,"Hours","Susan Kaplan",,"2021-03-03",,,"2020-11-03","https://c.gus.content.force.com/profilephoto/005/T",,,"005B0000006itXmIAI",,,"susan.mwhxhfdr1vyd.hi9dfyxnbgnz.bt7sto1hdk9u@gs0.org",60,62,60
"001B000001KFsw3IAD","dgurram@example.com","SRS-01","0HnB0000000GwLLKA0","0HhB0000000POaCKAW","Safety Training (In a Center) ",,,"Completed","001B000001KFsw3IAD","0C5B0000000KzHVKA0","Palo Alto",,"0HnB0000000GwLLKA0","2020-10-23","en_US","Video","Troubleshooting Turbines",,"2021-01-08","08pB0000000HxpMIAS",,,"0HhB0000000POaCKAW",,"2020-11-08",,"SA-0004",,"Marketing","COVID_Test_3","Completed","Account",,"Aaliyah Aguilar",,"San Francisco Training Center","2020-10-26",,"Hours","Gillian Yu",,"2021-03-03",,,"2020-11-08","https://c.gus.content.force.com/profilephoto/005/T",,,"005B0000006itXrIAI",,,"gillian.bdyy3x7yojcx.nggowzthpkwl.gaskqorc0pit@gs0.org",90,110,90
"001B000001KFtJZIA1","dgurram@example.com","SRS-01","0HnB0000000GwLLKA0","0HhB0000000POaCKAW","Safety Training (In a Center) ",,,"Cannot Complete","001B000001KFtJZIA1","0C5B0000000KzHVKA0","Stanford College",,"0HnB0000000GwLLKA0","2020-10-24","en_US","Video","Maintenance Training",,"2021-01-08","08pB0000000HxpNIAS",,,"0HhB0000000POaCKAW",,"2020-11-05",,"SA-0005",,"Marketing","COVID_Test_3","CannotComplete","Account",,"Aaron Jason",,"San Francisco Training Center","2020-10-30",,"Hours","Gillian Yu",,"2021-03-03",,,"2020-11-05","https://c.gus.content.force.com/profilephoto/005/T",,,"005B0000006itXrIAI",,,"gillian.bdyy3x7yojcx.nggowzthpkwl.gaskqorc0pit@gs0.org",60,45,60
"001B000001KFszpIAD","dgurram@example.com","SRS-01","0HnB0000000GwLLKA0","0HhB0000000POaCKAW","Safety Training (In a Center) ",,,"Scheduled","001B000001KFszpIAD","0C5B0000000KzHVKA0","Palo Alto",,"0HnB0000000GwLLKA0","2020-10-25","en_US","Video","Troubleshooting Turbines",,"2021-01-08","08pB0000000HxpOIAS",,,"0HhB0000000POaCKAW",,"2020-11-02",,"SA-0006",,"Marketing","COVID_Test_3","Scheduled","Account",,"Sidney Abbott",,"San Francisco Training Center","2020-11-01",,"Hours","Gillian Yu",,"2021-03-03",,,"2020-11-02","https://c.gus.content.force.com/profilephoto/005/T",,,"005B0000006itXrIAI",,,"gillian.bdyy3x7yojcx.nggowzthpkwl.gaskqorc0pit@gs0.org",90,90,90
"001B000001KFtrMIAT","rvivek@example.com","SRS-07","0HnB0000000GwLJKA0","0HhB0000000POaCKAW","Safety Training (In a Center) ",,,"Completed","001B000001KFtrMIAT","0C5B0000000KzHVKA0","Stanford College",,"0HnB0000000GwLJKA0","2020-11-05","en_US","Video","Troubleshooting Turbines","2020-11-05","2021-01-08","08pB0000000HxpPIAS",,,"0HhB0000000POaCKAW",,"2020-11-03",,"SA-0007",,"Marketing","COVID_Test_3","Completed","Account",,"Sahil Bansod",,"San Francisco Training Center","2020-11-05",,"Minutes","Melody Hobson",,"2021-03-03",,,"2020-11-03","https://c.gus.content.force.com/profilephoto/005/T","2020-11-05",,"005B0000006itXpIAI",,,"demo.zxqeyden1m5x.n2d7vmxwbiqa@gs0.org",60,37,30
"001B000001KFtrKIAT","dgurram@example.com","SRS-26","0HnB0000000GwLMKA0","0HhB0000000Gw1jKAC","Safety Training (Virtual)",,"2020-11-02","Completed","001B000001KFtrKIAT","0C5B0000000KzHTKA0","Palo Alto",,"0HnB0000000GwLMKA0","2020-10-31","en_US","Video","Safety Training","2020-11-02","2021-01-08","08pB0000000HxpQIAS",,"CA","0HhB0000000Gw1jKAC","0OHB0000000PPpbOAG","2020-11-08",,"SA-0008","08qB0000000HIG6IAO","Management","COVID_Test_1","Completed","Account",,"Kiara Shah",,"Palo Alto Training Center","2020-11-07",,"Minutes","Suzy Orman","08qB0000000HIG6IAO","2021-03-03",,,"2020-11-08","https://c.gus.content.force.com/profilephoto/729B0000000YonQ/T","2020-11-02",,"005B0000006itXlIAI","2020-11-02",,"suzy.2tvqs8v4z0td.pnhi8k4tthke.emttqxtvdbmv@gs0.org",90,116,120
"001B000001KFtrKIAT","dgurram@example.com","SRS-01","0HnB0000000GwLLKA0","0HhB0000000Gw1jKAC","Safety Training (In a Center) ",,"2020-11-03","Scheduled","001B000001KFtrKIAT","0C5B0000000KzHVKA0","Stanford College",,"0HnB0000000GwLLKA0","2020-11-01","en_US","Video","Safety Training",,"2021-01-08","08pB0000000HxpRIAS",,"CA","0HhB0000000Gw1jKAC","0OHB0000000PPpbOAG","2020-11-03",,"SA-0009","08qB0000000HIG6IAO","Marketing","COVID_Test_3","Scheduled","Account",,"Kiara Shah",,"Palo Alto Training Center","2020-11-08",,"Hours","Gillian Yu","08qB0000000HIG6IAO","2021-03-03",,,"2020-11-03","https://c.gus.content.force.com/profilephoto/005/T",,,"005B0000006itXrIAI","2020-11-03",,"gillian.bdyy3x7yojcx.nggowzthpkwl.gaskqorc0pit@gs0.org",60,60,60
"001B000001KFsofIAD","dgurram@example.com","SRS-26","0HnB0000000GwLMKA0","0HhB0000000Gw1jKAC","Safety Training (Virtual)",,"2020-11-08","Scheduled","001B000001KFsofIAD","0C5B0000000KzHTKA0","Palo Alto",,"0HnB0000000GwLMKA0","2020-11-06","en_US","Video","Troubleshooting Turbines",,"2021-01-08","08pB0000000HxpSIAS",,"CA","0HhB0000000Gw1jKAC","0OHB0000000PPpbOAG","2020-11-08",,"SA-0010","08qB0000000HIG7IAO","Management","COVID_Test_1","Scheduled","Account",,"Aaron Finch",,"Palo Alto Training Center","2020-11-13",,"Hours","Suzy Orman","08qB0000000HIG7IAO","2021-03-03",,,"2020-11-08","https://c.gus.content.force.com/profilephoto/729B0000000YonQ/T",,,"005B0000006itXlIAI","2020-11-08",,"suzy.2tvqs8v4z0td.pnhi8k4tthke.emttqxtvdbmv@gs0.org",90,100,60
"001B000001KFtySIAT","rbassett3@google.com","SRS-1056","0HnB0000000POuXKAW","0HhB0000000POaCKAW","Safety Training (Virtual)",,,"Scheduled","001B000001KFtySIAT","0C5B0000000KzHTKA0","Stanford College",,"0HnB0000000POuXKAW","2021-01-17","en_US","Video","Troubleshooting Turbines",,"2021-01-17","08pB0000000QQvqIAG",,"CA","0HhB0000000POaCKAW","0OHB0000000PPp2OAG",,,"SA-0011","08qB0000000HIG7IAO","Management","COVID_Test_1","Scheduled","Account",,"Linda Johnson",,"San Francisco Training Center","2021-01-24",,"Hours","Bradley Cooper","08qB0000000HIG7IAO","2021-03-03",,,,"https://c.gus.content.force.com/profilephoto/005/T",,,"005B0000006Kn37IAC",,,"rbassett3@google.com",60,61,90
"001B000001KFtJZIA1","rbassett3@google.com","SRS-1056","0HnB0000000POuXKAW",,"Safety Training (Virtual)",,,"Scheduled","001B000001KFtJZIA1","0C5B0000000KzHTKA0","Palo Alto",,"0HnB0000000POuXKAW","2021-01-17","en_US","Video","Safety Training",,"2021-01-17","08pB0000000QQvvIAG",,,,,,,"SA-0012",,"Management","COVID_Test_1","Scheduled","Account",,"Aaron Jason",,"San Francisco Training Center","2021-03-03",,"Hours","Bradley Cooper",,"2021-03-03",,,,"https://c.gus.content.force.com/profilephoto/005/T",,,"005B0000006Kn37IAC",,,"rbassett3@google.com",90,95,60
"001B000001KFtySIAT","urauf@example.com","SRS-1084","0HnB0000000POuzKAG","0HhB0000000POa8KAG","Safety Training (Virtual)",,"2021-01-22","Scheduled","001B000001KFtySIAT","0C5B0000000KzHTKA0","San Francisco",,"0HnB0000000POuzKAG","2021-01-22","en_US","Video","Troubleshooting Turbines",,"2021-01-17","08pB0000000QQw0IAG",,"CA","0HhB0000000POa8KAG","0OHB0000000PPpHOAW","2021-01-22",,"SA-0013","08qB0000000HIG6IAO","Management","COVID_Test_1","Scheduled","Account",,"Linda Johnson",,"Palo Alto Training Center","2021-01-22",,"Hours","Umair Rauf","08qB0000000HIG6IAO","2021-03-03",,,"2021-01-23","https://c.gus.content.force.com/profilephoto/005/T",,,"005B0000006itX1IAI","2021-01-23",,"urauf.yigkpoo3fujl.nqxjaywrw4fa@gs0.org",60,65,90
"001B000001KFtySIAT","aaronfinch@yahoo.com","SRS-1087","0HnB0000000POkQKAW","0HhB0000000POa9KAG","New Product Training (Virtual)",,"2021-01-18","Completed","001B000001KFtySIAT","0C5B0000000KzHTKA0","San Francisco",,"0HnB0000000POkQKAW","2021-01-17","en_US","Video","Troubleshooting Turbines",,"2021-01-17","08pB0000000QQw5IAG",,"CA","0HhB0000000POa9KAG","0OHB0000000PPpMOAW","2021-01-18",,"SA-0014","08qB0000000HIG7IAO","Management","COVID_Test_1","Completed","Account",,"Linda Johnson",,"San Francisco Training Center","2021-01-24",,"Hours","Aaron Finch","08qB0000000HIG7IAO","2021-03-03",,,"2021-01-18","https://c.gus.content.force.com/profilephoto/005/T",,,"005B0000006itXNIAY","2021-01-18",,"afinch.ob9ovtmicvje.jd6enodjkfqc@gs0.org",90,88,60
"001B000001KFtySIAT","aaronfinch@yahoo.com","SRS-1087","0HnB0000000POkQKAW","0HhB0000000POa9KAG","New Product Training (Virtual)",,"2021-01-18","Completed","001B000001KFtySIAT","0C5B0000000KzHTKA0","San Francisco",,"0HnB0000000POkQKAW","2021-01-17","en_US","Video","Troubleshooting Turbines",,"2021-01-17","08pB0000000QQwAIAW",,"CA","0HhB0000000POa9KAG","0OHB0000000PPpMOAW","2021-01-18",,"SA-0015","08qB0000000HIG7IAO","Management","COVID_Test_1","Completed","Account",,"Linda Johnson",,"San Francisco Training Center","2021-01-24",,"Hours","Aaron Finch","08qB0000000HIG7IAO","2021-03-03",,,"2021-01-18","https://c.gus.content.force.com/profilephoto/005/T",,,"005B0000006itXNIAY","2021-01-18",,"afinch.ob9ovtmicvje.jd6enodjkfqc@gs0.org",60,62,90
