"Opportunity.IsWon","Campaign.Status","Parent.IsActive","Campaign.StartDate","Model.IsActive","Parent.Description","Opportunity.StageName","Campaign.UltimateParent.Name","Campaign.UltimateParent.UltimateParentId","Parent.Status","Campaign.IsActive","Contact.AccountId","Model.DeveloperName","Campaign.Description","Campaign.Type","Account.BillingCountry","Campaign.EndDate","Parent.StartDate","Opportunity.AccountId","Campaign.Name","Parent.RecordType.Name","Opportunity.ForecastCategoryName","ContactId","Parent.RecordTypeId","Parent.EndDate","CampaignId","OpportunityId","Parent.Type","ModelId","Opportunity.Name","Campaign.RecordTypeId","Opportunity.CloseDate","Parent.Name","Contact.Name","Campaign.UltimateParent.ParentCampaign.Name","Campaign.UltimateParent.CampaignParents","Model.MasterLabel","Campaign.ParentId","Account.Name","Campaign.RecordType.Name","Model.ModelType","Campaign.BudgetedCost","Parent.NumberOfContacts","Campaign.NumberOfLeads","Parent.NumberSent","Campaign.ActualCost","Campaign.NumberOfResponses","Parent.ExpectedResponse","Campaign.NumberSent","Parent.NumberOfConvertedLeads","Campaign.NumberOfContacts","Influence","Campaign.NumberOfOpportunities","Campaign.ExpectedResponse","Parent.NumberOfOpportunities","Parent.NumberOfResponses","RevenueShare","Parent.ActualCost","Parent.NumberOfLeads","Campaign.NumberOfWonOpportunities","Parent.NumberOfWonOpportunities","Campaign.NumberOfConvertedLeads","Parent.BudgetedCost","Opportunity.Amount"
"false","In Progress","true","2020-04-25","true","Annual plan for all marketing campaigns at the company.","Discovery","Industry Tradeshow","701f40000011dNIAAY","In Progress","true","001f400000Pf9BUAAZ","b2bmaLastTouchModel","Drive awareness and leads at the annual industry tradeshow.","Event","USA","2020-05-25","2020-04-30","001f400000Pf9BUAAZ","Industry Tradeshow","Parent Campaign","Best Case","003f400000OSTrWAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dMzAAI","006f400000CKzmbAAD","Multi-Channel","03Vf4000000XnOsEAK","Associated Supply Co. - New Business - 92K","012f4000001BWl2AAG","2020-07-09","*Annual Marketing Plan","Ed Hennessy","*Annual Marketing Plan","701f40000011dMzAAI","Last Touch Model","701f40000011dNHAAY","Associated Supply Co.","Child Campaign",4,35000,0,47,0,26700,31,0,1000,0,5,16.67,9,5,0,0,15253.05,0,0,3,0,2,0,91500
"false","Planned","true","2020-07-24","true","Annual plan for all marketing campaigns at the company.","Discovery","Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9BUAAZ","b2bmaLastTouchModel","Our annual event to bring our customers together, educate and engage them, and drive additional business.","Event","USA","2020-08-23","2020-04-30","001f400000Pf9BUAAZ","Annual Customer Conference","Parent Campaign","Best Case","003f400000OSTrWAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN3AAI","006f400000CKzmbAAD","Multi-Channel","03Vf4000000XnOsEAK","Associated Supply Co. - New Business - 92K","012f4000001BWl2AAG","2020-07-09","*Annual Marketing Plan","Ed Hennessy","*Annual Marketing Plan","701f40000011dN3AAI","Last Touch Model","701f40000011dNHAAY","Associated Supply Co.","Child Campaign",4,65000,0,22,0,54000,107,0,100000,0,92,16.67,7,0,0,0,15253.05,0,0,3,0,1,0,91500
"false","Completed","true","2020-03-16","true","Annual plan for all marketing campaigns at the company.","Discovery","Telemarketing Campaign","701f40000011dNIAAY","In Progress","true","001f400000Pf9BUAAZ","b2bmaLastTouchModel","Generate opportunities from direct outreach to cold prospects and inactive customers.","Direct Marketing","USA","2020-04-15","2020-04-30","001f400000Pf9BUAAZ","Telemarketing Campaign","Parent Campaign","Best Case","003f400000OSTrWAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN5AAI","006f400000CKzmbAAD","Multi-Channel","03Vf4000000XnOsEAK","Associated Supply Co. - New Business - 92K","012f4000001BWl2AAG","2020-07-09","*Annual Marketing Plan","Ed Hennessy","*Annual Marketing Plan","701f40000011dN5AAI","Last Touch Model","701f40000011dNHAAY","Associated Supply Co.","Child Campaign",4,10700,0,52,0,11630,78,0,0,0,29,16.67,4,0,0,0,15253.05,0,0,2,0,0,0,91500
"false","Planned","true","2020-08-03","true","Annual plan for all marketing campaigns at the company.","Discovery","Regional Field Marketing","701f40000011dNIAAY","In Progress","true","001f400000Pf9BUAAZ","b2bmaLastTouchModel","Focused, regional events for targeted accounts and opportunities. Includes dinners, networking events, golf outings and professional sports games.","Event","USA","2020-09-02","2020-04-30","001f400000Pf9BUAAZ","Regional Field Marketing","Parent Campaign","Best Case","003f400000OSTrWAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN9AAI","006f400000CKzmbAAD","Multi-Channel","03Vf4000000XnOsEAK","Associated Supply Co. - New Business - 92K","012f4000001BWl2AAG","2020-07-09","*Annual Marketing Plan","Ed Hennessy","*Annual Marketing Plan","701f40000011dN9AAI","Last Touch Model","701f40000011dNHAAY","Associated Supply Co.","Child Campaign",4,36000,0,41,0,31400,32,0,0,0,10,16.67,7,0,0,0,15253.05,0,0,1,0,0,0,91500
"false","Completed","true","2020-02-15","true","Annual plan for all marketing campaigns at the company.","Discovery","Best Practices Webinar","701f40000011dNIAAY","In Progress","true","001f400000Pf9BUAAZ","b2bmaLastTouchModel","Webinar to establish ourselves as experts in the field, attract new prospects and more deeply engage customers.","Web Marketing","USA","2020-03-16","2020-04-30","001f400000Pf9BUAAZ","Best Practices Webinar","Parent Campaign","Best Case","003f400000OSTrWAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dNBAAY","006f400000CKzmbAAD","Multi-Channel","03Vf4000000XnOsEAK","Associated Supply Co. - New Business - 92K","012f4000001BWl2AAG","2020-07-09","*Annual Marketing Plan","Ed Hennessy","*Annual Marketing Plan","701f40000011dNBAAY","Last Touch Model","701f40000011dNHAAY","Associated Supply Co.","Child Campaign",4,15000,0,34,0,17850,50,0,50,0,16,16.67,4,0,0,0,15253.05,0,0,2,0,0,0,91500
"false","Completed","true","2020-04-10","true","Annual plan for all marketing campaigns at the company.","Discovery","Invitation to Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9BUAAZ","b2bmaFirstTouchModel","Campaign designed to drive attendance at our Annual Customer Event.","Email","USA","2020-05-10","2020-04-30","001f400000Pf9BUAAZ","Invitation to Annual Customer Conference","Parent Campaign","Best Case","003f400000OSTrWAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN2AAI","006f400000CKzmbAAD","Multi-Channel","03Vf4000000XnOrEAK","Associated Supply Co. - New Business - 92K","012f4000001BWl2AAG","2020-07-09","*Annual Marketing Plan","Ed Hennessy","*Annual Marketing Plan","701f40000011dN2AAI","First Touch Model","701f40000011dNEAAY","Associated Supply Co.","Child Campaign",3,10000,0,95,0,15000,166,0,15000,0,85,16.67,5,5,0,0,15253.05,0,0,0,0,0,0,91500
"false","Planned","true","2020-07-24","true","Annual plan for all marketing campaigns at the company.","Discovery","Annual Customer Conference","701f40000011dNIAAY","In Progress","true","001f400000Pf9BUAAZ","b2bmaFirstTouchModel","Our annual event to bring our customers together, educate and engage them, and drive additional business.","Event","USA","2020-08-23","2020-04-30","001f400000Pf9BUAAZ","Annual Customer Conference","Parent Campaign","Best Case","003f400000OSTrWAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN3AAI","006f400000CKzmbAAD","Multi-Channel","03Vf4000000XnOrEAK","Associated Supply Co. - New Business - 92K","012f4000001BWl2AAG","2020-07-09","*Annual Marketing Plan","Ed Hennessy","*Annual Marketing Plan","701f40000011dN3AAI","First Touch Model","701f40000011dNHAAY","Associated Supply Co.","Child Campaign",3,65000,0,22,0,54000,107,0,100000,0,92,16.67,7,0,0,0,15253.05,0,0,3,0,1,0,91500
"false","Completed","true","2020-03-16","true","Annual plan for all marketing campaigns at the company.","Discovery","Telemarketing Campaign","701f40000011dNIAAY","In Progress","true","001f400000Pf9BUAAZ","b2bmaFirstTouchModel","Generate opportunities from direct outreach to cold prospects and inactive customers.","Direct Marketing","USA","2020-04-15","2020-04-30","001f400000Pf9BUAAZ","Telemarketing Campaign","Parent Campaign","Best Case","003f400000OSTrWAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN5AAI","006f400000CKzmbAAD","Multi-Channel","03Vf4000000XnOrEAK","Associated Supply Co. - New Business - 92K","012f4000001BWl2AAG","2020-07-09","*Annual Marketing Plan","Ed Hennessy","*Annual Marketing Plan","701f40000011dN5AAI","First Touch Model","701f40000011dNHAAY","Associated Supply Co.","Child Campaign",3,10700,0,52,0,11630,78,0,0,0,29,16.67,4,0,0,0,15253.05,0,0,2,0,0,0,91500
"false","Planned","true","2020-08-03","true","Annual plan for all marketing campaigns at the company.","Discovery","Regional Field Marketing","701f40000011dNIAAY","In Progress","true","001f400000Pf9BUAAZ","b2bmaFirstTouchModel","Focused, regional events for targeted accounts and opportunities. Includes dinners, networking events, golf outings and professional sports games.","Event","USA","2020-09-02","2020-04-30","001f400000Pf9BUAAZ","Regional Field Marketing","Parent Campaign","Best Case","003f400000OSTrWAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dN9AAI","006f400000CKzmbAAD","Multi-Channel","03Vf4000000XnOrEAK","Associated Supply Co. - New Business - 92K","012f4000001BWl2AAG","2020-07-09","*Annual Marketing Plan","Ed Hennessy","*Annual Marketing Plan","701f40000011dN9AAI","First Touch Model","701f40000011dNHAAY","Associated Supply Co.","Child Campaign",3,36000,0,41,0,31400,32,0,0,0,10,16.67,7,0,0,0,15253.05,0,0,1,0,0,0,91500
"false","Completed","true","2020-02-15","true","Annual plan for all marketing campaigns at the company.","Discovery","Best Practices Webinar","701f40000011dNIAAY","In Progress","true","001f400000Pf9BUAAZ","b2bmaFirstTouchModel","Webinar to establish ourselves as experts in the field, attract new prospects and more deeply engage customers.","Web Marketing","USA","2020-03-16","2020-04-30","001f400000Pf9BUAAZ","Best Practices Webinar","Parent Campaign","Best Case","003f400000OSTrWAAX","012f4000001BWl3AAG","2020-05-30","701f40000011dNBAAY","006f400000CKzmbAAD","Multi-Channel","03Vf4000000XnOrEAK","Associated Supply Co. - New Business - 92K","012f4000001BWl2AAG","2020-07-09","*Annual Marketing Plan","Ed Hennessy","*Annual Marketing Plan","701f40000011dNBAAY","First Touch Model","701f40000011dNHAAY","Associated Supply Co.","Child Campaign",3,15000,0,34,0,17850,50,0,50,0,16,16.67,4,0,0,0,15253.05,0,0,2,0,0,0,91500
