"Lead.Opportunity.Name","OwnerNextDate","OldValue","OwnerCurrentValue","StatusNextChangeDate","OwnerPreviousChangeDate","Lead.Account.OwnerId","ownerqueue","Owner.Id","Lead.CurrentDate","Lead.IsUnreadByOwner","CreatedById","Lead.StatusSortOrder.ApiName","Lead.CreatedDate","Lead.Status","Owner.Role.Name","Lead.ConvertedContactId","Lead.Opportunity.ForecastCategory","Queue.SobjectType","Lead.Opportunity.Description","Lead.Account.BillingState","Lead.LeadSource","StatusPreviousValue","Lead.IsConverted","Lead.StatusSortOrder.Id","Queue.Id","StatusCurrentValue","Lead.Account.Type","Lead.ConvertedOpportunityId","Lead.Account.LastModifiedDate","Lead.Account.Industry","Lead.ConvertedAccountId","StatusNextDate","Lead.Company","CreatedDate","Lead.Opportunity.StageName","NewValue","Id","Lead.Account.AccountSource","Queue.Queue.Name","Lead.Industry","Owner.Role.Id","OwnerNextChangeDate","Queue.QueueId","Lead.Account.BillingCountry","Lead.Country","Queue.Queue.Type","Lead.Opportunity.OwnerId","StatusPreviousChangeDate","Lead.OwnerId","Lead.Opportunity.LeadSource","Field","Lead.Contact.PhotoUrl","OwnerPreviousValue","Queue.Queue.Id","Lead.Id","DuplicateOwnerRecords","Lead.Opportunity.CreatedDate","Lead.Opportunity.AccountId","Lead.Opportunity.CloseDate","LeadId","Lead.Account.Id","Lead.LastModifiedDate","Lead.ConvertedDate","Owner.Name","Lead.Opportunity.IsWon","Lead.Name","Lead.Opportunity.Id","Lead.Account.CreatedDate","Lead.Rating","Lead.Contact.Name","Lead.Opportunity.IsClosed","Lead.Contact.Id","Lead.Opportunity.ForecastCategoryName","Lead.Opportunity.RecordTypeId","DerivedField","Lead.Account.Name","Lead.Contact.AccountId","StatusDurationInHours","Lead.Account.NumberOfEmployees","Lead.OpportunityAge","Lead.ChangeDurationField","Lead.StatusSortOrder.SortOrder","Lead.LeadAge","Lead.Account.AnnualRevenue","OwnerDurationInHours","Lead.Opportunity.Amount"
,"07/27/2020","Paul Partner","Umair Rauf",,"03/10/2019",,"Owner","005B0000004ie0yIAA","2020-07-27T17:25:13.544Z","false","005B0000004ie0yIAA","Draft","2018-08-24T22:12:40.000Z","Draft","CEO",,,,,,"Partner",,"false","01JB000000AL68WMAT",,,,,,,,,"Wilbur Ellis Co","2019-03-10T00:25:14.000Z",,"Umair Rauf","017B000005MEIclIAH",,,"Electronics","00EB0000000PSKWMA4","03/10/2019",,,"USA",,,,"005B0000004ie0yIAA",,"Owner",,"Paul Partner",,"00QB0000005d55AMAQ","true",,,,"00QB0000005d55AMAQ",,"2019-03-10T15:04:40.000Z",,"Umair Rauf",,"Tiffany Quillen",,,"Warm",,,,,,"Owner",,,,,0,702.8,6,702,,12137,
,"07/27/2020","Sue Marketing","Umair Rauf",,"03/10/2019",,"Owner","005B0000004ie0yIAA","2020-07-27T17:25:13.544Z","true","005B0000004ie0yIAA","Working","2018-08-24T22:12:40.000Z","Working","CEO",,,,,,"Marketing Event",,"false","01JB000000AL5ieMAD",,,,,,,,,"The Robins and Morton Group","2019-03-10T00:24:57.000Z",,"Umair Rauf","017B000005MEIaoIAH",,,"Media","00EB0000000PSKWMA4","03/10/2019",,,"USA",,,,"005B0000004ie0yIAA",,"Owner",,"Sue Marketing",,"00QB0000005d542MAA","true",,,,"00QB0000005d542MAA",,"2019-03-10T00:24:57.000Z",,"Umair Rauf",,"Julia Robins",,,"Hot",,,,,,"Owner",,,,,0,702.8,2,702,,12137,
,"07/27/2020","Kasey Central","Umair Rauf",,"03/10/2019",,"Owner","005B0000004ie0yIAA","2020-07-27T17:25:13.544Z","true","005B0000004ie0yIAA",,"2018-08-24T22:12:40.000Z","Contacted","CEO",,,,,,"Cold Call",,"false",,,,,,,,,,"TMC, Inc.","2019-03-10T00:24:38.000Z",,"Umair Rauf","017B000005MEIYeIAP",,,"Communications","00EB0000000PSKWMA4","03/10/2019",,,"USA",,,,"005B0000004ie0yIAA",,"Owner",,"Kasey Central",,"00QB0000005d53dMAA","true",,,,"00QB0000005d53dMAA",,"2019-03-10T00:24:38.000Z",,"Umair Rauf",,"Keli Chance",,,"Hot",,,,,,"Owner",,,,,0,702.8,,702,,12137,
,"07/27/2020","Cindy Central","Umair Rauf",,"03/10/2019",,"Owner","005B0000004ie0yIAA","2020-07-27T17:25:13.544Z","true","005B0000004ie0yIAA","Unqualified","2018-08-24T22:12:40.000Z","Unqualified","CEO",,,,,,"Website",,"false","01JB000000AL68VMAT",,,,,,,,,"International Shipping Co.","2019-03-10T00:24:25.000Z",,"Umair Rauf","017B000005MEIXBIA5",,,"Electronics","00EB0000000PSKWMA4","03/10/2019",,,"USA",,,,"005B0000004ie0yIAA",,"Owner",,"Cindy Central",,"00QB0000005d54lMAA","true",,,,"00QB0000005d54lMAA",,"2019-03-10T00:24:25.000Z",,"Umair Rauf",,"Gwendolyn Royals",,,"Hot",,,,,,"Owner",,,,,0,702.8,5,702,,12137,
,"07/27/2020","Bill West","Umair Rauf",,"03/10/2019",,"Owner","005B0000004ie0yIAA","2020-07-27T17:25:13.544Z","true","005B0000004ie0yIAA","Working","2018-08-24T22:12:40.000Z","Working","CEO",,,,,,"Social Media",,"false","01JB000000AL5ieMAD",,,,,,,,,"Alabama Brick Delivery Inc","2019-03-10T00:24:11.000Z",,"Umair Rauf","017B000005MEIV6IAP",,,"Healthcare & Life Sciences","00EB0000000PSKWMA4","03/10/2019",,,"USA",,,,"005B0000004ie0yIAA",,"Owner",,"Bill West",,"00QB0000005d54dMAA","true",,,,"00QB0000005d54dMAA",,"2019-03-10T00:24:11.000Z",,"Umair Rauf",,"Jeremy Chew",,,"Cool",,,,,,"Owner",,,,,0,702.8,2,702,,12137,
,"07/27/2020","Jamie Green","Umair Rauf",,"03/10/2019",,"Owner","005B0000004ie0yIAA","2020-07-27T17:25:13.544Z","true","005B0000004ie0yIAA","New","2018-08-24T22:12:40.000Z","New","CEO",,,,,,"Inbound Call",,"false","01JB000000AL5idMAD",,,,,,,,,"Genesis Incorporated","2019-03-10T00:23:59.000Z",,"Umair Rauf","017B000005MEIUKIA5",,,"Other","00EB0000000PSKWMA4","03/10/2019",,,"USA",,,,"005B0000004ie0yIAA",,"Owner",,"Jamie Green",,"00QB0000005d57tMAA","true",,,,"00QB0000005d57tMAA",,"2019-03-10T00:23:59.000Z",,"Umair Rauf",,"Jessica Cullen",,,"Warm",,,,,,"Owner",,,,,0,702.8,1,702,,12137,
,"07/27/2020","Ricky East","Umair Rauf",,"03/10/2019",,"Owner","005B0000004ie0yIAA","2020-07-27T17:25:13.544Z","true","005B0000004ie0yIAA","Working","2018-08-24T22:12:40.000Z","Working","CEO",,,,,,"Social Media",,"false","01JB000000AL5ieMAD",,,,,,,,,"Jtl Group","2019-03-10T00:23:38.000Z",,"Umair Rauf","017B000005MEIS5IAP",,,"Electronics","00EB0000000PSKWMA4","03/10/2019",,,"USA",,,,"005B0000004ie0yIAA",,"Owner",,"Ricky East",,"00QB0000005d54tMAA","true",,,,"00QB0000005d54tMAA",,"2019-03-10T00:23:38.000Z",,"Umair Rauf",,"Adrian Newsom",,,"Warm",,,,,,"Owner",,,,,0,702.8,2,702,,12137,
,"07/27/2020","GeneralQueue","Umair Rauf",,"03/10/2019",,"Owner","005B0000004ie0yIAA","2020-07-27T17:25:13.544Z","true","005B0000004ie0yIAA","New","2018-08-24T22:12:40.000Z","New","CEO",,,,,,"Community",,"false","01JB000000AL5idMAD",,,,,,,,,"Kenworth Sales-Missoula","2019-03-10T00:23:07.000Z",,"Umair Rauf","017B000005MEIF5IAP",,,"Apparel","00EB0000000PSKWMA4","03/10/2019",,,"USA",,,,"005B0000004ie0yIAA",,"Owner",,"GeneralQueue",,"00QB0000005d53ZMAQ","true",,,,"00QB0000005d53ZMAQ",,"2019-03-10T00:23:07.000Z",,"Umair Rauf",,"Adan Horst",,,"Cool",,,,,,"Owner",,,,,0,702.8,1,702,,12137,
,"07/27/2020","GeneralQueue","Umair Rauf",,"03/10/2019",,"Owner","005B0000004ie0yIAA","2020-07-27T17:25:13.544Z","true","005B0000004ie0yIAA","New","2018-08-24T22:12:40.000Z","New","CEO",,,,,,"Cold Call",,"false","01JB000000AL5idMAD",,,,,,,,,"Tamsco Mfg","2019-03-10T00:22:56.000Z",,"Umair Rauf","017B000005MEINDIA5",,,"Insurance","00EB0000000PSKWMA4","03/10/2019",,,"USA",,,,"005B0000004ie0yIAA",,"Owner",,"GeneralQueue",,"00QB0000005d56XMAQ","true",,,,"00QB0000005d56XMAQ",,"2019-03-10T00:22:56.000Z",,"Umair Rauf",,"Aaron Mccleery",,,"Hot",,,,,,"Owner",,,,,0,702.8,1,702,,12137,
,,"N/A",,,"03/11/2019",,"Owner",,"2020-07-27T17:25:13.544Z","false","005B0000005UnooIAC","Working","2019-03-11T14:36:25.000Z","Working",,,,,,,"Referral",,"false","01JB000000AL5ieMAD",,,,,,,,,"Peter Parker","2019-03-11T14:36:25.000Z",,"N/A","017B000005N9kp4IAB",,,"N/A",,,,,"N/A",,,,"005B0000005UnooIAC",,"created",,"created",,"00QB0000006ls9DMAQ","true",,,,"00QB0000006ls9DMAQ",,"2019-03-11T14:36:56.000Z",,,,"Peter Parker",,,"Hot",,,,,,"created",,,,,0,504.12,2,504,,0,
,,"N/A",,,"03/10/2019",,"Owner",,"2020-07-27T17:25:13.544Z","false","005B0000004isBbIAI","New","2019-03-10T05:45:02.000Z","New",,,,,,,"Website",,"false","01JB000000AL5idMAD",,,,,,,,,"Carter Agent","2019-03-10T05:45:02.000Z",,"N/A","017B000005MEuviIAD",,,"N/A",,,,,"United States",,,,"005B0000004isBbIAI",,"created",,"created",,"00QB0000006lnGBMAY","true",,,,"00QB0000006lnGBMAY",,"2019-03-10T05:45:03.000Z",,,,"Carter Agent",,,"Hot",,,,,,"created",,,,,0,505.49,1,505,,0,
,,"N/A",,,"03/10/2019",,"Owner",,"2020-07-27T17:25:13.544Z","false","005B0000004ie0yIAA","Qualified","2019-03-10T00:32:05.000Z","Qualified",,,,,,,"Cold Call",,"false","01JB000000AL5iVMAT",,,,,,,,,"Peter Jackson Inc","2019-03-10T00:32:05.000Z",,"N/A","017B000005MEJGMIA5",,,"N/A",,,,,"N/A",,,,"005B0000004ie0yIAA",,"created",,"created",,"00QB0000006lmcVMAQ","true",,,,"00QB0000006lmcVMAQ",,"2019-03-10T00:32:06.000Z",,,,"Jackson Pipeline",,,"Hot",,,,,,"created",,,,,0,505.7,3,505,,0,
,,"N/A",,,"03/10/2019",,"Owner",,"2020-07-27T17:25:13.544Z","false","005B0000004ie0yIAA","Working","2019-03-10T00:30:51.000Z","Working",,,,,,,"Social Media",,"false","01JB000000AL5ieMAD",,,,,,,,,"Darth Vader","2019-03-10T00:30:51.000Z",,"N/A","017B000005MEJArIAP",,,"N/A",,,,,"United States",,,,"005B0000004ie0yIAA",,"created",,"created",,"00QB0000006lmcLMAQ","true",,,,"00QB0000006lmcLMAQ",,"2019-03-10T15:04:30.000Z",,,,"Darth Vader",,,"Hot",,,,,,"created",,,,,0,505.7,2,505,,0,
,,"Rejected",,"05/02/2019",,,,,"2020-07-27T17:25:13.544Z","true","005B0000004ie0yIAA","Working","2018-08-29T05:55:29.000Z","Working",,,,,,,"Fields Sales","Rejected","false","01JB000000AL5ieMAD",,"Working",,,,,,"07/27/2020","Not Applicable","2019-05-02T13:47:30.000Z",,"Working","017B000005h1wCDIAY",,,"N/A",,,,,"N/A",,,"05/02/2019","005B0000004iDzrIAE",,"Status",,,,"00QB0000005dAskMAE","true",,,,"00QB0000005dAskMAE",,"2020-02-26T19:53:32.000Z",,,,"Diana of ephesians",,,"Hot",,,,,,"Status",,,10852,,0,698.48,2,698,,,
,,"N/A",,,,,,,"2020-07-27T17:25:13.544Z","false","005B0000005UnooIAC","Working","2019-03-11T14:36:25.000Z","Working",,,,,,,"Referral","created","false","01JB000000AL5ieMAD",,,,,,,,,"Peter Parker","2019-03-11T14:36:25.000Z",,"N/A","017B000005N9kp4IAB",,,"N/A",,,,,"N/A",,,"03/11/2019","005B0000005UnooIAC",,"created",,,,"00QB0000006ls9DMAQ","true",,,,"00QB0000006ls9DMAQ",,"2019-03-11T14:36:56.000Z",,,,"Peter Parker",,,"Hot",,,,,,"created",,,0,,0,504.12,2,504,,,
,,"N/A",,,,,,,"2020-07-27T17:25:13.544Z","false","005B0000004isBbIAI","New","2019-03-10T05:45:02.000Z","New",,,,,,,"Website","created","false","01JB000000AL5idMAD",,,,,,,,,"Carter Agent","2019-03-10T05:45:02.000Z",,"N/A","017B000005MEuviIAD",,,"N/A",,,,,"United States",,,"03/10/2019","005B0000004isBbIAI",,"created",,,,"00QB0000006lnGBMAY","true",,,,"00QB0000006lnGBMAY",,"2019-03-10T05:45:03.000Z",,,,"Carter Agent",,,"Hot",,,,,,"created",,,0,,0,505.49,1,505,,,
