"OWNERUNIQUEUSERNAME","OWNERID","PRIMARYCONTACTGENDER","OWNERSTATE","AGEBUCKET","SERVICEMODEL","INVESTMENTOBJECTIVES","CREATEDDATE","OWNERCITY","STATUS","MARKETINGSEGMENT","RELATIONSHIPSTARTDATE","RECORDTYPENAME","OWNERROLENAME","BALANCEBUCKET","BILLINGSTREET","OWNERSMALLPHOTOURL","ID","INVESTMENTEXPERIENCE","BILLINGCITY","ANALYTICSDEMO_BATCH_ID_C","BILLINGSTATE","CLIENTCATEGORYCUSTOM","LastProcessedDate","LASTINTERACTION","NEXTREVIEW","PRIMARYCONTACTEMAIL","OWNERNAME","NAME","BILLINGCOUNTRY","RATING","YEARSSINCECLIENTBUCKET","CUSTOMERSEGMENT","OWNEREMAIL","OWNERSHIP","YEARSTARTED","PRIMARYCONTACTAGE","DAYSSINCELASTINTERACTION","YEARSSINCECLIENT","PRIMARYCONTACTANNUALINCOME"
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","4. 50-69","Tier 2","Growth","2018-11-15","Florida","Active","Affluent Professionals","2011-08-13","Person Account","Manager","1. Less than 50k","5754 Johnson Flat","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000Kcp1JQAR","Moderately Experienced","Wilsonstad","20190823114923194298","CA","2 - Gold","2019-10-07","2018-11-23","2018-11-13","user-0@fsc-demo.com","Chelsea Advisor","Adams Charitable Trust (Sample)","USA","Hot","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Private",1921,67,273,2019,73444
"Mark Garet","0051U000005KhW6QAK","Female","NY","3. 30-49","Tier 1","Income","2018-12-01","New York","Active","Millennials","2019-03-03","Individual","Manager","1. Less than 50k","09840 Jeffrey Locks","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000Kcp1KQAR","Inexperienced","East Monique","20190823114923194298","CA","1 - Platinum","2019-10-07","2019-08-19","2019-03-14","user-1@fsc-demo.com","Mark Garet","Adams Household (Sample)","USA","Hot","6. Greater than 15Y","Mass Affluent","mark.garet@example.com","Private",1918,43,3,2019,202697
"Allen Advisor","0051U000005JQyrQAG","Male","IL","2. 18-29","Tier 2","Aggressive Growth","2018-05-19","Chicago","Active","Mass Market","2013-07-04","Person Account","Manager","1. Less than 50k","620 Brooks Branch","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000Kcp1LQAR","Moderately Experienced","Port Josephport","20190823114923194298","CA","2 - Gold","2019-10-07","2019-02-24","2019-06-06","user-2@fsc-demo.com","Allen Advisor","Neil Symonds (Sample)","USA","Hot","6. Greater than 15Y","Mass Affluent","allen.advisor@example.com","Private",1953,19,180,2018,184737
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","2. 18-29","Tier 1","Aggressive Growth","2019-05-17","Florida","Active","Retired","2011-04-13","Person Account","Manager","2. Between 50k and 250k","962 George Fords","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000Kcp1NQAR","Experienced","Baldwinfort","20190823114923194298","NY","5 - Standard","2019-10-07","2019-08-15","2018-10-29","user-3@fsc-demo.com","Chelsea Advisor","Rachel Adams (Sample)","USA","Hot","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Private",1934,23,7,2013,71676
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","2. 18-29","Tier 3","Income","2019-04-21","Florida","Active","Retired","2019-06-22","Household","Manager","2. Between 50k and 250k","365 John Shore","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000Kcp1MQAR","Inexperienced","South Sherri","20190823114923194298","NY","5 - Standard","2019-10-07","2019-04-27","2018-05-31","user-4@fsc-demo.com","Chelsea Advisor","Nigel Adams (Sample)","USA","Cool","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Public",1914,28,117,2019,189528
"Mark Garet","0051U000005KhW6QAK","Male","NY","3. 30-49","Tier 1","Aggressive Growth","2019-06-03","New York","Active","Mass Market","2012-02-23","Household","Manager","1. Less than 50k","640 Michelle Trafficway","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000Kcp1OQAR","Moderately Experienced","South Joel","20190823114923194298","CA","1 - Platinum","2019-10-07","2019-07-05","2019-08-04","user-5@fsc-demo.com","Mark Garet","Smith, Kohl and Company (Sample)","USA","Hot","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Other",1983,37,48,2015,128730
"Mark Garet","0051U000005KhW6QAK","Female","NY","2. 18-29","Tier 3","Income","2019-07-30","New York","Active","Retired","2016-07-30","Person Account","Manager","1. Less than 50k","394 William Shoal","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000Kcp1PQAR","Moderately Experienced","West Anthony","20190823114923194298","NY","3 - Silver","2019-10-07","2019-07-30","2018-08-06","user-6@fsc-demo.com","Mark Garet","Symonds Household (Sample)","USA","Cool","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Private",1959,20,24,2018,124148
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","3. 30-49","Tier 3","Income","2018-09-27","Florida","Active","Millennials","2019-03-01","Individual","Manager","2. Between 50k and 250k","6763 David Mountains","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000Kss4jQAB","Experienced","South Aaronchester","20190823114923194298","CA","5 - Standard","2019-10-07","2019-03-27","2018-06-27","user-7@fsc-demo.com","Chelsea Advisor","Jinni Boyd","USA","Warm","6. Greater than 15Y","Mass Affluent","ryan.dobson@example.com","Other",1982,33,149,2019,82735
"Brenda Banker","0051U000005L4E9QAK","Female","CA","5. > 69","Tier 3","Growth","2019-06-09","San Francisco","Prospect","Mass Market","2011-07-14","Individual","Manager","2. Between 50k and 250k","5850 Alexandra Locks","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuFXFQA3","Inexperienced","New Michael","20190823114923194298","CA","3 - Silver","2019-10-07","2019-06-26","2018-03-04","user-8@fsc-demo.com","Brenda Banker","Kristen Beasley","USA","Cool","6. Greater than 15Y","Long Term Growth","sunil.dixit@example.com","Private",1890,72,58,2015,55239
"Brenda Banker","0051U000005L4E9QAK","Female","CA","4. 50-69","Tier 2","Aggressive Growth","2018-12-28","San Francisco","Active","Millennials","2011-07-16","Person Account","Manager","1. Less than 50k","185 Wilson Knoll","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T","0011U00000KuWpYQAV","Moderately Inexperienced","West Nathan","20190823114923194298","CA","3 - Silver","2019-10-07","2019-01-18","2018-10-12","user-9@fsc-demo.com","Brenda Banker","Fredericka Mccullough","USA","Hot","6. Greater than 15Y","Mass Affluent","sunil.dixit@example.com","Other",1908,66,216,2014,227492
"Allen Advisor","0051U000005JQyrQAG","Female","IL","3. 30-49","Tier 1","Balanced Growth","2018-07-02","Chicago","Active","Millennials","2011-08-23","Individual","Manager","1. Less than 50k","163 Gonzalez Landing","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXHQA3","Experienced","West Kyle","20190823114923194298","NY","2 - Gold","2019-10-07","2019-06-11","2019-04-19","user-10@fsc-demo.com","Allen Advisor","Hedley Church","USA","Warm","6. Greater than 15Y","Long Term Growth","allen.advisor@example.com","Private",1975,31,72,2016,100017
"Mark Garet","0051U000005KhW6QAK","Male","NY","5. > 69","Tier 3","Growth","2018-06-26","New York","Active","Mass Market","2018-01-11","Person Account","Manager","1. Less than 50k","70290 Jonathan Forge","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T","0011U00000KuFXIQA3","Experienced","Laurenfurt","20190823114923194298","CA","2 - Gold","2019-10-07","2018-12-19","2019-01-22","user-11@fsc-demo.com","Mark Garet","Wallace Summers","USA","Warm","6. Greater than 15Y","Long Term Growth","mark.garet@example.com","Other",1951,71,246,2019,142512
"Chelsea Advisor","0051U000005L6eJQAS","Female","FL","4. 50-69","Tier 2","Growth","2018-10-16","Florida","Onboarding","Mass Market","2018-08-14","Household","Manager","2. Between 50k and 250k","989 Eric Junctions","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFXJQA3","Moderately Experienced","Robertschester","20190823114923194298","CA","3 - Silver","2019-10-07","2018-12-10","2019-06-16","user-12@fsc-demo.com","Chelsea Advisor","Zane Cervantes","USA","Hot","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Other",1916,54,256,2019,211329
"Allen Advisor","0051U000005JQyrQAG","Female","IL","4. 50-69","Tier 2","Aggressive Growth","2019-03-29","Chicago","Active","High Net Worth Families","2011-10-02","Individual","Manager","1. Less than 50k","4641 Jennifer Lodge","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T","0011U00000KuFXKQA3","Moderately Experienced","North Danielle","20190823114923194298","NY","3 - Silver","2019-10-07","2019-08-15","2018-06-10","user-13@fsc-demo.com","Allen Advisor","Carissa Mckee","USA","Warm","6. Greater than 15Y","Mass Affluent","allen.advisor@example.com","Private",1951,58,8,2018,235060
"Chelsea Advisor","0051U000005L6eJQAS","Male","FL","3. 30-49","Tier 2","Balanced Growth","2018-06-10","Florida","Active","Retired","2014-04-05","Person Account","Manager","1. Less than 50k","178 Julie Point","https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T","0011U00000KuFXLQA3","Moderately Inexperienced","North Jamie","20190823114923194298","CA","2 - Gold","2019-10-07","2018-07-16","2018-05-14","user-14@fsc-demo.com","Chelsea Advisor","Akeem Head","USA","Warm","6. Greater than 15Y","Long Term Growth","ryan.dobson@example.com","Private",1907,49,402,2017,139254
