"ANALYTICSDEMO_BATCH_ID_C","OWNERID","LEADOWNERCITY","LEADOWNERSTATE","OWNERSTATE","ACTIVITYDATE","LEADOWNERNAME","LastProcessedDate","TOUCHES","LEADID","OWNERNAME","OWNERCITY","LEADCREATEDDATE","LEADOWNERID"
"20190805154445200000","0051U000005L6eJQAS","Chicago","IL","FL","2019-06-03","Allen Advisor","2019-08-05","3","W_Lead.1","Chelsea Advisor","Florida","2019-04-21","0051U000005JQyrQAG"
"20190805154445200000","0051U000005L4E9QAK","New York","NY","CA","2019-08-04","Mark Garet","2019-08-05","8","W_Lead.2","Brenda Banker","San Francisco","2019-07-27","0051U000005KhW6QAK"
"20190805154445200000","0051U000005KhW6QAK","San Francisco","CA","NY","2019-07-21","Brenda Banker","2019-08-05","7","W_Lead.3","Mark Garet","New York","2019-07-15","0051U000005L4E9QAK"
"20190805154445200000","0051U000005KhW6QAK","Chicago","IL","NY","2019-07-24","Allen Advisor","2019-08-05","8","W_Lead.4","Mark Garet","New York","2019-07-22","0051U000005JQyrQAG"
"20190805154445200000","0051U000005KhW6QAK","Chicago","IL","NY","2019-08-04","Allen Advisor","2019-08-05","7","W_Lead.5","Mark Garet","New York","2019-07-27","0051U000005JQyrQAG"
"20190805154445200000","0051U000005JQyrQAG","Chicago","IL","IL","2019-07-25","Allen Advisor","2019-08-05","5","W_Lead.6","Allen Advisor","Chicago","2019-07-12","0051U000005JQyrQAG"
"20190805154445200000","0051U000005L4E9QAK","San Francisco","CA","CA","2019-08-04","Brenda Banker","2019-08-05","5","W_Lead.7","Brenda Banker","San Francisco","2019-07-11","0051U000005L4E9QAK"
"20190805154445200000","0051U000005JQyrQAG","Chicago","IL","IL","2019-07-25","Allen Advisor","2019-08-05","4","W_Lead.8","Allen Advisor","Chicago","2019-07-18","0051U000005JQyrQAG"
"20190805154445200000","0051U000005KhW6QAK","San Francisco","CA","NY","2019-07-28","Brenda Banker","2019-08-05","9","W_Lead.9","Mark Garet","New York","2019-07-22","0051U000005L4E9QAK"
"20190805154445200000","0051U000005KhW6QAK","Chicago","IL","NY","2019-08-01","Allen Advisor","2019-08-05","3","W_Lead.10","Mark Garet","New York","2019-07-10","0051U000005JQyrQAG"
"20190805154445200000","0051U000005L4E9QAK","Chicago","IL","CA","2019-07-30","Allen Advisor","2019-08-05","9","W_Lead.11","Brenda Banker","San Francisco","2019-07-19","0051U000005JQyrQAG"
"20190805154445200000","0051U000005KhW6QAK","New York","NY","NY","2019-07-20","Mark Garet","2019-08-05","7","W_Lead.12","Mark Garet","New York","2019-07-20","0051U000005KhW6QAK"
"20190805154445200000","0051U000005L6eJQAS","Florida","FL","FL","2019-07-12","Chelsea Advisor","2019-08-05","9","W_Lead.13","Chelsea Advisor","Florida","2019-04-30","0051U000005L6eJQAS"
"20190805154445200000","0051U000005KhW6QAK","Chicago","IL","NY","2019-08-05","Allen Advisor","2019-08-05","8","W_Lead.14","Mark Garet","New York","2019-08-05","0051U000005JQyrQAG"
"20190805154445200000","0051U000005L6eJQAS","Chicago","IL","FL","2019-07-19","Allen Advisor","2019-08-05","6","W_Lead.15","Chelsea Advisor","Florida","2019-07-15","0051U000005JQyrQAG"
"20190805154445200000","0051U000005L6eJQAS","San Francisco","CA","FL","2019-07-27","Brenda Banker","2019-08-05","4","W_Lead.16","Chelsea Advisor","Florida","2019-07-21","0051U000005L4E9QAK"
"20190805154445200000","0051U000005L6eJQAS","New York","NY","FL","2019-07-21","Mark Garet","2019-08-05","9","W_Lead.17","Chelsea Advisor","Florida","2019-07-17","0051U000005KhW6QAK"
"20190805154445200000","0051U000005KhW6QAK","Chicago","IL","NY","2019-07-21","Allen Advisor","2019-08-05","3","W_Lead.18","Mark Garet","New York","2019-07-13","0051U000005JQyrQAG"
"20190805154445200000","0051U000005L4E9QAK","Chicago","IL","CA","2019-07-27","Allen Advisor","2019-08-05","9","W_Lead.19","Brenda Banker","San Francisco","2019-07-17","0051U000005JQyrQAG"
"20190805154445200000","0051U000005KhW6QAK","New York","NY","NY","2019-07-30","Mark Garet","2019-08-05","3","W_Lead.20","Mark Garet","New York","2019-07-27","0051U000005KhW6QAK"
"20190805154445200000","0051U000005JQyrQAG","New York","NY","IL","2019-07-02","Mark Garet","2019-08-05","4","W_Lead.21","Allen Advisor","Chicago","2019-05-26","0051U000005KhW6QAK"
"20190805154445200000","0051U000005L6eJQAS","San Francisco","CA","FL","2019-07-29","Brenda Banker","2019-08-05","8","W_Lead.22","Chelsea Advisor","Florida","2019-07-23","0051U000005L4E9QAK"
"20190805154445200000","0051U000005L6eJQAS","Chicago","IL","FL","2019-08-03","Allen Advisor","2019-08-05","8","W_Lead.23","Chelsea Advisor","Florida","2019-07-18","0051U000005JQyrQAG"
"20190805154445200000","0051U000005L4E9QAK","Florida","FL","CA","2019-07-31","Chelsea Advisor","2019-08-05","6","W_Lead.24","Brenda Banker","San Francisco","2019-07-20","0051U000005L6eJQAS"
"20190805154445200000","0051U000005JQyrQAG","New York","NY","IL","2019-06-13","Mark Garet","2019-08-05","9","W_Lead.25","Allen Advisor","Chicago","2019-06-12","0051U000005KhW6QAK"
"20190805154445200000","0051U000005L4E9QAK","New York","NY","CA","2019-08-01","Mark Garet","2019-08-05","3","W_Lead.26","Brenda Banker","San Francisco","2019-07-12","0051U000005KhW6QAK"
"20190805154445200000","0051U000005L6eJQAS","New York","NY","FL","2019-07-22","Mark Garet","2019-08-05","8","W_Lead.27","Chelsea Advisor","Florida","2019-07-18","0051U000005KhW6QAK"
