"ANALYTICSDEMO_BATCH_ID_C","TRANSACTIONSTATUS","OWNERUNIQUEUSERNAME","ACCOUNTINVESTMENTOBJECTIVES","ACCOUNTNAME","ACCOUNTCLIENTCATEGORYCUSTOM","LastProcessedDate","TRANSACTIONDATE","ACCOUNTMARKETINGSEGMENT","ACCOUNTSERVICEMODEL","HELDAWAY","FINANCIALACCOUNTID","OWNERNAME","ACCOUNTBALANCEBUCKET","FINANCIALACCOUNTTYPE","ACCOUNTPRIMARYCONTACTGENDER","TRANSACTIONTYPE","ACCOUNTBILLINGSTATE","ACCOUNTID","ID","ACCOUNTYEARSSINCECLIENTBUCKET","ACCOUNTLASTINTERACTION","ACCOUNTAGEBUCKET","AMOUNT"
"20190823181914853028","A","","Balanced Growth","Raven Clark","2 - Gold","2019-10-07","2018-03-31","Millennials","Tier 2",False,"FinAcct.0011U00000KuFnJQAV-2016","Chelsea Advisor","2. Between 50k and 250k","Mutual Fund","Female","Credit","IL","0011U00000KuFnJQAV","Trx.FinAcct.0011U00000KuFnJQAV-2016-2","6. Greater than 15Y","2019-02-26","4. 50-69",500
"20190823181914853028","B","","Balanced Growth","Raven Clark","2 - Gold","2019-10-07","2018-05-15","Millennials","Tier 2",False,"FinAcct.0011U00000KuFnJQAV-2016","Chelsea Advisor","2. Between 50k and 250k","Mutual Fund","Female","Credit","IL","0011U00000KuFnJQAV","Trx.FinAcct.0011U00000KuFnJQAV-2016-5","6. Greater than 15Y","2019-02-26","4. 50-69",500
"20190823181914853028","A","","Balanced Growth","Raven Clark","2 - Gold","2019-10-07","2018-05-30","Millennials","Tier 2",False,"FinAcct.0011U00000KuFnJQAV-2016","Chelsea Advisor","2. Between 50k and 250k","Mutual Fund","Female","Credit","IL","0011U00000KuFnJQAV","Trx.FinAcct.0011U00000KuFnJQAV-2016-6","6. Greater than 15Y","2019-02-26","4. 50-69",100
"20190823181914853028","A","","Balanced Growth","Raven Clark","2 - Gold","2019-10-07","2018-07-14","Millennials","Tier 2",False,"FinAcct.0011U00000KuFnJQAV-2016","Chelsea Advisor","2. Between 50k and 250k","Mutual Fund","Female","Credit","IL","0011U00000KuFnJQAV","Trx.FinAcct.0011U00000KuFnJQAV-2016-9","6. Greater than 15Y","2019-02-26","4. 50-69",500
"20190823181914853028","A","","Balanced Growth","Raven Clark","2 - Gold","2019-10-07","2018-08-13","Millennials","Tier 2",False,"FinAcct.0011U00000KuFnJQAV-2016","Chelsea Advisor","2. Between 50k and 250k","Mutual Fund","Female","Debit","IL","0011U00000KuFnJQAV","Trx.FinAcct.0011U00000KuFnJQAV-2016-11","6. Greater than 15Y","2019-02-26","4. 50-69",800
"20190823181914853028","A","","Balanced Growth","Raven Clark","2 - Gold","2019-10-07","2018-11-11","Millennials","Tier 2",False,"FinAcct.0011U00000KuFnJQAV-2016","Chelsea Advisor","2. Between 50k and 250k","Mutual Fund","Female","Debit","IL","0011U00000KuFnJQAV","Trx.FinAcct.0011U00000KuFnJQAV-2016-17","6. Greater than 15Y","2019-02-26","4. 50-69",800
"20190823181914853028","B","","Balanced Growth","Raven Clark","2 - Gold","2019-10-07","2018-11-26","Millennials","Tier 2",False,"FinAcct.0011U00000KuFnJQAV-2016","Chelsea Advisor","2. Between 50k and 250k","Mutual Fund","Female","Credit","IL","0011U00000KuFnJQAV","Trx.FinAcct.0011U00000KuFnJQAV-2016-18","6. Greater than 15Y","2019-02-26","4. 50-69",500
"20190823181914853028","B","","Balanced Growth","Raven Clark","2 - Gold","2019-10-07","2018-12-11","Millennials","Tier 2",False,"FinAcct.0011U00000KuFnJQAV-2016","Chelsea Advisor","2. Between 50k and 250k","Mutual Fund","Female","Debit","IL","0011U00000KuFnJQAV","Trx.FinAcct.0011U00000KuFnJQAV-2016-19","6. Greater than 15Y","2019-02-26","4. 50-69",500
"20190823181914853028","B","","Balanced Growth","Raven Clark","2 - Gold","2019-10-07","2019-01-25","Millennials","Tier 2",False,"FinAcct.0011U00000KuFnJQAV-2016","Chelsea Advisor","2. Between 50k and 250k","Mutual Fund","Female","Credit","IL","0011U00000KuFnJQAV","Trx.FinAcct.0011U00000KuFnJQAV-2016-22","6. Greater than 15Y","2019-02-26","4. 50-69",500
"20190823181914853028","B","","Balanced Growth","Raven Clark","2 - Gold","2019-10-07","2019-02-24","Millennials","Tier 2",False,"FinAcct.0011U00000KuFnJQAV-2016","Chelsea Advisor","2. Between 50k and 250k","Mutual Fund","Female","Debit","IL","0011U00000KuFnJQAV","Trx.FinAcct.0011U00000KuFnJQAV-2016-24","6. Greater than 15Y","2019-02-26","4. 50-69",800
