"LastModifiedDate","VisitorId","PlannedVisitEndTime","Visitor_Role.DeveloperName","RetailStore_RetailStoreGroup_Description","RetailStore_DeliveryMethod","RetailStore_Priority","Visitor_Role.RolePath","Name","RetailStore_RetailStoreGroupName_Custom","Visitor_UniqueUserName","CreatedById","Visitor_FullPhotoUrl","Visitor_Role.Roles","RetailStore_AccountId","Visitor_UserType","StatusRemarks","Visitor_Username","Status","ActualVisitEndTime","PlaceId","IsDeleted","ActualVisitStartTime","RetailStore_RetailStoreGroup_Name","RetailStore_Location_Address_City","ActualVisitStartTime_YearMonthDay","RetailStore_Account_Industry","RetailStore_PrimaryContact_Name","PlannedVisitStartTime","RetailStore_Account_Type","Visitor_SmallPhotoUrl","CreatedDate","Id","RetailStore_Id","RetailStore_RetailLocationGroupId","RetailStore_Account_AccountSource","RetailStore_Location_Address_Name","InstructionDescription","RetailStore_Account_Parent_Account_Names","RetailStore_Location_Address_PostalCode","VisitPriority","Visitor_Name","RetailStore_Name","OwnerId","RetailStore_Location_Name","Visitor_Role.ParentRoleId","RetailStore_Location_Address_Country","RetailStore_PrimaryContact_MobilePhone","RetailStore_PrimaryContact_Phone","RetailStore_StoreType","RetailStore_PrimaryContactId","RetailStore_Account_Name","RetailStore_Location_Address_State","RetailStore_PrimaryContact_Email","RetailStore_PrimaryContact_Department","RetailStore_Account_Phone","RetailStore_Description","SystemModstamp","Visitor_Role.Name","RetailStore_PrimaryContact_Description","LastModifiedById","RetailStore_Account_Parent_Account_NamesPath","ActualVisitDuration","RetailStore_DeliveryFrequency","RetailStore_Location_LocationLevel","RetailStore_Account_AnnualRevenue","PlannedVisitDuration"
"2019-12-25T08:17:55.000Z","005B0000006PwWHIA0","2019-05-07T02:33:32.000Z",,"Description of Dmart Location Group 3","Van","Low",,"00000001","Northeast","Chantelle Rep","005B0000006NoPnIAK","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bnzz/F",,"001B000001AQUOwIAP","Standard",,"chantellerep@salesforce.com","Completed","2019-05-07T02:33:32.000Z","0YQB0000000L0BvOAK","false","2019-05-07T02:09:32.000Z","Northeast","New Orleans","2019-05-07","Manufacturing","Bette Nicka","2019-05-07T02:09:32.000Z",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bnzz/T","2019-12-25T07:09:04.000Z","0Z5B0000000L1qtKAC","0YQB0000000L0BvOAK","0Y2B0000000L08uKAC",,"A00000001","Please complete the visit and collect all the KPIs","NTO Account","70116","High","Chantelle Rep","Fare Merchants - Brooklyn","005B0000006NoPnIAK","Dmart Location 1",,"Orleans",,"610-545-3615","Regular","003B000000H1QcZIAV","NTO Account","LA","bette_nicka@cox.net",,,,"2020-04-14T22:10:26.000Z",,,"005B0000006NoPnIAK","NTO Account",24,5,1,,24
"2019-12-25T08:17:56.000Z","005B0000006PwWIIA0","2019-11-06T04:57:10.000Z",,"Description of Dmart Location Group 2","Truck","High",,"00000002","Midwest","Wendy West","005B0000006NoPnIAK","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0i/F",,"001B000001AQUOwIAP","Standard",,"wendywest@salesforce.com","Completed","2019-11-06T04:57:10.000Z","0YQB0000000L0BwOAK","false","2019-11-06T04:13:07.000Z","Midwest","Sioux Falls","2019-11-06","Manufacturing","Mattie Poquette","2019-11-06T04:13:07.000Z",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0i/T","2019-12-25T07:09:04.000Z","0Z5B0000000L1quKAC","0YQB0000000L0BwOAK","0Y2B0000000L08tKAC",,"A00000009","Please complete the visit and collect all the KPIs","NTO Account","57105","Medium","Wendy West","Fare Merchants - Gold Coast","005B0000006NoPnIAK","Dmart Location 2",,"Minnehaha",,"602-277-4385","Regular","003B000000H1QcUIAV","NTO Account","SD","mattie@aol.com",,,,"2020-04-14T22:10:26.000Z",,,"005B0000006NoPnIAK","NTO Account",44,2,1,,44
"2019-12-25T08:17:56.000Z","005B0000006PwWJIA0","2020-04-11T16:24:19.000Z",,"Description of Dmart Location Group 5","Truck","Medium",,"00000003","West","Vince West","005B0000006NoPnIAK","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0Y/F",,"001B000001AQUOxIAP","Standard",,"vincewest@salesforce.com","Completed","2020-04-11T16:24:19.000Z","0YQB0000000L0BxOAK","false","2020-04-11T15:24:55.000Z","West","Baltimore","2020-04-11","Food & Beverage","Cammy Albares","2020-04-11T15:24:55.000Z",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0Y/T","2019-12-25T07:09:04.000Z","0Z5B0000000L1qvKAC","0YQB0000000L0BxOAK","0Y2B0000000L08wKAC",,"A00000010","Please complete the visit and collect all the KPIs","Alpine Nutrition Account","21224","Low","Vince West","NTO Store - Berkeley","005B0000006NoPnIAK","Dmart Location 3",,"Baltimore City",,"956-537-6195","Regular","003B000000H1QcTIAV","Rondel Account","MD","calbares@gmail.com",,,,"2020-04-14T22:10:26.000Z",,,"005B0000006NoPnIAK","Nutrition Stop Account/Alpine Nutrition Account/NTO Account",59,10,1,,59
"2019-12-25T08:17:56.000Z","005B0000006PwWKIA0","2019-10-05T22:04:46.000Z",,"Description of Dmart Location Group 1","Van","Low",,"00000004","Bay Area","Cindy Central","005B0000006NoPnIAK","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo04/F",,"001B000001AR2BGIA1","Standard",,"cindycentral@salesforce.com","Completed","2019-10-05T22:04:46.000Z","0YQB0000000L0ByOAK","false","2019-10-05T21:33:32.000Z","Bay Area","Kulpsville","2019-10-05",,"Yuki Whobrey","2019-10-05T21:33:32.000Z",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo04/T","2019-12-25T07:09:04.000Z","0Z5B0000000L1qwKAC","0YQB0000000L0ByOAK","0Y2B0000000L08sKAC",,"A00000011","Please complete the visit and collect all the KPIs",,"19443","High","Cindy Central","NTO Store - Presidio","005B0000006NoPnIAK","Dmart Location 4",,"Montgomery",,"313-288-7937","Regular","003B000000H1QcXIAV","Gabe Hotkins","PA","yuki_whobrey@aol.com",,,,"2020-04-14T22:10:26.000Z",,,"005B0000006NoPnIAK",,31,3,1,,31
"2019-12-25T08:17:56.000Z","005B0000006PwWLIA0","2019-08-24T23:07:51.000Z",,"Description of Dmart Location Group 4","Van","Low",,"00000005","South","Vanessa Central","005B0000006NoPnIAK","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0T/F",,"001B000001AQUOyIAP","Standard",,"vanessacentral@salesforce.com","Completed","2019-08-24T23:07:51.000Z","0YQB0000000L0BzOAK","false","2019-08-24T22:51:53.000Z","South","Middle Island","2019-08-24","Transportation","Leota Dilliard","2019-08-24T22:51:53.000Z",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0T/T","2019-12-25T07:09:04.000Z","0Z5B0000000L1qxKAC","0YQB0000000L0BzOAK","0Y2B0000000L08vKAC",,"A00000012","Please complete the visit and collect all the KPIs","Alpine Nutrition Account","11953","Medium","Vanessa Central","Nutrition Stop - Gainesville","005B0000006NoPnIAK","Dmart Location 5",,"Suffolk",,"408-752-3500","Regular","003B000000H1QcMIAV","Alpine Nutrition Account","NY","leota@hotmail.com",,,,"2020-04-14T22:10:30.000Z",,,"005B0000006NoPnIAK","Alpine Nutrition Account/NTO Account",15,7,1,,15
"2019-12-25T08:17:55.000Z","005B0000006PwWMIA0","2018-07-18T23:09:15.000Z",,"Description of Dmart Location Group 3","Van","High",,"00000006","Northeast","Kasey Central","005B0000006NoPnIAK","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0E/F",,"001B000001AQUOwIAP","Standard",,"kaseycentral@salesforce.com","Completed","2018-07-18T23:09:15.000Z","0YQB0000000L0C0OAK","false","2018-07-18T22:31:37.000Z","Northeast","Los Angeles","2018-07-18","Manufacturing","James Butt","2018-07-18T22:31:37.000Z",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0E/T","2019-12-25T07:09:04.000Z","0Z5B0000000L1qyKAC","0YQB0000000L0C0OAK","0Y2B0000000L08uKAC",,"A00000013","Please complete the visit and collect all the KPIs","NTO Account","90034","Low","Kasey Central","Rondel Store - San Francisco Central","005B0000006NoPnIAK","Dmart Location 6",,"Los Angeles",,"504-621-8927","Regular","003B000000H1QcFIAV","NTO Account","CA","jbutt@gmail.com",,,,"2020-04-14T22:10:30.000Z",,,"005B0000006NoPnIAK","NTO Account",37,1,1,,37
"2019-12-25T08:17:55.000Z","005B0000006PwWNIA0","2019-10-14T01:11:25.000Z",,"Description of Dmart Location Group 2","Van","Medium",,"00000007","Midwest","Valerie East","005B0000006NoPnIAK","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0O/F",,"001B000001AQUOxIAP","Standard",,"valerieeast@salesforce.com","Completed","2019-10-14T01:11:25.000Z","0YQB0000000L0C1OAK","false","2019-10-14T00:10:20.000Z","Midwest","Chagrin Falls","2019-10-14","Food & Beverage","Fletcher Flosi","2019-10-14T00:10:20.000Z",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0O/T","2019-12-25T07:09:04.000Z","0Z5B0000000L1qzKAC","0YQB0000000L0C1OAK","0Y2B0000000L08tKAC",,"A00000014","Please complete the visit and collect all the KPIs","Alpine Nutrition Account","44023","High","Valerie East","Rondel Store - Austin East","005B0000006NoPnIAK","Dmart Location 7",,"Geauga",,"815-828-2147","Regular","003B000000H1QcYIAV","Rondel Account","OH","fletcher.flosi@yahoo.com",,,,"2020-04-14T22:10:30.000Z",,,"005B0000006NoPnIAK","Nutrition Stop Account/Alpine Nutrition Account/NTO Account",61,3,1,,61
"2019-12-25T08:17:55.000Z","005B0000006PwWOIA0","2019-07-31T11:42:08.000Z",,"Description of Dmart Location Group 5","Van","Low",,"00000008","West","Ricky East","005B0000006NoPnIAK","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0J/F",,"001B000001AQUOxIAP","Standard",,"rickyeast@salesforce.com","Completed","2019-07-31T11:42:08.000Z","0YQB0000000L0C2OAK","false","2019-07-31T11:18:41.000Z","West","Laredo","2019-07-31","Food & Beverage","Alisha Slusarski","2019-07-31T11:18:41.000Z",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo0J/T","2019-12-25T07:09:04.000Z","0Z5B0000000L1r0KAC","0YQB0000000L0C2OAK","0Y2B0000000L08wKAC",,"A00000015","Please complete the visit and collect all the KPIs","Alpine Nutrition Account","78045","Medium","Ricky East","Rondel Store - Chicago Streeterville","005B0000006NoPnIAK","Dmart Location 8",,"Webb",,"732-658-3154","Regular","003B000000H1QcdIAF","Rondel Account","TX","alisha@slusarski.com",,,,"2020-04-14T22:10:30.000Z",,,"005B0000006NoPnIAK","Nutrition Stop Account/Alpine Nutrition Account/NTO Account",23,5,1,,23
"2019-12-25T08:17:55.000Z","005B0000006PwWYIA0","2019-03-20T15:13:13.000Z","SalesRep","Description of Dmart Location Group 1","Van","Low","00EB0000000fdvVMAQ","00000009","Bay Area","Bill East","005B0000006NoPnIAK","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bnzu/F","00EB0000000fdvVMAQ","001B000001AQUOuIAP","Standard",,"billeast@salesforce.com","Completed","2019-03-20T15:13:13.000Z","0YQB0000000L0C3OAK","false","2019-03-20T14:55:31.000Z","Bay Area","Phoenix","2019-03-20","Construction","Maryann Royster","2019-03-20T14:55:31.000Z",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bnzu/T","2019-12-25T07:09:04.000Z","0Z5B0000000L1r1KAC","0YQB0000000L0C3OAK","0Y2B0000000L08sKAC",,"A00000016","Please complete the visit and collect all the KPIs","Alpine Nutrition Account","85013","Low","Bill East","Rondel Store - Chicago South Loop","005B0000006NoPnIAK","Dmart Location 9","00EB0000000fdvVMAQ","Maricopa",,"518-966-7987","Regular","003B000000H1QccIAF","Nutrition Stop Account","AZ","mroyster@royster.com",,,,"2020-04-14T22:10:30.000Z","SalesRep",,"005B0000006NoPnIAK","Nutrition Stop Account/Alpine Nutrition Account/NTO Account",17,5,1,,17
"2019-12-25T08:17:55.000Z","005B0000006PwWZIA0","2019-05-05T19:26:19.000Z","SalesRep","Description of Dmart Location Group 4","Truck","High","00EB0000000fdvVMAQ","00000010","South","Ely West","005B0000006NoPnIAK","https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo09/F","00EB0000000fdvVMAQ","001B000001AQUOuIAP","Standard",,"elywest@salesforce.com","Completed","2019-05-05T19:26:19.000Z","0YQB0000000L0C4OAK","false","2019-05-05T18:20:15.000Z","South","Mc Minnville","2019-05-05","Construction","Graciela Ruta","2019-05-05T18:20:15.000Z",,"https://divyasharma--c.documentforce.com/profilephoto/729B0000000Bo09/T","2019-12-25T07:09:04.000Z","0Z5B0000000L1r2KAC","0YQB0000000L0C4OAK","0Y2B0000000L08vKAC",,"A00000017","Please complete the visit and collect all the KPIs","Alpine Nutrition Account","37110","High","Ely West","Rondel Store - Evanston","005B0000006NoPnIAK","Dmart Location 10","00EB0000000fdvVMAQ","Warren",,"440-780-8425","Regular","003B000000H1QcSIAV","Nutrition Stop Account","TN","gruta@cox.net",,,,"2020-04-14T22:10:30.000Z","SalesRep",,"005B0000006NoPnIAK","Nutrition Stop Account/Alpine Nutrition Account/NTO Account",66,2,1,,66
