UserRole.Name,External_Id__c,FirstName,LastName,Alias,Email,TimeZoneSidKey,Profile.Name,LocaleSidKey,LanguageLocaleKey,EmailEncodingKey,UserPermissionsSFContentUser,Username,IsActive
West Sales,W_Sales_User.3,Kylie,Obrien,kobrien,kobrien@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,kobrien@ea.scratch.{TIMESTAMP},false
West Sales,W_Sales_User.4,Lisa,Baker,lbaker,lbaker@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,lbaker@ea.scratch.{TIMESTAMP},false
West Sales,W_Sales_User.1,Amanda,Miller,amiller,amiller@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,amiller@ea.scratch.{TIMESTAMP},false
West Sales,W_Sales_User.6,Melissa,Preston,mpreston,mpreston@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,mpreston@ea.scratch.{TIMESTAMP},false
East Sales,W_Sales_User.15,Randy,Larson,rlarson,rlarson@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,rlarson@ea.scratch.{TIMESTAMP},false
Central Sales,W_Sales_User.9,Deanna,Dunlap,ddunlap,ddunlap@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,ddunlap@ea.scratch.{TIMESTAMP},false
East Sales,W_Sales_User.14,Brian,Joseph,bjoseph,bjoseph@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,bjoseph@ea.scratch.{TIMESTAMP},false
East Sales,W_Sales_User.13,James,Mckenzie,jmckenzi,jmckenzi@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,jmckenzi@ea.scratch.{TIMESTAMP},false
East Sales,W_Sales_User.12,Melissa,Williams,mwilliam,mwilliam@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,mwilliam@ea.scratch.{TIMESTAMP},false
East Sales,W_Sales_User.17,Michael,Campos,mcampos,mcampos@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,mcampos@ea.scratch.{TIMESTAMP},false
East Sales,W_Sales_User.16,William,Johnston,wjohnsto,wjohnsto@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,wjohnsto@ea.scratch.{TIMESTAMP},false
Central Sales,W_Sales_User.11,Teresa,Wolf,twolf,twolf@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,twolf@ea.scratch.{TIMESTAMP},false
West Sales,W_Sales_User.5,Michele,Davis,mdavis,mdavis@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,mdavis@ea.scratch.{TIMESTAMP},false
West Sales,W_Sales_User.2,Jessica,Walker,jwalker,jwalker@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,jwalker@ea.scratch.{TIMESTAMP},false
Central Sales,W_Sales_User.8,Andrea,Clark,aclark,aclark@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,aclark@ea.scratch.{TIMESTAMP},false
Central Sales,W_Sales_User.10,Alexis,Oconnor,aoconnor,aoconnor@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,aoconnor@ea.scratch.{TIMESTAMP},false
Central Sales,W_Sales_User.7,Lisa,Harrell,lharrell,lharrell@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,lharrell@ea.scratch.{TIMESTAMP},false
RVP West,W_Sales_User.M.18,David,Park,dpark,dpark@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,dpark@ea.scratch.{TIMESTAMP},false
RVP East,W_Sales_User.M.19,Carlos,Lowery,clowery,clowery@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,clowery@ea.scratch.{TIMESTAMP},false
RVP Central,W_Sales_User.M.20,Steve,Reyes,sreyes,sreyes@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,false,sreyes@ea.scratch.{TIMESTAMP},false
Central CSR,W_Services_User.11,Megan,Smith,msmith,msmith@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,msmith@ea.scratch.{TIMESTAMP},false
East CSR,W_Services_User.16,Thomas,Anderson,tanderso,tanderso@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,tanderso@ea.scratch.{TIMESTAMP},false
East CSR,W_Services_User.13,Timothy,Jones,tjones,tjones@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,tjones@ea.scratch.{TIMESTAMP},false
East CSR,W_Services_User.17,Robert,Morse,rmorse,rmorse@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,rmorse@ea.scratch.{TIMESTAMP},false
West CSR,W_Services_User.4,Martha,Middleton,mmiddlet,mmiddlet@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,mmiddlet@ea.scratch.{TIMESTAMP},false
West CSR,W_Services_User.5,Ann,Butler,abutler,abutler@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,abutler@ea.scratch.{TIMESTAMP},false
Central CSR,W_Services_User.10,Margaret,Jackson,mjackson,mjackson@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,mjackson@ea.scratch.{TIMESTAMP},false
West CSR,W_Services_User.1,Mary,Spencer,mspencer,mspencer@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,mspencer@ea.scratch.{TIMESTAMP},false
West CSR,W_Services_User.2,Kaitlyn,Ingram,kingram,kingram@ea.scratch,America/Los_Angeles,Standard User,en_US,en_US,ISO-8859-1,FALSE,kingram@ea.scratch.{TIMESTAMP},false
