"Opportunity.Competitor_EDD_c__c","Opportunity.Owner.UniqueUserName","Opportunity.IsWon","CloseDate","Opportunity.RecordTypeId","Opportunity.Owner.Role.Hierarchy_RoleNames","IsLastUpdate","Opportunity.Product.Family","Opportunity.RecordType.Name","Amount_isUpdated","IsDeleted","Opportunity.Owner.Role.ParentRole.DeveloperName","Opportunity.Owner.Name","Opportunity.Account.Parent.ParentAccount.BillingState","ValidFromDate","CloseDate_isUpdated","Id","OpportunityCreatedDate","Opportunity.EDD_CreatedDate__c","Opportunity.OpenClosedWonLost","Opportunity.Opportunity.DemoShow__c","Opportunity.Opportunity.EDD_Prescription__c","Opportunity.DemoShow__c","OpportunityId","Opportunity.Owner.Role.Name","Opportunity.Account.Owner.Name","Stage.IsWon","Opportunity.Account.Type","Opportunity.Name","Opportunity.CloseDate","Opportunity.Account.Industry","StageName","Opportunity.Owner.UserManager.Name","Opportunity.Owner.UserManagerNames","Opportunity.Account.OwnerId","Opportunity.Owner.FullPhotoUrl","Opportunity.EDD_Prescription__c","CustomFilter","Opportunity.OwnerId","Opportunity.Opportunity.EDD_Leading_Causes__c","Opportunity.Owner.Role.ParentRole.ForecastManager.UniqueUserName","Opportunity.Account.BillingState","Opportunity.Owner.Role.RoleNames","Opportunity.Opportunity.Predicted_Close_Date__c","ForecastCategory","Opportunity.Owner.SmallPhotoUrl","Stage_IsAdvanced","Opportunity.Account.Parent.ParentAccount.OwnerId","Opportunity.Owner.Role.DeveloperName","CreatedById","Opportunity.Opportunity.Competitor_EDD_c__c","Opportunity.Owner.Role.RolePath","Stage.IsClosed","Opportunity.StageName","Opportunity.OpptyScore.Insights","Opportunity.Predicted_Close_Date__c","ValidToDate","Opportunity.Owner.Role.ParentRoleId","Stage_isUpdated","Opportunity.Id","StagePrev.IsClosed","Opportunity.IsClosed","Opportunity.Opportunity.Discount_Approved__c","ForecastCategoryPrev.ForecastCategoryName","CreatedDate","Opportunity.Account.AccountSource","Opportunity.AccountId","Opportunity.Owner.UserManager.UniqueUserName","Opportunity.Account.Parent.AccountParents","Opportunity.ForecastCategoryName","Opportunity.Owner.Role.ParentRole.Name","ForecastCategory.ForecastCategoryName","Opportunity.Account.Parent.ParentAccount.ShippingState","CreatedDatePrev","Opportunity.Type","Unique_Sort_Key","Opportunity.Product.Name","ForecastCategoryPrev","Opportunity.Owner.Role.Roles","Opportunity.Account.ShippingState","Opportunity.Account.Parent.ParentAccount.Name","Opportunity.Account.Name","Opportunity.Discount_Approved__c","StageNamePrev","Opportunity.EDD_Leading_Causes__c","CloseDatePrev","Opportunity.IsLost","StagePrev.IsWon","Opportunity.LeadSource","Opportunity.Opportunity.EDD_CreatedDate__c","Opportunity.Opportunity.EDD_Outcome__c","Opportunity.Opportunity.Close_Date_Difference__c","Stage.SortOrder","AmountPrev","IsPulled","Amount","Opportunity.Stage.SortOrder","Opportunity.EDD_Outcome__c","Opportunity.Opportunity.EDD_Age__c","Opportunity.EDD_Age__c","Opportunity.Close_Date_Difference__c","StagePrev.SortOrder","Duration","Opportunity.Opportunity_Score_Dummy__c","Time_In_Current_Stage.Duration_Seconds","IsPushed","Opportunity.OpportunityScore","Opportunity.Amount","Opportunity.OpptyScore.Score"
"","","","2019-09-10","","",0,"","",1,False,"","","","2019-06-24T08:00:00.000Z",1,"a43B0000000CbbzIAC","2019-06-24T08:00:00.000Z","","","","","","006B0000003WYoEIAW","","",False,"","","","","Qualification","","","","","",True,"","","","","","","Pipeline","",True,"","","005B00000034KssIAE","","",False,"","","","2019-07-13T08:00:00.000Z","",1,"","","","","","2019-06-24T08:00:00.000Z","","","","","","","Pipeline","","","","2019-06-24T08:00:00.000Z-a43B0000000CbbzIAC","","","","","","","","","","1970-01-01","","","","",0,0,3,0,0,87374,0,0,0,0,0,0,1641600,0,22080563,1,0,0,0
"","","","2019-06-04","","",0,"","",0,False,"","","","2019-04-12T08:00:00.000Z",0,"a43B0000000CbcpIAC","2019-04-06T08:00:00.000Z","","","","","","006B0000003WYoLIAW","","",False,"","","","","Needs Analysis","","","","","",True,"","","","","","","BestCase","",False,"","","005B00000034KssIAE","","",False,"","","","2019-04-14T08:00:00.000Z","",1,"",False,"","","Pipeline","2019-04-12T08:00:00.000Z","","","","","","","Best Case","","2019-04-06T08:00:00.000Z","","2019-04-12T08:00:00.000Z-a43B0000000CbcpIAC","","Pipeline","","","","","","Qualification","","2019-06-04","",False,"","",0,0,1,39212,0,39212,0,0,0,0,0,3,172800,0,29420963,0,0,0,0
"","","","2018-02-02","","",0,"","",0,False,"","","","2018-01-18T07:00:00.000Z",0,"a43B0000000CbiVIAS","2017-11-02T07:00:00.000Z","","","","","","006B0000003WYpAIAW","","",False,"","","","","Proposal/Quote","","","","","",True,"","","","","","","Pipeline","",False,"","","005B00000034KssIAE","","",False,"","","","2018-02-01T07:00:00.000Z","",0,"",False,"","","Pipeline","2018-01-18T07:00:00.000Z","","","","","","","Pipeline","","2017-12-05T07:00:00.000Z","","2018-01-18T07:00:00.000Z-a43B0000000CbiVIAS","","Pipeline","","","","","","Proposal/Quote","","2018-02-02","",False,"","",0,0,4,52990,0,52990,0,0,0,0,0,4,1209600,0,71670563,0,0,0,0
"","","","2018-12-01","","",0,"","",0,False,"","","","2018-12-15T07:00:00.000Z",0,"a43B0000000CbmMIAS","2018-08-23T07:00:00.000Z","","","","","","006B0000003WYpkIAG","","",False,"","","","","Needs Analysis","","","","","",True,"","","","","","","BestCase","",False,"","","005B00000034KssIAE","","",False,"","","","2019-01-07T07:00:00.000Z","",0,"",False,"","","Best Case","2018-12-15T07:00:00.000Z","","","","","","","Best Case","","2018-12-07T07:00:00.000Z","","2018-12-15T07:00:00.000Z-a43B0000000CbmMIAS","","BestCase","","","","","","Needs Analysis","","2018-12-01","",False,"","",0,0,1,250000,0,250000,0,0,0,0,0,1,1987200,0,47222963,0,0,0,0
"","","","2019-05-03","","",1,"","",0,False,"","","","2019-05-03T08:00:00.000Z",0,"a43B0000000CbqNIAS","2018-12-10T07:00:00.000Z","","","","","","006B0000003WYqPIAW","","",False,"","","","","Closed Lost","","","","","",True,"","","","","","","Omitted","",True,"","","005B00000034KssIAE","","",True,"","","","3000-01-01T00:00:00.000Z","",1,"",False,"","","","2019-05-03T08:00:00.000Z","","","","","","","Omitted","","2019-05-02T08:00:00.000Z","","2019-05-03T08:00:00.000Z-a43B0000000CbqNIAS","","Commit","","","","","","Negotiation","","2019-05-03","",False,"","",0,0,6,40000,0,40000,0,0,0,0,0,2,37801748,0,37801763,0,0,0,0
"","","","2019-02-04","","",1,"","",1,False,"","","","2018-12-01T07:00:00.000Z",0,"a43B0000000CbsRIAS","2018-11-13T07:00:00.000Z","","","","","","006B0000003WYqjIAG","","",False,"","","","","Proposal/Quote","","","","","",True,"","","","","","","BestCase","",False,"","","005B00000034KssIAE","","",False,"","","","3000-01-01T00:00:00.000Z","",0,"",False,"","","Best Case","2018-12-01T07:00:00.000Z","","","","","","","Best Case","","2018-11-28T07:00:00.000Z","","2018-12-01T07:00:00.000Z-a43B0000000CbsRIAS","","BestCase","","","","","","Proposal/Quote","","2019-02-04","",False,"","",0,0,4,99165,0,120000,0,0,0,0,0,4,51024548,0,52147763,0,0,0,0
"","Amy Shaw",False,"2019-07-13","012B0000000LBRPIA4","Admin",0,"Car Accessories","Channel (Partner)",1,False,"RVPCentral","Amy Shaw","WA","2019-05-31T08:00:00.000Z",1,"a43B0000000CbuGIAS","2017-06-06T18:45:32.000Z","","Open",True,"-9.049 if you change Executive Meeting to true
-4.031 if you change Interactive Demo to true",True,"006B0000003WamdIAC","Central Sales","Ann Jones",False,"Corporate","Greenleaf Produce 98","2020-07-15","Construction","Negotiation","","Amy Shaw","005B0000003CnfWIAS","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs4D/F","-9.049 if you change Executive Meeting to true
-4.031 if you change Interactive Demo to true",True,"005B0000003CnfgIAC","+14.534 because Lead Source is Reseller and Region is Midwest
-9.465 because Sales Stage Count is 2 to 3 and Competitor is Challenger Inc.
+6.449 because Amount is 4999 to 10533 and Product Name is Motorcycle Parts
+3.897 because of other factors
from the","Andrew Barton","WA","Admin","2020-03-08","Commit","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs4D/T",False,"005B0000003CnfWIAS","CentralSales","005B00000034KssIAE","","",False,"Negotiation","","2020-03-08","2019-06-01T08:15:44.000Z","00EB0000000azELMAY",0,"006B0000003WamdIAC",False,False,"","Commit","2019-05-31T08:00:00.000Z","Inbound Call","001B000000SS3OxIAL","","001B000000SS3OxIAL","Commit","RVP Central","","","2019-05-01T08:14:49.000Z","Existing Business","2019-05-31T08:00:00.000Z-a43B0000000CbuGIAS","Interior Accessories","Forecast","","","Greenleaf Produce","Greenleaf Produce","","Negotiation","+14.534 because Lead Source is Reseller and Region is Midwest
-9.465 because Sales Stage Count is 2 to 3 and Competitor is Challenger Inc.
+6.449 because Amount is 4999 to 10533 and Product Name is Motorcycle Parts
+3.897 because of other factors
from the","2019-05-15","No",False,"Reseller","",85,-128,2,10000,0,30674,2,85,0,0,-128,2,87344,75,31354748,1,75,10000,0
"","","","2018-07-17","","",0,"","",1,False,"","","","2018-06-16T08:00:00.000Z",0,"a43B0000000CbwGIAS","2018-01-30T07:00:00.000Z","","","","","","006B0000003Wan0IAC","","",False,"","","","","Proposal/Quote","","","","","",True,"","","","","","","Pipeline","",False,"","","005B00000034KssIAE","","",False,"","","","2018-07-17T08:00:00.000Z","",0,"",False,"","","Pipeline","2018-06-16T08:00:00.000Z","","","","","","","Pipeline","","2018-05-23T08:00:00.000Z","","2018-06-16T08:00:00.000Z-a43B0000000CbwGIAS","","Pipeline","","","","","","Proposal/Quote","","2018-07-17","",False,"","",0,0,4,25564,0,20000,0,0,0,0,0,4,2678400,0,62857763,0,0,0,0
"","","","2019-04-03","","",1,"","",0,False,"","","","2019-04-03T07:00:00.000Z",0,"a43B0000000CbwmIAC","2018-10-11T07:00:00.000Z","","","","","","006B0000003Wan4IAC","","",False,"","","","","Closed Lost","","","","","",True,"","","","","","","Omitted","",True,"","","005B00000034KssIAE","","",True,"","","","3000-01-01T00:00:00.000Z","",1,"",False,"","","Pipeline","2019-04-03T07:00:00.000Z","","","","","","","Omitted","","2019-03-05T07:00:00.000Z","","2019-04-03T07:00:00.000Z-a43B0000000CbwmIAC","","Pipeline","","","","","","Needs Analysis","","2019-04-03","",False,"","",0,0,6,30000,0,30000,0,0,0,0,0,1,40397348,0,40397363,0,0,0,0
"","","","2019-08-01","","",0,"","",0,False,"","","","2019-08-06T08:00:00.000Z",0,"a43B0000000CbwwIAC","2019-03-30T07:00:00.000Z","","","","","","006B0000003Wan6IAC","","",False,"","","","","Proposal/Quote","","","","","",True,"","","","","","","Pipeline","",False,"","","005B00000034KssIAE","","",False,"","","","2019-09-08T07:00:00.000Z","",1,"",True,"","","Omitted","2019-08-06T08:00:00.000Z","","","","","","","Pipeline","","2019-07-18T08:00:00.000Z","","2019-08-06T08:00:00.000Z-a43B0000000CbwwIAC","","Omitted","","","","","","Closed Lost","","2019-08-01","",False,"","",0,0,4,39280,0,39280,0,0,0,0,0,6,2847600,0,22426163,0,0,0,0
