"Members.Account.BillingCity","Members.Contact.Name","Members.MemberStatus","Promotion.MarketSegment5.Segment5","Members.Contact.Birthdate","Members.MemberCurrency.ProgramCurrency.Id","Promotion.MarketSegment5.Name","Members.Contact.Id","Program.Name","Partner_Overlap.Partner_Overlap","Members.MemberCurrency.Name","Members.ContactId","Members.Transaction.PartnerId","Member.prog.Name","Members.Transaction.JournalType.Name","Promotion.StartDate","Promotion.Start_Day","Members.Contact.AccountId","Id","Product_Overlap.Product_Overlap","Member_Segment.Market_Segment_1","Member_Segment.Market_Segment_2","Members.Transaction.ActivityDate_Flag","Members.Transaction.ProductId","Promotion.EndDate","Promotion.Name","Member_Segment.Membership_Number","Members.Transaction.MemberId","Members.Account.Name","Members.MemberCurrency.ProgramCurrency.IsActive","Promotion.EnrollmentEndDate","Member_Segment.Loyalty_Program","Members.Transaction.Status","Members.Transaction.Id","Members.MemberCurrency.LoyaltyMemberId","Member_Segment.Hobby","StartDate_Flag","Members.AccountId","EndDate","Members.Transaction.PaymentMethod","Members.Transaction.ProductCategoryId","Members.Account.BillingState","Members.Account.Id","Members.EnrollmentDate","Members.MemberCurrency.ProgramCurrency.Name","Promotion.MarketSegment3.Segment3","Members.Transaction.ReferredMemberId","Members.MemberType","Members.MemberCurrency.LoyaltyProgramCurrencyId","Members.ProgramId","Name","Promotion.EnrollmentStartDate","StartDate","Promotion.IsEnrollmentRequired","Promotion.MarketSegment2.Segment2","Members.MemberCurrency.ProgramCurrency.LoyaltyTierGroupId","Member.MembershipNumber","Members.Program.Id","ProductCategory_Overlap.ProductCategory_Overlap","Member.Id","Promotion.ProgramCurrency.Name","Promotion.MarketSegment1.Segment1","Maximize_Promotion_Influenced_Revenue_Prediction_1_predictor2","Members.Contact.MailingCity","Members.Transaction.ActivityDate","Promotion.FulfillmentAction","Members.Contact.MailingCountry","Promotion.LoyaltyPromotionType","Members.MemberCurrency.Id","Members.MemberCurrency.ProgramCurrency.LoyaltyProgramId","Members.Program.Name","FulfillmentAction","Member.ProgramId","PromotionCurrency.Name","Members.Contact.MailingState","Members.EnrollmentChannel","Members.Account.BillingCountry","Members.Transaction.RelatedJournalId","Maximize_Promotion_Influenced_Revenue_Prediction_1_predictor1","Members.Id","Members.MemberCurrency.ProgramCurrency.CurrencyType","Promotion.End_Date_Week_Month","Maximize_Promotion_Influenced_Revenue_Prediction_1_improvement","Members.Transaction.StartDate","Maximize_Promotion_Influenced_Revenue_Prediction_1_predictor","Program.Id","Maximize_Promotion_Influenced_Revenue_Prediction_1_improvement1","LoyaltyProgramCurrencyId","Maximize_Promotion_Influenced_Revenue_Prediction_1_improvement2","Members.Transaction.LoyaltyProgramId","Members.Program.Status","Members.MembershipNumber","Members.ReferredById","Members.Transaction.Last_Transaction_Activity_Date","LoyaltyProgramId","Promotion.Start_Date_Week_Month","Promotion.MarketSegment4.Segment4","isTraining","Members.Member_State_City","Members.Tier.EffectiveDate","Members.Tier.Name","Members.Transaction.Current_ActivityDate","Promotion.Product_or_ProdCategory_Count","Members.Transaction.Accrual_Transactions_Current_Period","Members.Month_In_Tier","Promotion.Partner_Count","Maximize_Promotion_Influenced_Revenue_Prediction_1_prediction","Promotion.Total_Avg_Partner_Transaction_Amount","Promotion.MaximumRewardValue","Members.MemberCurrency.Ledger.Journal.Accrual_Transaction_Amount","Members.MemberCurrency.Ledger.Journal.Accrual_Transactions_Current_Period","Maximize_Promotion_Influenced_Revenue_Prediction_1_predictor_impact","Promotion.Product_Category_Count","Maximize_Promotion_Influenced_Revenue_Prediction_1_improvement_impact2","Maximize_Promotion_Influenced_Revenue_Prediction_1_improvement_impact1","Members.Transaction.Accrual_Transaction_Amount","Members.MemberCurrency.Ledger.Journal.DaysBetweenCurrentTransactions","Members.Transaction.Transaction_Count","Members.Journal.Transaction_Amount_Current_Period","Members.Journal.Accrual_Transactions_Current_Period","Members.Journal.Transaction_Amount_all","Members.Average_NQP_Accrued","Members.Transaction.DaysBetweenCurrentTransactions","Members.DaysSinceLastTransaction","Members.Transaction.Transaction_Amount_Current_Period","Members.Age","Promotion.Enrollment_Duration","Members.Membership_Duration","Members.MemberCurrency.Ledger.Points","Promotion.TotalRewardPoints","Promotion.Total_Avg_Product_Transaction_Amount","Members.MemberCurrency.Ledger.Journal.Transactions_all","Members.MemberCurrency.Ledger.Journal.Transaction_Amount_Current_Period","Maximize_Promotion_Influenced_Revenue_Prediction_1_predictor_impact1","Members.Avg_Transaction_Amount_all","Maximize_Promotion_Influenced_Revenue_Prediction_1_predictor_impact2","Members.Transaction.Transaction_Amount_all","Promotion.Product_Count","Members.MemberCurrency.Ledger.Promotion_Revenue","Promotion.Total_Avg_Product_or_ProdCategory_Transaction_Amount","Members.Journal.DaysBetweenCurrentTransactions","Members.Journal.Transaction_Count","Maximize_Promotion_Influenced_Revenue_Prediction_1_improvement_impact","Promotion.Duration","Product_Overlap.UNIQUE_Product_or_Prod_Category_ID","Members.MemberCurrency.PointsBalance","Promotion.Total_Avg_Product_Category_Transaction_Amount","Members.MemberCurrency.Ledger.Current_Expired_Points","Members.Journal.Accrual_Transaction_Amount","Members.Transaction.Transactions_all","Members.MemberCurrency.Ledger.Current_Accrued_Points","Members.Transaction.TransactionAmount","Members.MemberCurrency.Ledger.Journal.Transaction_Count","Members.Journal.Transactions_all","Members.MemberCurrency.Ledger.Journal.Transaction_Amount_all"
,"Perf63 Trail63","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXhu9IAD","NTO Insider","High","Points","003B000000IXhu9IAD","0ldB0000000TNHsIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoKIAR","0c8B000000000YtIAI",,"Affluent Gen Z",,"Current","01tB0000000Zo4BIAS","2021-12-08","Promo90","IndivAiK_467","0lMB0000000RIMCMA4",,"true",,"NTO Insider","Processed","0lVB000000296w6MAA","0lMB0000000RIMCMA4","Climbing","Future Promotions",,"2021-12-08",,,,,"2021-05-13","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_467","0lpB0000000PBdwIAG",,"0lMB0000000RIMCMA4","Points","Ultra High Net Worth Millenials","Accrual_Transactions_Current_Period:0,Transaction_Amount_all:1064","San Francisco","2021-06-09T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000XcqaIAC","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","CA","CallCenter",,,"DaysBetweenCurrentTransactions:0,DaysSinceLastTransaction:153","0lMB0000000RIMCMA4","NonQualifying","49 - 12",,,"DaysSinceLastTransaction:153,Accrual_Transaction_Amount:1064","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_467",,"2021-06-09T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","CA - San Francisco","2021-05-13","Silver","2021-06-09T00:00:00.000Z",4,0,6,4,320.48,3511,1000,1064,0,688.39,4,,,1064,0,1,1064,0,1064,0,0,153,1064,,,180,716,10,,1,1064,-609.94,1064,-424.54,1064,0,0,,0,1,,7,,716,3549,0,1064,1,716,1064,1,1,1064
,"Perf52 Trail52","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXhtyIAD","NTO Insider",,"Points","003B000000IXhtyIAD",,"NTO Insider",,"2021-12-01","Wednesday","001B000001M3lDXIAZ","0c8B000000000YtIAI",,"Ultra High Net Worth Gen Z",,,,"2021-12-08","Promo90","IndivAiK_478",,,"true",,"NTO Insider",,,"0lMB0000000RIM1MAO","Judo","Future Promotions",,"2021-12-08",,,,,"2021-12-29","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_478","0lpB0000000PBdwIAG",,"0lMB0000000RIM1MAO","Points","Ultra High Net Worth Millenials","Average_NQP_Accrued:0,Month_In_Tier:-2","San Francisco",,"CreditPoints","USA","Standard","0lzB0000000Xcq3IAC","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","CA","Social",,,"Membership_Duration:-50,Avg_Transaction_Amount_all:0","0lMB0000000RIM1MAO","NonQualifying","49 - 12",,,"Average_NQP_Accrued:0,Avg_Transaction_Amount_all:0","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,,"Active","IndivAiK_478",,,"0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","CA - San Francisco","2021-12-29","Silver",,4,,-2,4,-309.46,3511,1000,,,-503.62,4,,,,,,,,,0,,,,,,-50,,10,,,,-462.72,0,321.28,,0,,,,,,7,,0,3549,,,,,,,,
,"Q4Data104 Trail104","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi4CIAT","NTO Insider","High","Points","003B000000IXi4CIAT","0ldB0000000TNHvIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001M3lDXIAZ","0c8B000000000YtIAI","High","Mass Affluent Gen Z",,"Current",,"2021-12-08","Promo90","IndivAiK_470","0lMB0000000RILtMAO",,"true",,"NTO Insider","Processed","0lVB0000001irniMAA","0lMB0000000RILtMAO","Fencing","Future Promotions",,"2021-12-08",,"0ZGB00000004KVuOAM",,,"2020-03-19","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_470","0lpB0000000PBdwIAG","High","0lMB0000000RILtMAO","Points","Ultra High Net Worth Millenials","Partner_Overlap:High,Accrual_Transaction_Amount:8502","New York","2021-04-16T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000XcpfIAC","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","NY","Web",,,"Transactions_all:7,Accrual_Transaction_Amount:8502","0lMB0000000RILtMAO","NonQualifying","49 - 12",,,"Average_NQP_Accrued:0,Avg_Transaction_Amount_all:1215","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_470",,"2021-09-23T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","NY - New York","2020-03-19","Silver","2021-04-16T00:00:00.000Z",4,0,20,4,1302.05,3511,1000,11651,0,267.34,4,,,472,-646,1,8502,0,8502,0,-86,47,472,,,600,19601,10,,11,11651,-172.65,1215,170.14,472,0,1515,,-492,8,,7,2,14040,3549,0,8502,1,11436,472,13,7,11651
,"Q4Data102 Trail102","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi4AIAT","NTO Insider","High","Points","003B000000IXi4AIAT","0ldB0000000TNHuIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001M3lDXIAZ","0c8B000000000YtIAI",,"Ultra High Net Worth Gen Z",,"Current","01tB0000000Zo3yIAC","2021-12-08","Promo90","IndivAiK_468","0lMB0000000RILrMAO",,"true",,"NTO Insider","Processed","0lVB0000001irngMAA","0lMB0000000RILrMAO","Kabaddi","Future Promotions",,"2021-12-08",,,,,"2020-04-24","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_468","0lpB0000000PBdwIAG",,"0lMB0000000RILrMAO","Points","Ultra High Net Worth Millenials","Accrual_Transactions_Current_Period:0,Name:Silver","Toronto","2021-05-30T00:00:00.000Z","CreditPoints","Canada","Standard","0lzB0000000XcpZIAS","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","Ontario","Social",,,"Current_Accrued_Points:11840","0lMB0000000RILrMAO","NonQualifying","49 - 12",,,"Current_Accrued_Points:11840,Avg_Transaction_Amount_all:686","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_468",,"2021-09-28T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","Ontario - Toronto","2020-04-24","Silver","2021-05-30T00:00:00.000Z",4,0,19,4,872.51,3511,1000,5997,0,365.69,4,,,282,-649,1,4805,0,4805,0,-7,42,282,,,564,19122,10,,11,5997,-130.7,686,91.89,282,0,1052,,-406,8,,7,,13888,3549,0,4805,1,11840,282,13,7,5997
,"Q4Data186 Trail186","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi3QIAT","NTO Insider","High","Points","003B000000IXi3QIAT","0ldB0000000TNI4IAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoKIAR","0c8B000000000YtIAI",,"Affluent Gen Z",,"Current","01tB0000000Zo48IAC","2021-12-08","Promo90","IndivAiK_444","0lMB0000000RILUMA4",,"true",,"NTO Insider","Processed","0lVB0000001irnSMAQ","0lMB0000000RILUMA4","Weightlifting","Future Promotions",,"2021-12-08",,,,,"2020-06-06","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_444","0lpB0000000PBdwIAG",,"0lMB0000000RILUMA4","Points","Ultra High Net Worth Millenials","Accrual_Transactions_Current_Period:4,Name:Silver","New York","2021-05-27T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000XcoSIAS","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","NY","Email",,,"Avg_Transaction_Amount_all:770","0lMB0000000RILUMA4","NonQualifying","49 - 12",,,"Average_NQP_Accrued:506,Hobby:Weightlifting","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_444",,"2021-12-09T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","NY - New York","2020-06-06","Silver","2021-05-27T00:00:00.000Z",4,0,17,4,520.84,3511,1000,13811,8,-300.51,4,,,894,-385,1,2151,4,5390,506,-28,-30,894,,,521,21891,10,,15,5935,103.78,770,91.89,894,0,259,,-306,8,,7,,14817,3549,0,5390,1,4045,894,17,7,13811
,"Q4Data180 Trail180","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi3KIAT","NTO Insider","High","Points","003B000000IXi3KIAT","0ldB0000000TNI2IAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoLIAR","0c8B000000000YtIAI",,"Affluent Gen Z",,"Current","01tB0000000Zo46IAC","2021-12-08","Promo90","IndivAiK_441","0lMB0000000RILOMA4",,"true",,"NTO Insider","Processed","0lVB0000001irnOMAQ","0lMB0000000RILOMA4","Weightlifting","Future Promotions",,"2021-12-08",,,,,"2020-04-14","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_441","0lpB0000000PBdwIAG",,"0lMB0000000RILOMA4","Points","Ultra High Net Worth Millenials","Transactions_all:7,Accrual_Transaction_Amount:6915","San Francisco","2021-07-15T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000XcoAIAS","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","CA","POS",,,"Accrual_Transactions_Current_Period:1,Average_NQP_Accrued:5511","0lMB0000000RILOMA4","NonQualifying","49 - 12",,,"DaysBetweenCurrentTransactions:-345,Average_NQP_Accrued:5511","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_441",,"2021-11-20T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","CA - San Francisco","2020-04-14","Silver","2021-07-15T00:00:00.000Z",4,0,19,4,663.43,3511,1000,13105,2,-388.74,4,,,611,-423,1,5607,1,6915,5511,0,-11,611,,,574,20434,10,,11,10489,176.33,988,-172.65,611,0,218,,-345,8,,7,,14788,3549,0,6915,1,11022,611,13,7,13105
,"Data16 User16","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi05IAD","NTO Insider","High","Points","003B000000IXi05IAD","0ldB0000000TNHzIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoMIAR","0c8B000000000YtIAI",,"Mass Affluent Gen Z",,"Current","01tB0000000Zo4EIAS","2021-12-08","Promo90","IndivAiK_428","0lMB0000000RILEMA4",,"true",,"NTO Insider","Processed","0lVB0000001irnIMAQ","0lMB0000000RILEMA4","Hiking","Future Promotions",,"2021-12-08",,,,,"2020-01-21","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_428","0lpB0000000PBdwIAG",,"0lMB0000000RILEMA4","Points","Ultra High Net Worth Millenials","Accrual_Transactions_Current_Period:1","New Jersey","2021-07-14T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000XcngIAC","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","NJ","Social",,,"Month_In_Tier:1","0lMB0000000RILEMA4","NonQualifying","49 - 12",,,"Enrollment Channel:Social,Month_In_Tier:1","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_428",,"2021-10-27T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","NJ - New Jersey","2021-09-30","Platinum","2021-07-14T00:00:00.000Z",4,0,1,4,684.73,3511,1000,10152,2,-291.17,4,,,866,-190,1,3941,1,5351,3242,0,13,866,,,658,24884,10,,10,7332,-174.7,892,154.52,866,0,409,,-180,6,,7,,15626,3549,0,5351,1,6483,866,10,6,10152
,"Q4Data58 Trail58","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi30IAD","NTO Insider","High","Points","003B000000IXi30IAD","0ldB0000000TNHvIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoLIAR","0c8B000000000YtIAI",,"Millionaire Gen Z",,"Current","01tB0000000Zo4EIAS","2021-12-08","Promo90","IndivAiK_410","0lMB0000000RIKwMAO",,"true",,"NTO Insider","Processed","0lVB0000001irn6MAA","0lMB0000000RIKwMAO","Hiking","Future Promotions",,"2021-12-08",,,,,"2020-01-18","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_410","0lpB0000000PBdwIAG",,"0lMB0000000RIKwMAO","Points","Ultra High Net Worth Millenials","Membership_Duration:661,Accrual_Transaction_Amount:9650","New York City","2021-09-01T00:00:00.000Z","CreditPoints","USA","Standard","0lzB0000000XcmoIAC","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","NY","CallCenter",,,"Membership_Duration:661,Transaction_Amount_all:9650","0lMB0000000RIKwMAO","NonQualifying","49 - 12",,,"Membership_Duration:661,Avg_Transaction_Amount_all:1379","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_410",,"2021-12-22T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","NY - New York City","2020-01-18","Silver","2021-09-01T00:00:00.000Z",4,0,22,4,665.32,3511,1000,18598,5,832.35,4,,,1580,-461,1,7275,2,9650,996,-11,-43,1580,,,661,20191,10,,14,12640,-615.37,1379,-579.18,1580,0,1534,,-224,8,,7,,11632,3549,0,9650,1,4982,1580,16,7,18598
,"Q4Data53 Trail53","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi2vIAD","NTO Insider",,"Points","003B000000IXi2vIAD",,"NTO Insider",,"2021-12-01","Wednesday","001B000001LwhoKIAR","0c8B000000000YtIAI",,"Affluent Gen Z",,,,"2021-12-08","Promo90","IndivAiK_405",,,"true",,"NTO Insider",,,"0lMB0000000RIKrMAO","Auto racing","Future Promotions",,"2021-12-08",,,,,"2021-11-15","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_405","0lpB0000000PBdwIAG",,"0lMB0000000RIKrMAO","Points","Ultra High Net Worth Millenials","Enrollment Channel:CallCenter,Market Segment 1:Affluent Gen Z","New Jersey",,"CreditPoints","USA","Standard","0lzB0000000XcmZIAS","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","NJ","CallCenter",,,"Membership_Duration:-6,Avg_Transaction_Amount_all:0","0lMB0000000RIKrMAO","NonQualifying","49 - 12",,,"Average_NQP_Accrued:0,Avg_Transaction_Amount_all:0","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,,"Active","IndivAiK_405",,,"0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","NJ - New Jersey","2021-11-15","Silver",,4,,0,4,440.91,3511,1000,,,-503.62,4,,,,,,,,,0,,,,,,-6,,10,,,,-462.72,0,-370.2,,0,,,,,,7,,0,3549,,,,,,,,
,"Q4Data84 Trail84","Active",,,"0lcB0000000PBAjIAO",,"003B000000IXi3nIAD","NTO Insider","High","Points","003B000000IXi3nIAD","0ldB0000000TNHwIAO","NTO Insider","Accrual","2021-12-01","Wednesday","001B000001LwhoLIAR","0c8B000000000YtIAI",,"Affluent Gen Z",,"Current","01tB0000000Zo3cIAC","2021-12-08","Promo90","IndivAiK_345","0lMB0000000RIJsMAO",,"true",,"NTO Insider","Processed","0lVB0000001irmTMAQ","0lMB0000000RIJsMAO","Surfing","Future Promotions",,"2021-12-08",,,,,"2020-01-13","Points","Mass Affluent Millenials",,"Individual","0lcB0000000PBAjIAO","0lpB0000000PBdwIAG","Promo90",,"2021-12-01","false","Affluent Millenials",,"IndivAiK_345","0lpB0000000PBdwIAG",,"0lMB0000000RIJsMAO","Points","Ultra High Net Worth Millenials","Transactions_all:5,Avg_Transaction_Amount_all:1201","Toronto","2021-03-21T00:00:00.000Z","CreditPoints","Canada","Standard","0lzB0000000XcjcIAC","0lpB0000000PBdwIAG","NTO Insider","CreditPoints","0lpB0000000PBdwIAG","Points","Ontario","Email",,,"Avg_Transaction_Amount_all:1201,Transaction_Amount_all:6006","0lMB0000000RIJsMAO","NonQualifying","49 - 12",,,"Average_NQP_Accrued:0,Avg_Transaction_Amount_all:1201","0lpB0000000PBdwIAG",,"0lcB0000000PBAjIAO",,"0lpB0000000PBdwIAG","Active","IndivAiK_345",,"2021-09-19T00:00:00.000Z","0lpB0000000PBdwIAG","48 - 12","Ultra High Net Worth Gen Z","false","Ontario - Toronto","2020-01-13","Silver","2021-03-21T00:00:00.000Z",4,0,22,4,1004.51,3511,1000,9441,0,267.34,4,,,1008,-706,1,6006,0,6006,0,-47,51,1008,,,666,18058,10,,8,9441,245.44,1201,-207.55,1008,0,1193,,-489,6,,7,,12321,3549,0,6006,1,9276,1008,10,5,9441
