"LastModifiedDate","LoyaltyMemberCurrency_LoyaltyProgramMember_MemberType","LastProcessedDate","LoyaltyMemberCurrency_LoyaltyProgramMember_LoyaltyProgram_Name","LoyaltyProgramCurrencyId","LoyaltyMemberId","LoyaltyMemberCurrency_LoyaltyProgramCurrency_NQP_Currency","Delta","ValidTo","CreatedDate","LoyaltyMemberCurrency_LoyaltyProgramMember_MemberName","ValidFrom","Id","LoyaltyMemberCurrency_LoyaltyProgramCurrency_CurrencyType","PointsBalance","LoyaltyMemberCurrency_LoyaltyProgramCurrency_CostperUnit","PointsBalance_Amount"
"2021-09-27T03:53:57.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwDzMAK","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_jj","2021-08-16","0lzB0000000H64OIAS","NonQualifying",0,0.01,0
"2021-08-09T09:43:37.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwE0MAK","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_ji","2021-08-16","0lzB0000000H64PIAS","NonQualifying",0,0.01,0
"2021-09-27T05:35:29.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwE1MAK","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_jh","2021-08-16","0lzB0000000H64QIAS","NonQualifying",149,0.01,1.49
"2021-08-09T09:43:37.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwE2MAK","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_jg","2021-08-16","0lzB0000000H64RIAS","NonQualifying",0,0.01,0
"2021-08-09T09:43:37.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwE3MAK","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_jf","2021-08-16","0lzB0000000H64SIAS","NonQualifying",0,0.01,0
"2021-08-09T09:43:37.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwE4MAK","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_je","2021-08-16","0lzB0000000H64TIAS","NonQualifying",0,0.01,0
"2021-08-09T09:43:37.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwE5MAK","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_jd","2021-08-16","0lzB0000000H64UIAS","NonQualifying",0,0.01,0
"2021-08-09T09:43:37.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwE6MAK","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_jc","2021-08-16","0lzB0000000H64VIAS","NonQualifying",0,0.01,0
"2021-09-27T05:37:04.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwE7MAK","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_jb","2021-08-16","0lzB0000000H64WIAS","NonQualifying",13,0.01,0.13
"2021-08-09T09:43:37.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwE8MAK","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_ja","2021-08-16","0lzB0000000H64XIAS","NonQualifying",0,0.01,0
"2021-08-09T09:43:37.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwE9MAK","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_ij","2021-08-16","0lzB0000000H64YIAS","NonQualifying",0,0.01,0
"2021-08-09T09:43:37.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwEAMA0","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_ii","2021-08-16","0lzB0000000H64ZIAS","NonQualifying",0,0.01,0
"2021-08-09T09:43:37.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwEBMA0","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_ih","2021-08-16","0lzB0000000H64aIAC","NonQualifying",0,0.01,0
"2021-08-09T08:49:28.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwECMA0","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_ig","2021-08-16","0lzB0000000H64bIAC","NonQualifying",0,0.01,0
"2021-08-09T09:43:37.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwEDMA0","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_if","2021-08-16","0lzB0000000H64cIAC","NonQualifying",0,0.01,0
"2021-08-09T09:43:37.000Z","Group","2021-11-04","NTO Insider","0lcB0000000PBAjIAO","0lMB0000000GwEEMA0","Points",,"3000-01-08","2021-08-09T08:49:28.000Z","Cnt-RTE-_UIDaiajbieh_b_ie","2021-08-16","0lzB0000000H64dIAC","NonQualifying",0,0.01,0
