"Promotion.Id","Account_Type","AccountId","Description","PrimaryContactId","RetailStoreGroup_Name","PrimaryContact_Phone","Product_Id_with_Name","Name","Account_Industry","StoreType","Location_Address_City","OwnerId","RetailLocationGroupId","Location_Address_State","Account_AccountSource","Account_Phone","Location_Name","DeliveryMethod","PrimaryContact_MobilePhone","Priority","RetailStoreGroup_Id","LocationId","Location_Address_Country","Location_Address_PostalCode","Location_Address_Name","RetailStoreGroupName_Custom","Account_Parent_Account_NamesPath","RetailStoreGroup_Description","PrimaryContact_Email","CreatedDate","Account_Name","PrimaryContact_Department","PrimaryContact_Description","Account_Parent_Account_Names","Dummy_Key","Id","PrimaryContact_Name","Location_LocationLevel","DeliveryFrequency","Account_AnnualRevenue"
"0c8B0000000CdT6IAK",,"001B000001AQUOwIAP",,"003B000000H1QcZIAV","Northeast","610-545-3615","01tB0000000UI8UIAW_Kelloggs Muesli","Fare Merchants - Brooklyn","Manufacturing","Regular","New Orleans","005B0000006NoPnIAK","0Y2B0000000L08uKAC","LA",,,"Dmart Location 1","Van",,"Low","0Y2B0000000L08uKAC","131B00000009QM4IAM","Orleans","70116","A00000001","Northeast","NTO Account","Description of Dmart Location Group 3","bette_nicka@cox.net","2019-12-24T13:46:11.000Z","NTO Account",,,"NTO Account","NA","0YQB0000000L0BvOAK","Bette Nicka",1,5,
"0c8B0000000CdT6IAK",,"001B000001AQUOwIAP",,"003B000000H1QcUIAV","Midwest","602-277-4385","01tB0000000UI8UIAW_Kelloggs Muesli","Fare Merchants - Gold Coast","Manufacturing","Regular","Sioux Falls","005B0000006NoPnIAK","0Y2B0000000L08tKAC","SD",,,"Dmart Location 2","Truck",,"High","0Y2B0000000L08tKAC","131B00000009QM5IAM","Minnehaha","57105","A00000009","Midwest","NTO Account","Description of Dmart Location Group 2","mattie@aol.com","2019-12-24T13:46:11.000Z","NTO Account",,,"NTO Account","NA","0YQB0000000L0BwOAK","Mattie Poquette",1,2,
"0c8B0000000CdT6IAK",,"001B000001AQUOxIAP",,"003B000000H1QcTIAV","West","956-537-6195","01tB0000000UI8UIAW_Kelloggs Muesli","NTO Store - Berkeley","Food & Beverage","Regular","Baltimore","005B0000006NoPnIAK","0Y2B0000000L08wKAC","MD",,,"Dmart Location 3","Truck",,"Medium","0Y2B0000000L08wKAC","131B00000009QM6IAM","Baltimore City","21224","A00000010","West","Nutrition Stop Account/Alpine Nutrition Account/NTO Account","Description of Dmart Location Group 5","calbares@gmail.com","2019-12-24T13:46:11.000Z","Rondel Account",,,"Alpine Nutrition Account","NA","0YQB0000000L0BxOAK","Cammy Albares",1,10,
"0c8B0000000CdT6IAK",,"001B000001AR2BGIA1",,"003B000000H1QcXIAV","Bay Area","313-288-7937","01tB0000000UI8UIAW_Kelloggs Muesli","NTO Store - Presidio",,"Regular","Kulpsville","005B0000006NoPnIAK","0Y2B0000000L08sKAC","PA",,,"Dmart Location 4","Van",,"Low","0Y2B0000000L08sKAC","131B00000009QM7IAM","Montgomery","19443","A00000011","Bay Area",,"Description of Dmart Location Group 1","yuki_whobrey@aol.com","2019-12-24T13:46:11.000Z","Gabe Hotkins",,,,"NA","0YQB0000000L0ByOAK","Yuki Whobrey",1,3,
"0c8B0000000CdT6IAK",,"001B000001AQUOyIAP",,"003B000000H1QcMIAV","South","408-752-3500","01tB0000000UI8UIAW_Kelloggs Muesli","Nutrition Stop - Gainesville","Transportation","Regular","Middle Island","005B0000006NoPnIAK","0Y2B0000000L08vKAC","NY",,,"Dmart Location 5","Van",,"Low","0Y2B0000000L08vKAC","131B00000009QM8IAM","Suffolk","11953","A00000012","South","Alpine Nutrition Account/NTO Account","Description of Dmart Location Group 4","leota@hotmail.com","2019-12-24T13:46:11.000Z","Alpine Nutrition Account",,,"Alpine Nutrition Account","NA","0YQB0000000L0BzOAK","Leota Dilliard",1,7,
"0c8B0000000CdT6IAK",,"001B000001AQUOwIAP",,"003B000000H1QcFIAV","Northeast","504-621-8927","01tB0000000UI8UIAW_Kelloggs Muesli","Rondel Store - San Francisco Central","Manufacturing","Regular","Los Angeles","005B0000006NoPnIAK","0Y2B0000000L08uKAC","CA",,,"Dmart Location 6","Van",,"High","0Y2B0000000L08uKAC","131B00000009QM9IAM","Los Angeles","90034","A00000013","Northeast","NTO Account","Description of Dmart Location Group 3","jbutt@gmail.com","2019-12-24T13:46:11.000Z","NTO Account",,,"NTO Account","NA","0YQB0000000L0C0OAK","James Butt",1,1,
"0c8B0000000CdT6IAK",,"001B000001AQUOxIAP",,"003B000000H1QcYIAV","Midwest","815-828-2147","01tB0000000UI8UIAW_Kelloggs Muesli","Rondel Store - Austin East","Food & Beverage","Regular","Chagrin Falls","005B0000006NoPnIAK","0Y2B0000000L08tKAC","OH",,,"Dmart Location 7","Van",,"Medium","0Y2B0000000L08tKAC","131B00000009QMAIA2","Geauga","44023","A00000014","Midwest","Nutrition Stop Account/Alpine Nutrition Account/NTO Account","Description of Dmart Location Group 2","fletcher.flosi@yahoo.com","2019-12-24T13:46:11.000Z","Rondel Account",,,"Alpine Nutrition Account","NA","0YQB0000000L0C1OAK","Fletcher Flosi",1,3,
"0c8B0000000CdT6IAK",,"001B000001AQUOxIAP",,"003B000000H1QcdIAF","West","732-658-3154","01tB0000000UI8UIAW_Kelloggs Muesli","Rondel Store - Chicago Streeterville","Food & Beverage","Regular","Laredo","005B0000006NoPnIAK","0Y2B0000000L08wKAC","TX",,,"Dmart Location 8","Van",,"Low","0Y2B0000000L08wKAC","131B00000009QMBIA2","Webb","78045","A00000015","West","Nutrition Stop Account/Alpine Nutrition Account/NTO Account","Description of Dmart Location Group 5","alisha@slusarski.com","2019-12-24T13:46:11.000Z","Rondel Account",,,"Alpine Nutrition Account","NA","0YQB0000000L0C2OAK","Alisha Slusarski",1,5,
"0c8B0000000CdT6IAK",,"001B000001AQUOuIAP",,"003B000000H1QccIAF","Bay Area","518-966-7987","01tB0000000UI8UIAW_Kelloggs Muesli","Rondel Store - Chicago South Loop","Construction","Regular","Phoenix","005B0000006NoPnIAK","0Y2B0000000L08sKAC","AZ",,,"Dmart Location 9","Van",,"Low","0Y2B0000000L08sKAC","131B00000009QMCIA2","Maricopa","85013","A00000016","Bay Area","Nutrition Stop Account/Alpine Nutrition Account/NTO Account","Description of Dmart Location Group 1","mroyster@royster.com","2019-12-24T13:46:11.000Z","Nutrition Stop Account",,,"Alpine Nutrition Account","NA","0YQB0000000L0C3OAK","Maryann Royster",1,5,
"0c8B0000000CdT6IAK",,"001B000001AQUOuIAP",,"003B000000H1QcSIAV","South","440-780-8425","01tB0000000UI8UIAW_Kelloggs Muesli","Rondel Store - Evanston","Construction","Regular","Mc Minnville","005B0000006NoPnIAK","0Y2B0000000L08vKAC","TN",,,"Dmart Location 10","Truck",,"High","0Y2B0000000L08vKAC","131B00000009QMDIA2","Warren","37110","A00000017","South","Nutrition Stop Account/Alpine Nutrition Account/NTO Account","Description of Dmart Location Group 4","gruta@cox.net","2019-12-24T13:46:11.000Z","Nutrition Stop Account",,,"Alpine Nutrition Account","NA","0YQB0000000L0C4OAK","Graciela Ruta",1,2,
