"Small_URL","Owner","Product","Region","Package","Date","Percent_Target","Year","Profit","Revenue","Cost","Pipeline"
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000PP2i/F","Christopher Dillon","neutratronic","Saxony","Package C","01/25/2016",89,12016,88066,99584,67582,42871
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000PP2d/F","Warren Wilson","neutratronic","Rhineland","Package E","01/04/2017",28,12017,95002,374300,267923,75330
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqP/F","Andy Peterson","aeox","Baden-Wurttemberg","Package C","02/12/2017",11,22017,84714,338091,251498,71147
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOr0/F","Alan Reed","rezota","Saxony","Package B","02/04/2016",27,22016,98070,185085,97223,63219
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqQ/F","Anne Frost","rezota","Saxony","Package C","10/26/2016",90,102016,92356,377846,261928,59875
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqb/F","John Smith","apiera","Bavaria","Package D","12/08/2017",84,122017,11913,888976,624489,74554
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqb/F","John Smith","neutratronic","Rhineland","Package C","11/16/2016",83,112016,97200,218166,157743,62651
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqQ/F","Anne Frost","aeox","Bavaria","Package E","06/03/2017",96,62017,75828,294075,152538,49079
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqb/F","John Smith","adoriva","Baden-Wurttemberg","Package E","03/26/2016",72,32016,84714,234545,154414,56969
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000PP2d/F","Warren Wilson","rezota","Bavaria","Package D","02/20/2017",31,22017,79980,305989,237875,48924
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqQ/F","Anne Frost","vucoo","Rhineland","Package B","12/03/2016",74,122016,97671,329340,224612,86788
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqQ/F","Anne Frost","adoriva","Saxony","Package B","05/18/2017",93,52017,72287,455982,281147,69354
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqP/F","Andy Peterson","vucoo","Bavaria","Package A","12/04/2016",10,122016,103497,299655,206420,41338
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqH/F","Wes Hardin","apiera","Saxony","Package A","02/07/2017",57,22017,80545,310751,199670,62999
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOr0/F","Alan Reed","aeox","Bremen","Package C","04/20/2016",13,42016,71308,205853,158645,55649
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOpV/F","Vanessa Central","apiera","Saxony","Package A","04/09/2017",86,42017,80563,412135,232862,49343
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqH/F","Wes Hardin","neutratronic","Rhineland","Package C","07/29/2017",54,72017,74293,503466,328637,58153
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqb/F","John Smith","adoriva","Saxony","Package D","09/25/2017",56,92017,12818,663269,408729,56454
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqQ/F","Anne Frost","aeox","Bremen","Package A","07/03/2016",92,72016,91612,368054,198561,59095
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqb/F","John Smith","vucoo","Baden-Wurttemberg","Package A","08/15/2017",90,82017,62958,409431,212440,66921
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqH/F","Wes Hardin","neutratronic","Saxony","Package A","12/26/2016",54,122016,100122,349856,202407,54650
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOpV/F","Vanessa Central","adoriva","Baden-Wurttemberg","Package E","12/12/2016",76,122016,105437,320757,162965,78336
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqH/F","Wes Hardin","vucoo","Baden-Wurttemberg","Package C","10/07/2016",55,102016,86846,382521,203198,64293
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqP/F","Andy Peterson","adoriva","Bavaria","Package D","05/16/2016",9,52016,76180,336041,260283,52379
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000PP2i/F","Christopher Dillon","adoriva","Bremen","Package B","04/27/2017",79,42017,78738,383690,242806,61907
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqb/F","John Smith","neutratronic","Bremen","Package C","12/22/2016",78,122016,107388,320941,230422,51929
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000PP2d/F","Warren Wilson","adoriva","Bremen","Package B","06/28/2016",27,62016,90863,297702,220733,69545
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqP/F","Andy Peterson","adoriva","Bremen","Package B","06/04/2017",23,62017,68932,339202,270885,98087
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOr0/F","Alan Reed","aeox","Saxony","Package A","03/27/2016",23,32016,85093,240162,176745,58774
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqb/F","John Smith","neutratronic","Bavaria","Package C","04/08/2017",80,42017,73997,415431,285658,52944
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqP/F","Andy Peterson","adoriva","Baden-Wurttemberg","Package C","01/18/2016",14,12016,92461,117885,89933,55359
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOr8/F","Janet Jones","adoriva","Schleswig-Holstein","Package D","01/31/2016",46,12016,89646,100056,76430,83127
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000PP2i/F","Christopher Dillon","neutratronic","Bremen","Package C","02/06/2016",102,22016,93291,175286,135219,99321
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqQ/F","Anne Frost","rezota","Schleswig-Holstein","Package A","01/24/2017",81,12017,94184,432558,273856,32365
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqP/F","Andy Peterson","vucoo","Schleswig-Holstein","Package B","03/18/2016",-1,32016,87282,233833,176907,54053
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqb/F","John Smith","adoriva","Saxony","Package A","11/02/2017",64,112017,12942,1031470,660124,86447
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqQ/F","Anne Frost","apiera","Rhineland","Package D","02/27/2016",78,22016,91474,191054,110216,63623
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqP/F","Andy Peterson","rezota","Bremen","Package C","02/09/2017",17,22017,84517,333936,183285,49073
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000PP2d/F","Warren Wilson","aeox","Rhineland","Package E","05/20/2016",11,52016,83954,338561,175154,77457
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOpV/F","Vanessa Central","neutratronic","Saxony","Package D","07/05/2017",66,72017,77617,472957,327527,63239
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqH/F","Wes Hardin","rezota","Rhineland","Package C","12/28/2016",52,122016,106181,257421,161385,65402
"https://analytics-wow-demo--c.na50.content.force.com/profilephoto/7296A000000uOqb/F","John Smith","aeox","Saxony","Package C","12/25/2016",79,122016,98961,262635,155963,43025
